timestamp,policy,coord,nlp,vision,reasoning
1777561702.678,adaptive,0.4,0.1673,0.1818,0.2509
1777561707.68,adaptive,0.3015,0.179,0.2511,0.2685
1777561712.702,adaptive,0.2509,0.1999,0.2736,0.2755
1777561717.711,adaptive,0.2455,0.2255,0.2539,0.2751
1777561722.731,adaptive,0.2562,0.2049,0.2625,0.2764
1777561727.746,adaptive,0.2319,0.2261,0.2662,0.2757
1777561732.768,adaptive,0.2618,0.1997,0.2765,0.262
1777561737.785,adaptive,0.2575,0.2058,0.2731,0.2636
1777561742.797,adaptive,0.2591,0.2054,0.2748,0.2606
1777561747.814,adaptive,0.2751,0.1946,0.2746,0.2558
1777561752.84,adaptive,0.2371,0.1988,0.3045,0.2596
