elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.0,static,paper_default,coord,3,22.0,136.35,35.475,0.0798,0.25,1777561763.0088038
6.0,static,paper_default,nlp,12,16.6,347.49,24.983,0.86,0.25,1777561763.0088134
6.0,static,paper_default,vision,33,16.5,605.84,21.318,0.9609,0.25,1777561763.0088189
6.0,static,paper_default,reasoning,1,9.6,379.97,15.323,0.9674,0.25,1777561763.0088234
11.02,static,paper_default,coord,16,45.9,195.76,39.835,0.4374,0.25,1777561768.0255737
11.02,static,paper_default,nlp,1,29.8,347.43,26.859,0.8311,0.25,1777561768.0255857
11.02,static,paper_default,vision,75,33.0,1167.11,22.866,0.9802,0.25,1777561768.025596
11.02,static,paper_default,reasoning,6,19.8,411.92,17.15,0.963,0.25,1777561768.0256042
16.03,static,paper_default,coord,25,47.7,256.53,41.723,0.6278,0.25,1777561773.0391638
16.03,static,paper_default,nlp,1,28.0,322.27,27.504,0.7596,0.25,1777561773.0391686
16.03,static,paper_default,vision,102,32.2,1778.75,23.886,0.9869,0.25,1777561773.0391722
16.03,static,paper_default,reasoning,26,22.1,539.4,17.899,0.9756,0.25,1777561773.0391753
21.04,static,paper_default,coord,26,46.5,378.13,42.546,0.7218,0.25,1777561778.0429676
21.04,static,paper_default,nlp,7,31.1,303.73,28.475,0.7346,0.25,1777561778.0429814
21.04,static,paper_default,vision,145,32.9,2292.88,24.291,0.9902,0.25,1777561778.0429926
21.04,static,paper_default,reasoning,38,22.6,860.0,18.207,0.9817,0.25,1777561778.0430028
26.04,static,paper_default,coord,43,46.8,461.5,42.979,0.7775,0.25,1777561783.0431736
26.04,static,paper_default,nlp,2,31.7,304.12,29.075,0.7662,0.25,1777561783.043186
26.04,static,paper_default,vision,175,33.3,2828.74,24.696,0.9922,0.25,1777561783.0431972
26.04,static,paper_default,reasoning,51,22.0,1136.54,18.513,0.9855,0.25,1777561783.0432062
31.05,static,paper_default,coord,36,46.3,534.01,43.443,0.8154,0.25,1777561788.0605948
31.05,static,paper_default,nlp,1,30.7,288.51,29.402,0.7251,0.25,1777561788.0606062
31.05,static,paper_default,vision,209,32.2,3373.84,24.829,0.9935,0.25,1777561788.060616
31.05,static,paper_default,reasoning,72,22.8,1388.79,18.614,0.9879,0.25,1777561788.0606241
36.07,static,paper_default,coord,37,45.1,576.73,43.749,0.8422,0.25,1777561793.0771742
36.07,static,paper_default,nlp,7,30.4,278.75,29.305,0.7077,0.25,1777561793.077187
36.07,static,paper_default,vision,241,32.1,3913.32,24.897,0.9944,0.25,1777561793.0771976
36.07,static,paper_default,reasoning,76,21.6,1731.07,18.686,0.9896,0.25,1777561793.0772066
41.09,static,paper_default,coord,42,46.4,629.87,44.006,0.8623,0.25,1777561798.0944443
41.09,static,paper_default,nlp,6,30.6,297.34,29.597,0.7459,0.25,1777561798.09446
41.09,static,paper_default,vision,277,31.5,4438.81,24.851,0.9951,0.25,1777561798.0944712
41.09,static,paper_default,reasoning,58,17.9,2042.42,18.814,0.9909,0.25,1777561798.094482
46.1,static,paper_default,coord,36,45.7,681.15,44.184,0.8778,0.25,1777561803.109602
46.1,static,paper_default,nlp,5,30.0,290.11,29.5,0.7213,0.25,1777561803.1096075
46.1,static,paper_default,vision,293,29.9,4977.6,24.858,0.9956,0.25,1777561803.109611
46.1,static,paper_default,reasoning,61,17.7,2197.63,18.806,0.9919,0.25,1777561803.1096148
51.12,static,paper_default,coord,48,45.9,708.54,44.288,0.89,0.25,1777561808.1301875
51.12,static,paper_default,nlp,0,29.5,290.83,29.734,0.7342,0.25,1777561808.1301987
51.12,static,paper_default,vision,333,30.4,5518.4,24.863,0.9961,0.25,1777561808.130208
51.12,static,paper_default,reasoning,69,20.2,2314.07,18.858,0.9927,0.25,1777561808.1302166
56.14,static,paper_default,coord,57,47.4,751.56,44.375,0.9,0.25,1777561813.145694
56.14,static,paper_default,nlp,0,28.8,282.09,29.5,0.7035,0.25,1777561813.1457067
56.14,static,paper_default,vision,368,32.4,6047.52,24.886,0.9964,0.25,1777561813.1457167
56.14,static,paper_default,reasoning,55,18.6,2449.43,18.883,0.9934,0.25,1777561813.1457262
