timestamp,policy,coord,nlp,vision,reasoning
1777809769.537,adaptive,0.169,0.2524,0.2104,0.3681
1777809770.551,adaptive,0.1917,0.2559,0.2133,0.339
1777809771.556,adaptive,0.2066,0.2633,0.2194,0.3106
1777809772.572,adaptive,0.1936,0.2653,0.2211,0.32
1777809773.574,adaptive,0.2034,0.2655,0.2213,0.3098
1777809774.587,adaptive,0.2031,0.2656,0.2214,0.3099
1777809775.588,adaptive,0.2019,0.266,0.2217,0.3104
1777809776.589,adaptive,0.2014,0.2662,0.2218,0.3105
1777809777.594,adaptive,0.2038,0.2654,0.2212,0.3096
1777809778.606,adaptive,0.2052,0.2649,0.2208,0.3091
1777809779.621,adaptive,0.2063,0.2646,0.2205,0.3087
1777809780.623,adaptive,0.2026,0.2658,0.2215,0.3101
1777809781.623,adaptive,0.2027,0.2658,0.2215,0.3101
1777809782.638,adaptive,0.209,0.2637,0.2197,0.3076
1777809783.654,adaptive,0.2043,0.2652,0.221,0.3094
1777809784.656,adaptive,0.1972,0.2633,0.2194,0.3201
1777809785.658,adaptive,0.1913,0.2617,0.2181,0.3289
1777809786.672,adaptive,0.1918,0.2613,0.2177,0.3292
1777809787.673,adaptive,0.1897,0.2605,0.2171,0.3327
1777809788.689,adaptive,0.1893,0.2603,0.217,0.3334
1777809789.707,adaptive,0.1952,0.2601,0.2167,0.328
1777809790.723,adaptive,0.1996,0.262,0.2183,0.3201
1777809791.74,adaptive,0.1971,0.2616,0.218,0.3232
1777809792.754,adaptive,0.1957,0.2639,0.2199,0.3204
1777809793.773,adaptive,0.1974,0.2639,0.2199,0.3187
1777809794.788,adaptive,0.2046,0.2651,0.2209,0.3093
1777809795.805,adaptive,0.2043,0.2652,0.221,0.3095
1777809796.824,adaptive,0.202,0.266,0.2217,0.3103
1777809797.84,adaptive,0.2016,0.2661,0.2218,0.3105
1777809798.859,adaptive,0.2012,0.2663,0.2219,0.3106
1777809799.875,adaptive,0.1981,0.2673,0.2227,0.3118
1777809800.89,adaptive,0.1962,0.2673,0.2227,0.3138
1777809801.904,adaptive,0.1898,0.2665,0.2221,0.3215
1777809802.907,adaptive,0.1975,0.2664,0.222,0.3141
1777809803.918,adaptive,0.1956,0.267,0.2225,0.3149
1777809804.922,adaptive,0.2003,0.2666,0.2221,0.311
1777809805.925,adaptive,0.2029,0.2657,0.2214,0.31
1777809806.944,adaptive,0.205,0.265,0.2208,0.3092
1777809807.957,adaptive,0.2093,0.2636,0.2197,0.3075
1777809808.974,adaptive,0.2113,0.2629,0.2191,0.3067
1777809809.992,adaptive,0.2105,0.2632,0.2193,0.307
1777809811.007,adaptive,0.2109,0.263,0.2192,0.3069
1777809812.026,adaptive,0.2124,0.2625,0.2188,0.3063
1777809813.042,adaptive,0.2103,0.2632,0.2194,0.3071
1777809814.059,adaptive,0.2132,0.2623,0.2186,0.306
1777809815.076,adaptive,0.2104,0.2632,0.2193,0.3071
1777809816.092,adaptive,0.211,0.263,0.2192,0.3069
1777809817.111,adaptive,0.2096,0.2625,0.2188,0.3091
1777809818.127,adaptive,0.2006,0.2609,0.2174,0.3211
1777809819.143,adaptive,0.2008,0.2615,0.2179,0.3198
1777809820.159,adaptive,0.2009,0.2628,0.219,0.3174
1777809821.175,adaptive,0.2026,0.2637,0.2198,0.3138
1777809822.193,adaptive,0.2003,0.265,0.2208,0.3138
1777809823.209,adaptive,0.2055,0.2648,0.2207,0.309
1777809824.226,adaptive,0.2,0.2655,0.2213,0.3132
1777809825.242,adaptive,0.2004,0.2661,0.2217,0.3118
1777809826.257,adaptive,0.201,0.2663,0.2219,0.3107
