elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.02,adaptive,paper_default,coord,0,22.6,20.95,37.527,0.0,0.1936,1777809773.5406818
6.02,adaptive,paper_default,nlp,0,13.5,34.73,22.417,0.0,0.2653,1777809773.540705
6.02,adaptive,paper_default,vision,0,17.0,30.5,27.896,0.0,0.2211,1777809773.540718
6.02,adaptive,paper_default,reasoning,0,9.7,39.25,15.941,0.0,0.32,1777809773.5407286
11.03,adaptive,paper_default,coord,0,45.4,20.37,41.149,0.0,0.2038,1777809778.551881
11.03,adaptive,paper_default,nlp,0,29.0,33.01,26.194,0.0,0.2654,1777809778.551897
11.03,adaptive,paper_default,vision,0,33.4,30.88,30.182,0.0,0.2212,1777809778.5519094
11.03,adaptive,paper_default,reasoning,0,18.4,39.3,16.768,0.0,0.3096,1777809778.5519202
16.04,adaptive,paper_default,coord,0,47.2,20.24,43.464,0.0,0.209,1777809783.554763
16.04,adaptive,paper_default,nlp,1,30.5,33.0,27.375,0.0,0.2637,1777809783.5547688
16.04,adaptive,paper_default,vision,0,31.7,31.06,30.431,0.0,0.2197,1777809783.5547729
16.04,adaptive,paper_default,reasoning,0,20.4,38.9,18.707,0.0,0.3076,1777809783.5547764
21.05,adaptive,paper_default,coord,0,47.0,20.49,43.894,0.0,0.1897,1777809788.5701568
21.05,adaptive,paper_default,nlp,0,30.5,32.65,28.265,0.0,0.2605,1777809788.5701613
21.05,adaptive,paper_default,vision,0,31.5,31.2,30.83,0.0,0.2171,1777809788.5701647
21.05,adaptive,paper_default,reasoning,0,23.6,38.6,20.047,0.0,0.3327,1777809788.570168
26.05,adaptive,paper_default,coord,0,46.5,20.72,44.64,0.0,0.1957,1777809793.5733516
26.05,adaptive,paper_default,nlp,0,30.9,32.83,28.787,0.0,0.2639,1777809793.5733643
26.05,adaptive,paper_default,vision,0,31.6,31.44,30.937,0.0,0.2199,1777809793.573373
26.05,adaptive,paper_default,reasoning,0,21.7,38.6,19.844,0.0,0.3204,1777809793.5733812
