timestamp,policy,coord,nlp,vision,reasoning
1777809970.076,round_robin,0.55,0.15,0.15,0.15
1777809971.08,round_robin,0.15,0.55,0.15,0.15
1777809972.095,round_robin,0.15,0.15,0.15,0.55
1777809973.103,round_robin,0.15,0.15,0.55,0.15
1777809974.104,round_robin,0.55,0.15,0.15,0.15
1777809975.107,round_robin,0.15,0.55,0.15,0.15
1777809976.119,round_robin,0.15,0.15,0.15,0.55
1777809977.136,round_robin,0.15,0.15,0.55,0.15
1777809978.15,round_robin,0.55,0.15,0.15,0.15
1777809979.155,round_robin,0.15,0.55,0.15,0.15
1777809980.16,round_robin,0.15,0.15,0.15,0.55
1777809981.173,round_robin,0.15,0.15,0.55,0.15
1777809982.179,round_robin,0.55,0.15,0.15,0.15
1777809983.18,round_robin,0.15,0.55,0.15,0.15
1777809984.19,round_robin,0.15,0.15,0.15,0.55
1777809985.204,round_robin,0.15,0.15,0.55,0.15
1777809986.219,round_robin,0.55,0.15,0.15,0.15
1777809987.232,round_robin,0.15,0.55,0.15,0.15
1777809988.236,round_robin,0.15,0.15,0.15,0.55
1777809989.256,round_robin,0.15,0.15,0.55,0.15
1777809990.276,round_robin,0.55,0.15,0.15,0.15
1777809991.28,round_robin,0.15,0.55,0.15,0.15
1777809992.295,round_robin,0.15,0.15,0.15,0.55
1777809993.307,round_robin,0.15,0.15,0.55,0.15
1777809994.317,round_robin,0.55,0.15,0.15,0.15
1777809995.323,round_robin,0.15,0.55,0.15,0.15
1777809996.338,round_robin,0.15,0.15,0.15,0.55
1777809997.356,round_robin,0.15,0.15,0.55,0.15
1777809998.36,round_robin,0.55,0.15,0.15,0.15
1777809999.37,round_robin,0.15,0.55,0.15,0.15
1777810000.379,round_robin,0.15,0.15,0.15,0.55
1777810001.389,round_robin,0.15,0.15,0.55,0.15
1777810002.406,round_robin,0.55,0.15,0.15,0.15
1777810003.418,round_robin,0.15,0.55,0.15,0.15
1777810004.432,round_robin,0.15,0.15,0.15,0.55
1777810005.439,round_robin,0.15,0.15,0.55,0.15
1777810006.455,round_robin,0.55,0.15,0.15,0.15
1777810007.463,round_robin,0.15,0.55,0.15,0.15
1777810008.477,round_robin,0.15,0.15,0.15,0.55
1777810009.486,round_robin,0.15,0.15,0.55,0.15
1777810010.507,round_robin,0.55,0.15,0.15,0.15
1777810011.516,round_robin,0.15,0.55,0.15,0.15
1777810012.523,round_robin,0.15,0.15,0.15,0.55
1777810013.54,round_robin,0.15,0.15,0.55,0.15
1777810014.55,round_robin,0.55,0.15,0.15,0.15
1777810015.561,round_robin,0.15,0.55,0.15,0.15
1777810016.573,round_robin,0.15,0.15,0.15,0.55
1777810017.582,round_robin,0.15,0.15,0.55,0.15
1777810018.597,round_robin,0.55,0.15,0.15,0.15
1777810019.608,round_robin,0.15,0.55,0.15,0.15
1777810020.615,round_robin,0.15,0.15,0.15,0.55
1777810021.634,round_robin,0.15,0.15,0.55,0.15
1777810022.649,round_robin,0.55,0.15,0.15,0.15
1777810023.672,round_robin,0.15,0.55,0.15,0.15
1777810024.687,round_robin,0.15,0.15,0.15,0.55
1777810025.708,round_robin,0.15,0.15,0.55,0.15
1777810026.724,round_robin,0.55,0.15,0.15,0.15
1777810027.733,round_robin,0.15,0.55,0.15,0.15
1777810028.756,round_robin,0.15,0.15,0.15,0.55
1777810029.772,round_robin,0.15,0.15,0.55,0.15
1777810030.782,round_robin,0.55,0.15,0.15,0.15
1777810031.799,round_robin,0.15,0.55,0.15,0.15
1777810032.813,round_robin,0.15,0.15,0.15,0.55
1777810033.82,round_robin,0.15,0.15,0.55,0.15
1777810034.835,round_robin,0.55,0.15,0.15,0.15
1777810035.85,round_robin,0.15,0.55,0.15,0.15
1777810036.862,round_robin,0.15,0.15,0.15,0.55
1777810037.876,round_robin,0.15,0.15,0.55,0.15
1777810038.898,round_robin,0.55,0.15,0.15,0.15
1777810039.908,round_robin,0.15,0.55,0.15,0.15
1777810040.917,round_robin,0.15,0.15,0.15,0.55
1777810041.929,round_robin,0.15,0.15,0.55,0.15
1777810042.949,round_robin,0.55,0.15,0.15,0.15
1777810043.974,round_robin,0.15,0.55,0.15,0.15
1777810044.982,round_robin,0.15,0.15,0.15,0.55
1777810045.994,round_robin,0.15,0.15,0.55,0.15
1777810047.013,round_robin,0.55,0.15,0.15,0.15
1777810048.036,round_robin,0.15,0.55,0.15,0.15
1777810049.047,round_robin,0.15,0.15,0.15,0.55
1777810050.061,round_robin,0.15,0.15,0.55,0.15
1777810051.085,round_robin,0.55,0.15,0.15,0.15
1777810052.109,round_robin,0.15,0.55,0.15,0.15
1777810053.133,round_robin,0.15,0.15,0.15,0.55
1777810054.149,round_robin,0.15,0.15,0.55,0.15
1777810055.168,round_robin,0.55,0.15,0.15,0.15
1777810056.182,round_robin,0.15,0.55,0.15,0.15
1777810057.204,round_robin,0.15,0.15,0.15,0.55
1777810058.216,round_robin,0.15,0.15,0.55,0.15
1777810059.24,round_robin,0.55,0.15,0.15,0.15
1777810060.257,round_robin,0.15,0.55,0.15,0.15
1777810061.274,round_robin,0.15,0.15,0.15,0.55
1777810062.291,round_robin,0.15,0.15,0.55,0.15
1777810063.305,round_robin,0.55,0.15,0.15,0.15
1777810064.344,round_robin,0.15,0.55,0.15,0.15
1777810065.36,round_robin,0.15,0.15,0.15,0.55
1777810066.385,round_robin,0.15,0.15,0.55,0.15
1777810067.398,round_robin,0.55,0.15,0.15,0.15
1777810068.408,round_robin,0.15,0.55,0.15,0.15
