elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.02,round_robin,paper_default,coord,0,20.1,25.26,33.226,0.0,0.15,1777809974.0889368
6.02,round_robin,paper_default,nlp,0,13.9,38.72,22.76,0.0,0.15,1777809974.0889478
6.02,round_robin,paper_default,vision,0,15.9,35.44,26.248,0.0,0.55,1777809974.0889542
6.02,round_robin,paper_default,reasoning,0,10.4,57.23,17.111,0.0,0.15,1777809974.088959
11.02,round_robin,paper_default,coord,0,42.7,26.19,38.828,0.0,0.55,1777809979.0934036
11.02,round_robin,paper_default,nlp,0,29.5,40.36,26.762,0.0,0.15,1777809979.093407
11.02,round_robin,paper_default,vision,0,31.6,36.25,28.758,0.0,0.15,1777809979.0934093
11.02,round_robin,paper_default,reasoning,1,19.2,60.0,17.146,0.0,0.15,1777809979.0934117
16.03,round_robin,paper_default,coord,0,45.6,26.77,40.866,0.0,0.15,1777809984.098554
16.03,round_robin,paper_default,nlp,0,30.5,39.04,27.639,0.0,0.55,1777809984.0985668
16.03,round_robin,paper_default,vision,0,32.3,36.22,30.01,0.0,0.15,1777809984.0985765
16.03,round_robin,paper_default,reasoning,0,20.2,61.38,18.967,0.0,0.15,1777809984.0985847
21.04,round_robin,paper_default,coord,0,46.0,27.02,42.103,0.0,0.15,1777809989.115093
21.04,round_robin,paper_default,nlp,0,29.9,39.69,28.179,0.0,0.15,1777809989.1151054
21.04,round_robin,paper_default,vision,0,32.5,36.14,30.603,0.0,0.15,1777809989.1151142
21.04,round_robin,paper_default,reasoning,0,21.7,59.33,19.531,0.0,0.55,1777809989.1151228
26.05,round_robin,paper_default,coord,0,45.8,27.28,42.804,0.0,0.15,1777809994.1201444
26.05,round_robin,paper_default,nlp,0,30.6,40.16,28.831,0.0,0.15,1777809994.1201515
26.05,round_robin,paper_default,vision,0,32.9,35.27,31.134,0.0,0.55,1777809994.1201565
26.05,round_robin,paper_default,reasoning,0,20.1,59.75,19.464,0.0,0.15,1777809994.1201606
31.06,round_robin,paper_default,coord,0,45.6,26.97,43.27,0.0,0.55,1777809999.1334677
31.06,round_robin,paper_default,nlp,0,32.1,40.27,29.458,0.0,0.15,1777809999.1334808
31.06,round_robin,paper_default,vision,0,31.9,35.04,31.003,0.0,0.15,1777809999.1334972
31.06,round_robin,paper_default,reasoning,0,20.1,60.35,19.607,0.0,0.15,1777809999.133507
36.08,round_robin,paper_default,coord,0,45.1,27.14,43.406,0.0,0.15,1777810004.1502793
36.08,round_robin,paper_default,nlp,0,30.7,39.91,29.409,0.0,0.55,1777810004.1502926
