elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,static,paper_default,coord,0,22.6,19.86,37.423,0.0,0.25,1777809873.8111484
6.01,static,paper_default,nlp,0,14.7,34.94,24.283,0.0,0.25,1777809873.8111687
6.01,static,paper_default,vision,1,15.6,30.93,25.448,0.0,0.25,1777809873.8111823
6.01,static,paper_default,reasoning,0,9.7,48.2,15.967,0.0,0.25,1777809873.8111925
11.02,static,paper_default,coord,0,45.1,20.13,40.918,0.0,0.25,1777809878.8209918
11.02,static,paper_default,nlp,0,28.9,34.91,26.311,0.0,0.25,1777809878.8210044
11.02,static,paper_default,vision,0,31.7,31.32,28.489,0.0,0.25,1777809878.8210132
11.02,static,paper_default,reasoning,0,21.1,47.18,19.144,0.0,0.25,1777809878.8210225
16.04,static,paper_default,coord,1,46.1,19.86,42.771,0.0,0.25,1777809883.8400042
16.04,static,paper_default,nlp,1,29.6,34.56,27.558,0.0,0.25,1777809883.840025
16.04,static,paper_default,vision,0,32.7,31.48,30.052,0.0,0.25,1777809883.8400428
16.04,static,paper_default,reasoning,0,21.8,47.21,19.577,0.0,0.25,1777809883.8400605
21.04,static,paper_default,coord,0,45.1,19.8,42.909,0.0,0.25,1777809888.8449888
21.04,static,paper_default,nlp,0,30.1,35.06,28.036,0.0,0.25,1777809888.845001
21.04,static,paper_default,vision,0,32.5,31.38,30.459,0.0,0.25,1777809888.8450098
21.04,static,paper_default,reasoning,0,21.9,47.15,20.385,0.0,0.25,1777809888.8450177
26.06,static,paper_default,coord,0,44.9,19.85,43.557,0.0,0.25,1777809893.8572946
26.06,static,paper_default,nlp,0,29.1,35.17,28.207,0.0,0.25,1777809893.8572974
26.06,static,paper_default,vision,0,30.9,31.62,30.394,0.0,0.25,1777809893.8572996
26.06,static,paper_default,reasoning,0,23.1,47.53,20.992,0.0,0.25,1777809893.8573012
31.06,static,paper_default,coord,0,45.6,19.89,43.751,0.0,0.25,1777809898.8643076
31.06,static,paper_default,nlp,0,28.2,35.15,28.137,0.0,0.25,1777809898.864339
31.06,static,paper_default,vision,0,32.0,31.53,30.97,0.0,0.25,1777809898.864351
31.06,static,paper_default,reasoning,0,20.8,47.48,20.539,0.0,0.25,1777809898.8643887
36.08,static,paper_default,coord,1,46.1,19.67,44.258,0.0,0.25,1777809903.8862216
36.08,static,paper_default,nlp,1,28.9,35.13,28.378,0.0,0.25,1777809903.8862338
36.08,static,paper_default,vision,1,32.8,31.62,31.039,0.0,0.25,1777809903.8862426
36.08,static,paper_default,reasoning,0,19.5,47.27,20.591,0.0,0.25,1777809903.8862507
41.1,static,paper_default,coord,0,45.3,19.73,44.115,0.0,0.25,1777809908.8999364
41.1,static,paper_default,nlp,0,29.2,35.04,28.348,0.0,0.25,1777809908.8999481
41.1,static,paper_default,vision,0,32.1,31.62,31.243,0.0,0.25,1777809908.8999572
41.1,static,paper_default,reasoning,1,19.8,47.15,20.391,0.0,0.25,1777809908.8999648
46.11,static,paper_default,coord,0,45.7,19.72,44.572,0.0,0.25,1777809913.9085996
46.11,static,paper_default,nlp,0,29.1,34.85,28.521,0.0,0.25,1777809913.9086118
46.11,static,paper_default,vision,0,29.9,31.56,30.821,0.0,0.25,1777809913.9086208
46.11,static,paper_default,reasoning,0,20.2,47.22,20.518,0.0,0.25,1777809913.9086294
51.13,static,paper_default,coord,0,47.8,19.74,44.87,0.0,0.25,1777809918.9296985
51.13,static,paper_default,nlp,0,30.8,34.76,28.85,0.0,0.25,1777809918.9297101
51.13,static,paper_default,vision,0,28.7,31.51,30.787,0.0,0.25,1777809918.929719
51.13,static,paper_default,reasoning,0,21.6,47.41,20.616,0.0,0.25,1777809918.929727
56.15,static,paper_default,coord,0,46.5,19.79,44.9,0.0,0.25,1777809923.9510922
56.15,static,paper_default,nlp,0,29.9,34.73,28.782,0.0,0.25,1777809923.9511054
56.15,static,paper_default,vision,0,30.7,31.44,30.794,0.0,0.25,1777809923.9511144
56.15,static,paper_default,reasoning,0,21.9,47.51,20.767,0.0,0.25,1777809923.9511223
61.16,static,paper_default,coord,0,44.3,19.84,44.767,0.0,0.25,1777809928.9660828
61.16,static,paper_default,nlp,0,27.6,34.64,28.662,0.0,0.25,1777809928.9660947
61.16,static,paper_default,vision,0,31.4,31.56,30.902,0.0,0.25,1777809928.966104
61.16,static,paper_default,reasoning,0,21.5,47.45,20.798,0.0,0.25,1777809928.9661126
66.18,static,paper_default,coord,0,46.8,19.88,45.168,0.0,0.25,1777809933.981779
66.18,static,paper_default,nlp,1,28.7,34.63,28.802,0.0,0.25,1777809933.9817905
66.18,static,paper_default,vision,0,31.6,31.64,30.888,0.0,0.25,1777809933.981799
66.18,static,paper_default,reasoning,0,21.8,47.51,20.944,0.0,0.25,1777809933.9818065
71.19,static,paper_default,coord,0,47.9,19.87,45.214,0.0,0.25,1777809938.998775
71.19,static,paper_default,nlp,0,29.6,34.6,28.809,0.0,0.25,1777809938.9987884
71.19,static,paper_default,vision,0,31.8,31.68,31.0,0.0,0.25,1777809938.9987974
71.19,static,paper_default,reasoning,0,21.4,47.47,20.844,0.0,0.25,1777809938.998805
76.21,static,paper_default,coord,0,45.0,19.91,45.15,0.0,0.25,1777809944.0209067
76.21,static,paper_default,nlp,0,28.2,34.67,28.709,0.0,0.25,1777809944.0209188
76.21,static,paper_default,vision,0,33.9,31.71,31.294,0.0,0.25,1777809944.020927
76.21,static,paper_default,reasoning,1,19.2,47.55,20.705,0.0,0.25,1777809944.0209355
81.24,static,paper_default,coord,1,44.9,19.87,45.165,0.0,0.25,1777809949.0447173
81.24,static,paper_default,nlp,0,27.2,34.71,28.62,0.0,0.25,1777809949.0447283
81.24,static,paper_default,vision,0,33.1,31.7,31.279,0.0,0.25,1777809949.044737
81.24,static,paper_default,reasoning,1,20.7,47.62,20.84,0.0,0.25,1777809949.0447452
86.25,static,paper_default,coord,0,45.4,19.89,45.172,0.0,0.25,1777809954.0548158
86.25,static,paper_default,nlp,0,27.7,34.64,28.604,0.0,0.25,1777809954.0548284
86.25,static,paper_default,vision,0,31.5,31.6,31.305,0.0,0.25,1777809954.054837
86.25,static,paper_default,reasoning,0,21.6,47.52,20.812,0.0,0.25,1777809954.054845
91.26,static,paper_default,coord,0,45.8,19.88,45.245,0.0,0.25,1777809959.069315
91.26,static,paper_default,nlp,0,28.0,34.61,28.545,0.0,0.25,1777809959.069327
91.26,static,paper_default,vision,0,31.5,31.61,31.306,0.0,0.25,1777809959.0693364
91.26,static,paper_default,reasoning,0,19.8,47.49,20.721,0.0,0.25,1777809959.0693448
96.27,static,paper_default,coord,1,46.4,19.86,45.288,0.0,0.25,1777809964.084299
96.27,static,paper_default,nlp,1,27.1,34.59,28.44,0.0,0.25,1777809964.0843105
96.27,static,paper_default,vision,0,31.1,31.56,31.296,0.0,0.25,1777809964.0843196
96.27,static,paper_default,reasoning,0,18.9,47.55,20.618,0.0,0.25,1777809964.0843275
