timestamp,policy,coord,nlp,vision,reasoning
1777816461.953,adaptive,0.15,0.2489,0.2074,0.3937
1777816462.954,adaptive,0.1927,0.2436,0.203,0.3607
1777816463.955,adaptive,0.2087,0.2511,0.2093,0.3309
1777816464.97,adaptive,0.1977,0.2512,0.2093,0.3418
1777816465.983,adaptive,0.205,0.2571,0.2143,0.3236
1777816466.985,adaptive,0.2132,0.2623,0.2186,0.306
1777816467.986,adaptive,0.2106,0.2631,0.2193,0.307
1777816469.0,adaptive,0.2094,0.2635,0.2196,0.3075
1777816470.001,adaptive,0.216,0.2613,0.2178,0.3049
1777816471.002,adaptive,0.2144,0.2619,0.2182,0.3055
1777816472.006,adaptive,0.2234,0.2589,0.2157,0.302
1777816473.02,adaptive,0.2141,0.262,0.2183,0.3056
1777816474.029,adaptive,0.2207,0.2596,0.2168,0.3029
1777816475.036,adaptive,0.2246,0.2579,0.2165,0.3009
1777816476.037,adaptive,0.2197,0.259,0.2192,0.3022
1777816477.037,adaptive,0.2179,0.2607,0.2173,0.3042
1777816478.044,adaptive,0.2177,0.2608,0.2173,0.3042
1777816479.05,adaptive,0.2222,0.2593,0.2161,0.3025
1777816480.05,adaptive,0.218,0.2607,0.2172,0.3041
1777816481.066,adaptive,0.2228,0.2591,0.2159,0.3022
1777816482.068,adaptive,0.2196,0.2595,0.2163,0.3046
1777816483.078,adaptive,0.2268,0.2577,0.2148,0.3007
1777816484.084,adaptive,0.2153,0.2616,0.218,0.3052
1777816485.1,adaptive,0.2085,0.2625,0.2188,0.3102
1777816486.116,adaptive,0.2146,0.261,0.2175,0.307
1777816487.13,adaptive,0.2189,0.2604,0.217,0.3038
1777816488.142,adaptive,0.2288,0.2571,0.2142,0.2999
1777816489.149,adaptive,0.2224,0.2592,0.216,0.3024
1777816490.153,adaptive,0.223,0.259,0.2158,0.3022
1777816491.157,adaptive,0.216,0.2613,0.2178,0.3049
1777816492.159,adaptive,0.214,0.262,0.2183,0.3057
1777816493.169,adaptive,0.2067,0.2631,0.2192,0.311
1777816494.185,adaptive,0.217,0.261,0.2175,0.3045
1777816495.195,adaptive,0.2291,0.257,0.2141,0.2998
1777816496.204,adaptive,0.2251,0.2583,0.2152,0.3013
1777816497.205,adaptive,0.225,0.2583,0.2153,0.3014
1777816498.213,adaptive,0.2247,0.2584,0.2154,0.3015
1777816499.217,adaptive,0.2239,0.2587,0.2156,0.3018
1777816500.218,adaptive,0.2271,0.2576,0.2147,0.3006
1777816501.231,adaptive,0.2331,0.2556,0.213,0.2983
1777816502.247,adaptive,0.2331,0.2556,0.213,0.2982
1777816503.256,adaptive,0.2407,0.2531,0.2109,0.2953
1777816504.27,adaptive,0.2326,0.2558,0.2132,0.2984
1777816505.279,adaptive,0.2331,0.2556,0.213,0.2982
1777816506.282,adaptive,0.2306,0.2565,0.2137,0.2992
1777816507.287,adaptive,0.2291,0.257,0.2141,0.2998
1777816508.301,adaptive,0.2315,0.2562,0.2135,0.2989
1777816509.317,adaptive,0.2301,0.2566,0.2139,0.2994
1777816510.335,adaptive,0.2195,0.2602,0.2168,0.3035
1777816511.349,adaptive,0.2143,0.2619,0.2183,0.3056
1777816512.352,adaptive,0.2126,0.2625,0.2187,0.3062
1777816513.368,adaptive,0.2059,0.2647,0.2206,0.3088
1777816514.37,adaptive,0.2134,0.2622,0.2185,0.3059
1777816515.387,adaptive,0.2159,0.2614,0.2178,0.3049
1777816516.402,adaptive,0.2048,0.2647,0.2206,0.3099
1777816517.418,adaptive,0.2047,0.2651,0.2209,0.3093
1777816518.422,adaptive,0.2017,0.2656,0.2213,0.3114
1777816519.436,adaptive,0.2012,0.2663,0.2219,0.3107
1777816520.448,adaptive,0.2061,0.2646,0.2205,0.3088
1777816521.463,adaptive,0.2083,0.2639,0.2199,0.3079
1777816522.477,adaptive,0.2111,0.263,0.2191,0.3068
1777816523.494,adaptive,0.2142,0.2614,0.2194,0.305
1777816524.497,adaptive,0.2055,0.2648,0.2207,0.309
1777816525.509,adaptive,0.2008,0.2664,0.222,0.3108
1777816526.524,adaptive,0.2083,0.2639,0.2199,0.3079
1777816527.54,adaptive,0.2139,0.262,0.2184,0.3057
1777816528.556,adaptive,0.2109,0.2627,0.2199,0.3065
1777816529.573,adaptive,0.207,0.2643,0.2203,0.3084
1777816530.583,adaptive,0.2055,0.2648,0.2207,0.309
1777816531.589,adaptive,0.2017,0.2661,0.2218,0.3105
1777816532.606,adaptive,0.2043,0.2652,0.221,0.3094
1777816533.623,adaptive,0.199,0.267,0.2225,0.3115
1777816534.639,adaptive,0.2043,0.2652,0.221,0.3095
1777816535.653,adaptive,0.2049,0.265,0.2209,0.3092
1777816536.666,adaptive,0.1998,0.2667,0.2223,0.3112
1777816537.676,adaptive,0.2046,0.2651,0.221,0.3093
1777816538.683,adaptive,0.2122,0.2626,0.2188,0.3064
1777816539.686,adaptive,0.2132,0.2623,0.2186,0.306
1777816540.694,adaptive,0.2186,0.2605,0.2171,0.3039
1777816541.705,adaptive,0.2149,0.2617,0.2181,0.3053
1777816542.713,adaptive,0.2164,0.2612,0.2177,0.3047
1777816543.721,adaptive,0.2216,0.2595,0.2162,0.3027
1777816544.731,adaptive,0.2178,0.2607,0.2173,0.3042
1777816545.747,adaptive,0.2183,0.2606,0.2171,0.304
1777816546.755,adaptive,0.2178,0.2607,0.2173,0.3042
1777816547.764,adaptive,0.2133,0.2622,0.2185,0.306
1777816548.766,adaptive,0.2152,0.2616,0.218,0.3052
1777816549.772,adaptive,0.2223,0.2592,0.216,0.3024
1777816550.786,adaptive,0.2171,0.261,0.2175,0.3045
1777816551.801,adaptive,0.2232,0.2589,0.2158,0.3021
1777816552.816,adaptive,0.226,0.258,0.215,0.301
1777816553.834,adaptive,0.2276,0.2575,0.2146,0.3004
1777816554.837,adaptive,0.2309,0.2564,0.2136,0.2991
1777816555.852,adaptive,0.2327,0.2558,0.2131,0.2984
1777816556.868,adaptive,0.2376,0.2541,0.2118,0.2965
1777816557.885,adaptive,0.2395,0.2535,0.2113,0.2958
1777816558.9,adaptive,0.2363,0.2546,0.2121,0.297
1777816559.918,adaptive,0.2293,0.2569,0.2141,0.2997
1777816560.936,adaptive,0.2334,0.2555,0.213,0.2981
