elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,adaptive,paper_default,coord,20,10.2,698.05,13.466,0.7531,0.1977,1777816465.9517376
6.01,adaptive,paper_default,nlp,7,5.3,305.29,7.481,0.7556,0.2512,1777816465.9517472
6.01,adaptive,paper_default,vision,6,6.5,372.93,9.643,0.8793,0.2093,1777816465.951753
6.01,adaptive,paper_default,reasoning,0,4.6,298.33,7.481,0.7111,0.3418,1777816465.951757
11.02,adaptive,paper_default,coord,16,19.0,850.44,15.702,0.8844,0.216,1777816470.9542348
11.02,adaptive,paper_default,nlp,3,10.7,447.96,9.44,0.8269,0.2613,1777816470.9542387
11.02,adaptive,paper_default,vision,24,14.5,728.57,10.892,0.9417,0.2178,1777816470.9542415
11.02,adaptive,paper_default,reasoning,2,7.0,261.68,6.081,0.6269,0.3049,1777816470.9542437
16.03,adaptive,paper_default,coord,27,19.6,955.22,16.842,0.9259,0.2246,1777816475.9686809
16.03,adaptive,paper_default,nlp,1,10.9,444.3,9.98,0.8125,0.2579,1777816475.9686856
16.03,adaptive,paper_default,vision,44,15.7,1234.53,11.103,0.9607,0.2165,1777816475.9686894
16.03,adaptive,paper_default,reasoning,4,6.3,285.76,6.487,0.6442,0.3009,1777816475.9686925
21.05,adaptive,paper_default,coord,43,21.8,1145.7,17.293,0.9451,0.218,1777816480.9854252
21.05,adaptive,paper_default,nlp,3,11.2,398.49,10.262,0.7546,0.2607,1777816480.9854283
21.05,adaptive,paper_default,vision,45,13.7,1782.75,11.212,0.9703,0.2172,1777816480.9854307
21.05,adaptive,paper_default,reasoning,2,8.0,371.27,6.984,0.7483,0.3041,1777816480.9854336
26.06,adaptive,paper_default,coord,48,20.9,1383.17,17.613,0.9564,0.2085,1777816485.9975355
26.06,adaptive,paper_default,nlp,6,11.9,420.11,10.514,0.7737,0.2625,1777816485.9975412
26.06,adaptive,paper_default,vision,52,12.7,2272.37,11.397,0.9764,0.2188,1777816485.9975457
26.06,adaptive,paper_default,reasoning,8,8.5,376.75,7.099,0.7568,0.3102,1777816485.9975498
31.06,adaptive,paper_default,coord,64,20.9,1586.99,17.802,0.9638,0.223,1777816491.0023866
31.06,adaptive,paper_default,nlp,13,12.7,446.63,10.72,0.8048,0.259,1777816491.002394
31.06,adaptive,paper_default,vision,55,13.0,2612.17,11.46,0.9803,0.2158,1777816491.0023997
31.06,adaptive,paper_default,reasoning,9,8.3,418.24,7.179,0.7848,0.3022,1777816491.002405
36.08,adaptive,paper_default,coord,73,21.4,1834.45,17.989,0.9692,0.2291,1777816496.0161722
36.08,adaptive,paper_default,nlp,11,12.2,541.97,10.838,0.8338,0.257,1777816496.016179
36.08,adaptive,paper_default,vision,62,12.8,2917.03,11.503,0.9831,0.2141,1777816496.0161846
36.08,adaptive,paper_default,reasoning,0,7.5,468.31,7.428,0.8209,0.2998,1777816496.016189
41.09,adaptive,paper_default,coord,99,22.6,2075.64,18.104,0.9731,0.2271,1777816501.0325735
41.09,adaptive,paper_default,nlp,27,12.9,643.47,10.902,0.8549,0.2576,1777816501.0325801
41.09,adaptive,paper_default,vision,75,13.6,3192.18,11.486,0.9852,0.2147,1777816501.0325851
41.09,adaptive,paper_default,reasoning,1,6.5,439.09,7.227,0.771,0.3006,1777816501.03259
46.11,adaptive,paper_default,coord,102,22.0,2368.1,18.24,0.9762,0.2331,1777816506.045635
46.11,adaptive,paper_default,nlp,34,14.0,830.17,11.018,0.872,0.2556,1777816506.0456488
46.11,adaptive,paper_default,vision,82,13.5,3500.75,11.495,0.9868,0.213,1777816506.0456593
46.11,adaptive,paper_default,reasoning,0,6.0,421.66,7.136,0.7568,0.2982,1777816506.0456681
51.11,adaptive,paper_default,coord,99,19.4,2665.02,18.352,0.9787,0.2195,1777816511.0498738
51.11,adaptive,paper_default,nlp,37,12.8,1045.9,11.074,0.8852,0.2602,1777816511.0499082
