timestamp,policy,coord,nlp,vision,reasoning
1777816662.492,round_robin,0.55,0.15,0.15,0.15
1777816663.493,round_robin,0.15,0.55,0.15,0.15
1777816664.495,round_robin,0.15,0.15,0.15,0.55
1777816665.508,round_robin,0.15,0.15,0.55,0.15
1777816666.51,round_robin,0.55,0.15,0.15,0.15
1777816667.511,round_robin,0.15,0.55,0.15,0.15
1777816668.526,round_robin,0.15,0.15,0.15,0.55
1777816669.526,round_robin,0.15,0.15,0.55,0.15
1777816670.543,round_robin,0.55,0.15,0.15,0.15
1777816671.543,round_robin,0.15,0.55,0.15,0.15
1777816672.559,round_robin,0.15,0.15,0.15,0.55
1777816673.559,round_robin,0.15,0.15,0.55,0.15
1777816674.562,round_robin,0.55,0.15,0.15,0.15
1777816675.577,round_robin,0.15,0.55,0.15,0.15
1777816676.578,round_robin,0.15,0.15,0.15,0.55
1777816677.593,round_robin,0.15,0.15,0.55,0.15
1777816678.594,round_robin,0.55,0.15,0.15,0.15
1777816679.61,round_robin,0.15,0.55,0.15,0.15
1777816680.61,round_robin,0.15,0.15,0.15,0.55
1777816681.611,round_robin,0.15,0.15,0.55,0.15
1777816682.613,round_robin,0.55,0.15,0.15,0.15
1777816683.626,round_robin,0.15,0.55,0.15,0.15
1777816684.627,round_robin,0.15,0.15,0.15,0.55
1777816685.642,round_robin,0.15,0.15,0.55,0.15
1777816686.644,round_robin,0.55,0.15,0.15,0.15
1777816687.658,round_robin,0.15,0.55,0.15,0.15
1777816688.659,round_robin,0.15,0.15,0.15,0.55
1777816689.66,round_robin,0.15,0.15,0.55,0.15
1777816690.661,round_robin,0.55,0.15,0.15,0.15
1777816691.661,round_robin,0.15,0.55,0.15,0.15
1777816692.675,round_robin,0.15,0.15,0.15,0.55
1777816693.677,round_robin,0.15,0.15,0.55,0.15
1777816694.692,round_robin,0.55,0.15,0.15,0.15
1777816695.694,round_robin,0.15,0.55,0.15,0.15
1777816696.709,round_robin,0.15,0.15,0.15,0.55
1777816697.71,round_robin,0.15,0.15,0.55,0.15
1777816698.711,round_robin,0.55,0.15,0.15,0.15
1777816699.725,round_robin,0.15,0.55,0.15,0.15
1777816700.728,round_robin,0.15,0.15,0.15,0.55
1777816701.742,round_robin,0.15,0.15,0.55,0.15
1777816702.744,round_robin,0.55,0.15,0.15,0.15
1777816703.744,round_robin,0.15,0.55,0.15,0.15
1777816704.759,round_robin,0.15,0.15,0.15,0.55
1777816705.761,round_robin,0.15,0.15,0.55,0.15
1777816706.775,round_robin,0.55,0.15,0.15,0.15
1777816707.777,round_robin,0.15,0.55,0.15,0.15
1777816708.791,round_robin,0.15,0.15,0.15,0.55
1777816709.794,round_robin,0.15,0.15,0.55,0.15
1777816710.809,round_robin,0.55,0.15,0.15,0.15
1777816711.824,round_robin,0.15,0.55,0.15,0.15
1777816712.841,round_robin,0.15,0.15,0.15,0.55
1777816713.843,round_robin,0.15,0.15,0.55,0.15
1777816714.856,round_robin,0.55,0.15,0.15,0.15
1777816715.858,round_robin,0.15,0.55,0.15,0.15
1777816716.872,round_robin,0.15,0.15,0.15,0.55
1777816717.874,round_robin,0.15,0.15,0.55,0.15
1777816718.878,round_robin,0.55,0.15,0.15,0.15
1777816719.892,round_robin,0.15,0.55,0.15,0.15
1777816720.908,round_robin,0.15,0.15,0.15,0.55
1777816721.925,round_robin,0.15,0.15,0.55,0.15
1777816722.927,round_robin,0.55,0.15,0.15,0.15
1777816723.94,round_robin,0.15,0.55,0.15,0.15
1777816724.942,round_robin,0.15,0.15,0.15,0.55
1777816725.958,round_robin,0.15,0.15,0.55,0.15
1777816726.974,round_robin,0.55,0.15,0.15,0.15
1777816727.99,round_robin,0.15,0.55,0.15,0.15
1777816728.993,round_robin,0.15,0.15,0.15,0.55
1777816729.994,round_robin,0.15,0.15,0.55,0.15
1777816731.006,round_robin,0.55,0.15,0.15,0.15
1777816732.008,round_robin,0.15,0.55,0.15,0.15
1777816733.01,round_robin,0.15,0.15,0.15,0.55
1777816734.024,round_robin,0.15,0.15,0.55,0.15
1777816735.041,round_robin,0.55,0.15,0.15,0.15
1777816736.043,round_robin,0.15,0.55,0.15,0.15
1777816737.045,round_robin,0.15,0.15,0.15,0.55
1777816738.056,round_robin,0.15,0.15,0.55,0.15
1777816739.058,round_robin,0.55,0.15,0.15,0.15
1777816740.074,round_robin,0.15,0.55,0.15,0.15
1777816741.091,round_robin,0.15,0.15,0.15,0.55
1777816742.107,round_robin,0.15,0.15,0.55,0.15
1777816743.124,round_robin,0.55,0.15,0.15,0.15
1777816744.141,round_robin,0.15,0.55,0.15,0.15
1777816745.142,round_robin,0.15,0.15,0.15,0.55
1777816746.157,round_robin,0.15,0.15,0.55,0.15
1777816747.159,round_robin,0.55,0.15,0.15,0.15
1777816748.174,round_robin,0.15,0.55,0.15,0.15
1777816749.19,round_robin,0.15,0.15,0.15,0.55
1777816750.194,round_robin,0.15,0.15,0.55,0.15
1777816751.206,round_robin,0.55,0.15,0.15,0.15
1777816752.211,round_robin,0.15,0.55,0.15,0.15
1777816753.224,round_robin,0.15,0.15,0.15,0.55
1777816754.24,round_robin,0.15,0.15,0.55,0.15
1777816755.257,round_robin,0.55,0.15,0.15,0.15
1777816756.273,round_robin,0.15,0.55,0.15,0.15
1777816757.29,round_robin,0.15,0.15,0.15,0.55
1777816758.306,round_robin,0.15,0.15,0.55,0.15
1777816759.309,round_robin,0.55,0.15,0.15,0.15
1777816760.323,round_robin,0.15,0.55,0.15,0.15
1777816761.326,round_robin,0.15,0.15,0.15,0.55
