elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.0,round_robin,paper_default,coord,65,11.8,918.72,8.66,0.9423,0.15,1777816666.4923341
6.0,round_robin,paper_default,nlp,27,5.7,1249.66,4.83,0.9655,0.15,1777816666.492345
6.0,round_robin,paper_default,vision,37,7.3,1915.12,5.829,0.9714,0.55,1777816666.4923508
6.0,round_robin,paper_default,reasoning,16,3.4,1346.69,2.831,1.0,0.15,1777816666.4923549
11.01,round_robin,paper_default,coord,106,22.4,2531.63,10.629,0.9744,0.55,1777816671.4955251
11.01,round_robin,paper_default,nlp,52,10.8,2484.96,4.997,0.9818,0.15,1777816671.4955368
11.01,round_robin,paper_default,vision,61,12.9,3047.09,6.087,0.9851,0.15,1777816671.495546
11.01,round_robin,paper_default,reasoning,38,7.1,2355.52,2.907,1.0,0.15,1777816671.495555
16.02,round_robin,paper_default,coord,154,20.6,3716.73,10.611,0.9824,0.15,1777816676.5093482
16.02,round_robin,paper_default,nlp,79,11.2,3765.65,5.555,0.9888,0.55,1777816676.509355
16.02,round_robin,paper_default,vision,99,12.5,4136.11,6.117,0.9898,0.15,1777816676.5093603
16.02,round_robin,paper_default,reasoning,45,6.1,3792.89,3.058,1.0,0.15,1777816676.509365
21.02,round_robin,paper_default,coord,208,21.0,4889.35,10.703,0.9867,0.15,1777816681.5109088
21.02,round_robin,paper_default,nlp,116,12.5,4781.4,5.518,0.9914,0.15,1777816681.5109138
21.02,round_robin,paper_default,vision,129,13.2,5285.44,6.231,0.9924,0.15,1777816681.5109184
21.02,round_robin,paper_default,reasoning,69,6.8,5445.25,3.282,1.0,0.55,1777816681.510927
26.04,round_robin,paper_default,coord,264,21.6,6063.3,10.6,0.9891,0.15,1777816686.5251374
26.04,round_robin,paper_default,nlp,148,12.3,5830.1,5.492,0.993,0.15,1777816686.5251486
26.04,round_robin,paper_default,vision,170,14.2,6612.52,6.491,0.9941,0.55,1777816686.5251575
26.04,round_robin,paper_default,reasoning,88,8.0,6611.76,3.303,1.0,0.15,1777816686.5251658
31.05,round_robin,paper_default,coord,295,20.1,7448.69,10.917,0.9912,0.55,1777816691.5413635
31.05,round_robin,paper_default,nlp,177,11.5,6971.92,5.475,0.9941,0.15,1777816691.5413692
31.05,round_robin,paper_default,vision,194,13.5,7758.01,6.505,0.995,0.15,1777816691.5413733
31.05,round_robin,paper_default,reasoning,109,7.3,7580.77,3.285,1.0,0.15,1777816691.541394
36.05,round_robin,paper_default,coord,346,19.9,8618.72,10.9,0.9924,0.15,1777816696.5420003
36.05,round_robin,paper_default,nlp,204,11.3,8415.78,5.547,0.995,0.55,1777816696.5420039
36.05,round_robin,paper_default,vision,240,13.4,8770.5,6.463,0.9957,0.15,1777816696.5420065
36.05,round_robin,paper_default,reasoning,130,7.4,8677.52,3.273,1.0,0.15,1777816696.542009
41.06,round_robin,paper_default,coord,395,20.4,9724.58,10.79,0.9932,0.15,1777816701.5433795
41.06,round_robin,paper_default,nlp,251,13.0,9711.42,5.505,0.9956,0.15,1777816701.543391
41.06,round_robin,paper_default,vision,283,15.0,9817.42,6.406,0.9962,0.15,1777816701.5434008
41.06,round_robin,paper_default,reasoning,145,7.1,10158.14,3.361,1.0,0.55,1777816701.54341
46.07,round_robin,paper_default,coord,453,20.6,10826.73,10.679,0.9939,0.15,1777816706.5581694
46.07,round_robin,paper_default,nlp,290,13.7,10961.29,5.448,0.996,0.15,1777816706.5581825
46.07,round_robin,paper_default,vision,307,13.6,11293.53,6.555,0.9967,0.55,1777816706.558192
46.07,round_robin,paper_default,reasoning,179,8.4,11320.62,3.321,1.0,0.15,1777816706.5582018
51.09,round_robin,paper_default,coord,508,22.0,12164.79,10.786,0.9946,0.55,1777816711.5741875
51.09,round_robin,paper_default,nlp,325,12.6,12286.97,5.442,0.9964,0.15,1777816711.5742018
51.09,round_robin,paper_default,vision,337,12.5,12518.85,6.538,0.997,0.15,1777816711.5742092
51.09,round_robin,paper_default,reasoning,192,7.7,12493.59,3.289,1.0,0.15,1777816711.5742137
56.1,round_robin,paper_default,coord,553,21.5,13424.4,10.82,0.9951,0.15,1777816716.5909557
56.1,round_robin,paper_default,nlp,346,11.5,13826.84,5.526,0.9968,0.55,1777816716.5909615
56.1,round_robin,paper_default,vision,371,12.5,13695.98,6.488,0.9973,0.15,1777816716.590965
56.1,round_robin,paper_default,reasoning,216,6.4,13574.25,3.226,1.0,0.15,1777816716.5909686
61.1,round_robin,paper_default,coord,603,20.1,14544.3,10.769,0.9954,0.15,1777816721.5915327
61.1,round_robin,paper_default,nlp,381,11.8,15269.43,5.564,0.9971,0.15,1777816721.591546
61.1,round_robin,paper_default,vision,410,13.5,14916.63,6.481,0.9975,0.15,1777816721.5915582
61.1,round_robin,paper_default,reasoning,235,7.4,15159.54,3.273,1.0,0.55,1777816721.59157
66.1,round_robin,paper_default,coord,658,20.5,15617.08,10.695,0.9958,0.15,1777816726.5927148
66.1,round_robin,paper_default,nlp,410,11.9,16434.65,5.522,0.9973,0.15,1777816726.5927196
66.1,round_robin,paper_default,vision,449,14.8,16365.73,6.565,0.9977,0.55,1777816726.5927231
66.1,round_robin,paper_default,reasoning,249,7.1,16718.12,3.313,1.0,0.15,1777816726.5927267
71.12,round_robin,paper_default,coord,713,21.5,16861.61,10.729,0.9961,0.55,1777816731.6072745
71.12,round_robin,paper_default,nlp,431,10.1,17644.12,5.498,0.9974,0.15,1777816731.607278
71.12,round_robin,paper_default,vision,474,13.8,17734.61,6.609,0.9979,0.15,1777816731.6072829
