elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,static,paper_default,coord,11,10.3,351.76,15.142,0.7143,0.25,1777816566.2093685
6.01,static,paper_default,nlp,5,5.5,741.12,8.153,0.9184,0.25,1777816566.2093852
6.01,static,paper_default,vision,5,6.8,517.79,10.316,0.8548,0.25,1777816566.209397
6.01,static,paper_default,reasoning,6,3.5,385.64,4.659,0.8571,0.25,1777816566.2094057
11.02,static,paper_default,coord,24,21.1,620.96,16.886,0.8602,0.25,1777816571.2153876
11.02,static,paper_default,nlp,0,8.8,527.44,8.08,0.7303,0.25,1777816571.215402
11.02,static,paper_default,vision,15,14.1,607.74,11.348,0.928,0.25,1777816571.215413
11.02,static,paper_default,reasoning,2,6.3,587.25,5.447,0.9333,0.25,1777816571.2154229
16.03,static,paper_default,coord,31,20.9,867.51,17.466,0.9071,0.25,1777816576.2314513
16.03,static,paper_default,nlp,24,10.8,606.89,8.608,0.7681,0.25,1777816576.2314637
16.03,static,paper_default,vision,27,14.5,896.92,11.54,0.9514,0.25,1777816576.2314732
16.03,static,paper_default,reasoning,12,6.6,670.4,5.489,0.9432,0.25,1777816576.231481
21.05,static,paper_default,coord,32,19.5,1073.82,17.722,0.9303,0.25,1777816581.2471545
21.05,static,paper_default,nlp,43,14.4,1081.77,8.98,0.8307,0.25,1777816581.2471592
21.05,static,paper_default,vision,25,13.1,1165.16,11.736,0.9636,0.25,1777816581.247163
21.05,static,paper_default,reasoning,21,7.9,994.28,5.702,0.9583,0.25,1777816581.2471666
26.06,static,paper_default,coord,33,18.9,1234.76,17.917,0.9443,0.25,1777816586.2654734
26.06,static,paper_default,nlp,46,12.4,1725.67,9.208,0.8667,0.25,1777816586.26548
26.06,static,paper_default,vision,32,13.2,1342.87,11.97,0.9712,0.25,1777816586.2654862
26.06,static,paper_default,reasoning,23,7.5,1469.99,5.832,0.9671,0.25,1777816586.2654948
31.08,static,paper_default,coord,42,19.9,1347.91,18.083,0.9537,0.25,1777816591.2790463
31.08,static,paper_default,nlp,53,11.5,2185.36,9.46,0.8912,0.25,1777816591.2790647
31.08,static,paper_default,vision,45,14.6,1584.74,12.002,0.9759,0.25,1777816591.27908
31.08,static,paper_default,reasoning,25,6.9,1876.46,5.953,0.973,0.25,1777816591.279093
36.09,static,paper_default,coord,77,23.2,1489.82,18.202,0.9604,0.25,1777816596.2951653
36.09,static,paper_default,nlp,47,11.1,2578.31,9.697,0.9086,0.25,1777816596.2951782
36.09,static,paper_default,vision,48,13.6,1863.51,11.996,0.9792,0.25,1777816596.2951882
36.09,static,paper_default,reasoning,28,6.8,2175.97,5.957,0.9767,0.25,1777816596.2951975
41.1,static,paper_default,coord,90,23.5,1766.86,18.225,0.9653,0.25,1777816601.2976465
41.1,static,paper_default,nlp,56,10.8,2815.07,9.709,0.9198,0.25,1777816601.297658
41.1,static,paper_default,vision,72,14.5,2108.01,11.972,0.9817,0.25,1777816601.297667
41.1,static,paper_default,reasoning,31,7.0,2521.44,6.059,0.9799,0.25,1777816601.2976758
46.11,static,paper_default,coord,98,20.5,2087.27,18.239,0.9691,0.25,1777816606.311803
46.11,static,paper_default,nlp,57,11.4,3069.87,9.846,0.9295,0.25,1777816606.3118086
46.11,static,paper_default,vision,77,14.9,2386.85,11.993,0.9837,0.25,1777816606.3118238
46.11,static,paper_default,reasoning,34,7.4,2803.64,6.137,0.9823,0.25,1777816606.311834
51.12,static,paper_default,coord,111,20.7,2425.26,18.289,0.9722,0.25,1777816611.3240087
51.12,static,paper_default,nlp,61,10.8,3295.3,9.839,0.9364,0.25,1777816611.3240204
51.12,static,paper_default,vision,96,14.6,2743.32,12.01,0.9853,0.25,1777816611.3240297
51.12,static,paper_default,reasoning,36,7.2,3039.68,6.181,0.9842,0.25,1777816611.3240378
56.13,static,paper_default,coord,112,20.6,2696.36,18.405,0.9748,0.25,1777816616.3267689
56.13,static,paper_default,nlp,64,10.9,3533.47,9.906,0.9424,0.25,1777816616.3267806
56.13,static,paper_default,vision,108,15.3,3108.55,12.027,0.9867,0.25,1777816616.3267899
56.13,static,paper_default,reasoning,43,7.1,3258.84,6.165,0.9855,0.25,1777816616.3267984
61.13,static,paper_default,coord,122,20.4,2948.12,18.453,0.977,0.25,1777816621.3296099
61.13,static,paper_default,nlp,70,11.2,3749.53,9.913,0.9472,0.25,1777816621.3296149
61.13,static,paper_default,vision,116,14.0,3501.95,12.024,0.9878,0.25,1777816621.3296192
61.13,static,paper_default,reasoning,48,7.5,3548.67,6.2,0.9868,0.25,1777816621.3296266
66.14,static,paper_default,coord,139,21.6,3171.61,18.475,0.9787,0.25,1777816626.3442008
66.14,static,paper_default,nlp,76,11.4,3982.44,9.948,0.9514,0.25,1777816626.3442147
66.14,static,paper_default,vision,129,14.0,3877.96,12.02,0.9887,0.25,1777816626.3442264
66.14,static,paper_default,reasoning,43,6.4,3818.19,6.214,0.9878,0.25,1777816626.3442366
71.16,static,paper_default,coord,147,21.4,3415.89,18.508,0.9803,0.25,1777816631.3628032
71.16,static,paper_default,nlp,91,12.2,4212.75,9.963,0.9549,0.25,1777816631.3628178
71.16,static,paper_default,vision,145,14.9,4275.45,12.029,0.9895,0.25,1777816631.362829
71.16,static,paper_default,reasoning,53,6.8,4079.46,6.211,0.9887,0.25,1777816631.362839
76.18,static,paper_default,coord,152,20.2,3681.76,18.549,0.9816,0.25,1777816636.381248
76.18,static,paper_default,nlp,94,12.0,4451.84,9.99,0.958,0.25,1777816636.3812618
76.18,static,paper_default,vision,139,13.3,4664.49,12.051,0.9902,0.25,1777816636.3812714
76.18,static,paper_default,reasoning,61,8.2,4286.56,6.235,0.9895,0.25,1777816636.3812797
81.19,static,paper_default,coord,163,20.7,3935.41,18.585,0.9828,0.25,1777816641.3965642
81.19,static,paper_default,nlp,102,11.5,4715.0,10.013,0.9606,0.25,1777816641.3965771
81.19,static,paper_default,vision,140,12.0,5060.05,12.094,0.9908,0.25,1777816641.396587
81.19,static,paper_default,reasoning,59,6.9,4528.14,6.232,0.9901,0.25,1777816641.3965957
