timestamp,policy,coord,nlp,vision,reasoning
1777814332.359,adaptive,0.1788,0.2654,0.2211,0.3347
1777814333.36,adaptive,0.1812,0.2729,0.2274,0.3184
1777814334.376,adaptive,0.1794,0.264,0.22,0.3365
1777814335.391,adaptive,0.1839,0.2624,0.2187,0.335
1777814336.393,adaptive,0.1875,0.2659,0.2216,0.3249
1777814337.394,adaptive,0.1819,0.2644,0.2203,0.3334
1777814338.401,adaptive,0.1861,0.2645,0.2204,0.329
1777814339.41,adaptive,0.1916,0.2659,0.2216,0.3208
1777814340.426,adaptive,0.1882,0.2645,0.2204,0.3268
1777814341.427,adaptive,0.19,0.2637,0.2198,0.3265
1777814342.442,adaptive,0.1937,0.2638,0.2199,0.3226
1777814343.443,adaptive,0.1986,0.263,0.2191,0.3192
1777814344.444,adaptive,0.2012,0.2647,0.2206,0.3136
1777814345.461,adaptive,0.1969,0.2658,0.2215,0.3157
1777814346.479,adaptive,0.1977,0.2639,0.2199,0.3185
1777814347.491,adaptive,0.2009,0.2644,0.2203,0.3145
1777814348.509,adaptive,0.1981,0.2655,0.2212,0.3151
1777814349.511,adaptive,0.1959,0.2642,0.2202,0.3197
1777814350.512,adaptive,0.2024,0.2659,0.2215,0.3102
1777814351.511,adaptive,0.2005,0.2665,0.2221,0.3109
1777814352.519,adaptive,0.1977,0.267,0.2225,0.3129
1777814353.522,adaptive,0.1966,0.2668,0.2223,0.3144
1777814354.527,adaptive,0.1967,0.2671,0.2225,0.3137
1777814355.531,adaptive,0.2012,0.2663,0.2219,0.3106
1777814356.54,adaptive,0.1997,0.2668,0.2223,0.3112
1777814357.544,adaptive,0.1992,0.2669,0.2224,0.3114
1777814358.56,adaptive,0.203,0.2657,0.2214,0.31
1777814359.576,adaptive,0.2006,0.2665,0.2221,0.3109
1777814360.583,adaptive,0.1962,0.2648,0.2207,0.3184
1777814361.595,adaptive,0.1981,0.2658,0.2215,0.3146
1777814362.609,adaptive,0.1964,0.2655,0.2213,0.3167
1777814363.616,adaptive,0.1962,0.2658,0.2215,0.3164
