elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.0,adaptive,paper_default,coord,0,20.5,36.82,33.983,0.0,0.1839,1777814336.360031
6.0,adaptive,paper_default,nlp,0,13.9,55.57,22.989,0.0,0.2624,1777814336.3600392
6.0,adaptive,paper_default,vision,1,16.3,90.33,26.82,0.0,0.2187,1777814336.3600442
6.0,adaptive,paper_default,reasoning,1,10.3,77.57,16.825,0.0,0.335,1777814336.3600485
11.02,adaptive,paper_default,coord,2,43.5,44.84,39.293,0.0,0.1882,1777814341.376567
11.02,adaptive,paper_default,nlp,0,28.4,64.39,25.772,0.0141,0.2645,1777814341.3765705
11.02,adaptive,paper_default,vision,2,32.6,88.82,29.402,0.0,0.2204,1777814341.3765728
11.02,adaptive,paper_default,reasoning,0,21.2,74.42,19.238,0.0,0.3268,1777814341.376575
16.02,adaptive,paper_default,coord,2,46.6,44.08,41.82,0.0,0.1969,1777814346.378259
16.02,adaptive,paper_default,nlp,0,30.0,62.79,27.401,0.0091,0.2658,1777814346.3782628
16.02,adaptive,paper_default,vision,3,32.2,82.27,30.085,0.0,0.2215,1777814346.3782654
16.02,adaptive,paper_default,reasoning,1,21.4,69.06,19.661,0.0,0.3157,1777814346.378275
21.04,adaptive,paper_default,coord,2,45.9,40.88,42.451,0.0,0.2024,1777814351.3946264
21.04,adaptive,paper_default,nlp,0,29.7,61.3,27.619,0.0069,0.2659,1777814351.3946433
21.04,adaptive,paper_default,vision,4,33.5,114.72,31.232,0.1233,0.2215,1777814351.3946564
21.04,adaptive,paper_default,reasoning,2,20.3,67.03,19.633,0.0,0.3102,1777814351.3946688
26.05,adaptive,paper_default,coord,2,45.3,40.98,43.145,0.0,0.2012,1777814356.4118886
26.05,adaptive,paper_default,nlp,2,29.3,61.16,28.098,0.0055,0.2663,1777814356.4119031
26.05,adaptive,paper_default,vision,0,33.7,111.3,31.552,0.101,0.2219,1777814356.4119148
26.05,adaptive,paper_default,reasoning,1,20.1,67.33,19.807,0.0,0.3106,1777814356.4119248
31.06,adaptive,paper_default,coord,1,45.4,39.91,43.467,0.0,0.1962,1777814361.4181225
31.06,adaptive,paper_default,nlp,0,29.8,61.04,28.302,0.0046,0.2648,1777814361.4181345
31.06,adaptive,paper_default,vision,1,32.3,109.26,31.683,0.0874,0.2207,1777814361.4181437
31.06,adaptive,paper_default,reasoning,1,20.6,69.69,19.995,0.0048,0.3184,1777814361.418152
36.07,adaptive,paper_default,coord,2,43.7,39.9,43.28,0.0,0.1944,1777814366.4288726
36.07,adaptive,paper_default,nlp,3,30.7,62.75,28.807,0.0038,0.2656,1777814366.4288852
36.07,adaptive,paper_default,vision,0,32.1,103.75,31.746,0.0751,0.2213,1777814366.4288943
36.07,adaptive,paper_default,reasoning,0,20.2,69.1,19.963,0.0042,0.3188,1777814366.4289024
41.08,adaptive,paper_default,coord,1,44.1,40.18,43.618,0.0,0.1995,1777814371.4461598
41.08,adaptive,paper_default,nlp,0,31.7,69.55,29.16,0.0092,0.2668,1777814371.4461713
41.08,adaptive,paper_default,vision,1,30.9,99.62,31.545,0.0664,0.2224,1777814371.4461977
41.08,adaptive,paper_default,reasoning,0,18.8,68.5,19.764,0.0037,0.3113,1777814371.4462082
46.1,adaptive,paper_default,coord,1,46.6,40.38,44.012,0.0,0.2056,1777814376.4637253
46.1,adaptive,paper_default,nlp,2,29.6,67.25,29.045,0.0082,0.2642,1777814376.4637375
46.1,adaptive,paper_default,vision,3,29.7,95.22,31.236,0.0597,0.2202,1777814376.4637465
46.1,adaptive,paper_default,reasoning,0,20.2,68.3,20.021,0.0033,0.31,1777814376.4637554
51.12,adaptive,paper_default,coord,1,46.7,39.77,44.232,0.0,0.1984,1777814381.4800904
51.12,adaptive,paper_default,nlp,6,29.4,67.61,29.07,0.0074,0.2596,1777814381.4801023
51.12,adaptive,paper_default,vision,2,30.9,93.85,31.379,0.0561,0.2164,1777814381.4801114
51.12,adaptive,paper_default,reasoning,0,21.6,69.25,20.111,0.0058,0.3257,1777814381.4801197
56.13,adaptive,paper_default,coord,0,44.2,39.4,44.057,0.0,0.2001,1777814386.494939
