timestamp,policy,coord,nlp,vision,reasoning
1777814532.891,round_robin,0.55,0.15,0.15,0.15
1777814533.901,round_robin,0.15,0.55,0.15,0.15
1777814534.918,round_robin,0.15,0.15,0.15,0.55
1777814535.93,round_robin,0.15,0.15,0.55,0.15
1777814536.933,round_robin,0.55,0.15,0.15,0.15
1777814537.935,round_robin,0.15,0.55,0.15,0.15
1777814538.938,round_robin,0.15,0.15,0.15,0.55
1777814539.95,round_robin,0.15,0.15,0.55,0.15
1777814540.966,round_robin,0.55,0.15,0.15,0.15
1777814541.968,round_robin,0.15,0.55,0.15,0.15
1777814542.982,round_robin,0.15,0.15,0.15,0.55
1777814543.985,round_robin,0.15,0.15,0.55,0.15
1777814545.001,round_robin,0.55,0.15,0.15,0.15
1777814546.014,round_robin,0.15,0.55,0.15,0.15
1777814547.016,round_robin,0.15,0.15,0.15,0.55
1777814548.033,round_robin,0.15,0.15,0.55,0.15
1777814549.035,round_robin,0.55,0.15,0.15,0.15
1777814550.05,round_robin,0.15,0.55,0.15,0.15
1777814551.052,round_robin,0.15,0.15,0.15,0.55
1777814552.067,round_robin,0.15,0.15,0.55,0.15
1777814553.084,round_robin,0.55,0.15,0.15,0.15
1777814554.102,round_robin,0.15,0.55,0.15,0.15
1777814555.118,round_robin,0.15,0.15,0.15,0.55
1777814556.133,round_robin,0.15,0.15,0.55,0.15
1777814557.137,round_robin,0.55,0.15,0.15,0.15
1777814558.151,round_robin,0.15,0.55,0.15,0.15
1777814559.168,round_robin,0.15,0.15,0.15,0.55
1777814560.187,round_robin,0.15,0.15,0.55,0.15
1777814561.203,round_robin,0.55,0.15,0.15,0.15
1777814562.21,round_robin,0.15,0.55,0.15,0.15
1777814563.223,round_robin,0.15,0.15,0.15,0.55
1777814564.236,round_robin,0.15,0.15,0.55,0.15
1777814565.248,round_robin,0.55,0.15,0.15,0.15
1777814566.253,round_robin,0.15,0.55,0.15,0.15
1777814567.268,round_robin,0.15,0.15,0.15,0.55
1777814568.285,round_robin,0.15,0.15,0.55,0.15
1777814569.302,round_robin,0.55,0.15,0.15,0.15
1777814570.319,round_robin,0.15,0.55,0.15,0.15
1777814571.332,round_robin,0.15,0.15,0.15,0.55
1777814572.352,round_robin,0.15,0.15,0.55,0.15
1777814573.371,round_robin,0.55,0.15,0.15,0.15
1777814574.387,round_robin,0.15,0.55,0.15,0.15
1777814575.404,round_robin,0.15,0.15,0.15,0.55
1777814576.421,round_robin,0.15,0.15,0.55,0.15
1777814577.437,round_robin,0.55,0.15,0.15,0.15
1777814578.445,round_robin,0.15,0.55,0.15,0.15
1777814579.455,round_robin,0.15,0.15,0.15,0.55
1777814580.468,round_robin,0.15,0.15,0.55,0.15
1777814581.488,round_robin,0.55,0.15,0.15,0.15
1777814582.504,round_robin,0.15,0.55,0.15,0.15
1777814583.518,round_robin,0.15,0.15,0.15,0.55
1777814584.538,round_robin,0.15,0.15,0.55,0.15
1777814585.551,round_robin,0.55,0.15,0.15,0.15
1777814586.569,round_robin,0.15,0.55,0.15,0.15
1777814587.582,round_robin,0.15,0.15,0.15,0.55
1777814588.603,round_robin,0.15,0.15,0.55,0.15
1777814589.621,round_robin,0.55,0.15,0.15,0.15
1777814590.636,round_robin,0.15,0.55,0.15,0.15
1777814591.65,round_robin,0.15,0.15,0.15,0.55
1777814592.67,round_robin,0.15,0.15,0.55,0.15
1777814593.685,round_robin,0.55,0.15,0.15,0.15
1777814594.71,round_robin,0.15,0.55,0.15,0.15
1777814595.722,round_robin,0.15,0.15,0.15,0.55
1777814596.734,round_robin,0.15,0.15,0.55,0.15
1777814597.755,round_robin,0.55,0.15,0.15,0.15
1777814598.766,round_robin,0.15,0.55,0.15,0.15
1777814599.785,round_robin,0.15,0.15,0.15,0.55
1777814600.804,round_robin,0.15,0.15,0.55,0.15
1777814601.821,round_robin,0.55,0.15,0.15,0.15
1777814602.838,round_robin,0.15,0.55,0.15,0.15
1777814603.854,round_robin,0.15,0.15,0.15,0.55
1777814604.873,round_robin,0.15,0.15,0.55,0.15
1777814605.887,round_robin,0.55,0.15,0.15,0.15
1777814606.905,round_robin,0.15,0.55,0.15,0.15
1777814607.924,round_robin,0.15,0.15,0.15,0.55
1777814608.937,round_robin,0.15,0.15,0.55,0.15
1777814609.955,round_robin,0.55,0.15,0.15,0.15
1777814610.973,round_robin,0.15,0.55,0.15,0.15
1777814611.989,round_robin,0.15,0.15,0.15,0.55
1777814613.006,round_robin,0.15,0.15,0.55,0.15
1777814614.023,round_robin,0.55,0.15,0.15,0.15
1777814615.039,round_robin,0.15,0.55,0.15,0.15
1777814616.052,round_robin,0.15,0.15,0.15,0.55
1777814617.067,round_robin,0.15,0.15,0.55,0.15
1777814618.087,round_robin,0.55,0.15,0.15,0.15
1777814619.106,round_robin,0.15,0.55,0.15,0.15
1777814620.121,round_robin,0.15,0.15,0.15,0.55
1777814621.14,round_robin,0.15,0.15,0.55,0.15
1777814622.156,round_robin,0.55,0.15,0.15,0.15
1777814623.172,round_robin,0.15,0.55,0.15,0.15
1777814624.186,round_robin,0.15,0.15,0.15,0.55
1777814625.206,round_robin,0.15,0.15,0.55,0.15
1777814626.222,round_robin,0.55,0.15,0.15,0.15
1777814627.238,round_robin,0.15,0.55,0.15,0.15
1777814628.258,round_robin,0.15,0.15,0.15,0.55
1777814629.271,round_robin,0.15,0.15,0.55,0.15
1777814630.292,round_robin,0.55,0.15,0.15,0.15
1777814631.309,round_robin,0.15,0.55,0.15,0.15
