elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.0,round_robin,paper_default,coord,14,22.5,134.43,34.979,0.2714,0.15,1777814536.8841095
6.0,round_robin,paper_default,nlp,5,14.5,153.37,23.153,0.3525,0.15,1777814536.884121
6.0,round_robin,paper_default,vision,0,16.3,226.12,27.15,0.5031,0.55,1777814536.884128
6.0,round_robin,paper_default,reasoning,2,9.7,176.65,15.657,0.2553,0.15,1777814536.8841333
11.02,round_robin,paper_default,coord,7,45.8,227.48,40.837,0.52,0.55,1777814541.9002004
11.02,round_robin,paper_default,nlp,26,30.1,216.37,24.956,0.4909,0.15,1777814541.9002054
11.02,round_robin,paper_default,vision,0,32.6,282.94,29.584,0.5613,0.15,1777814541.9002085
11.02,round_robin,paper_default,reasoning,6,20.3,231.81,17.787,0.4949,0.15,1777814541.9002116
16.02,round_robin,paper_default,coord,19,47.1,241.1,42.257,0.5657,0.15,1777814546.903134
16.02,round_robin,paper_default,nlp,0,31.1,308.61,28.462,0.6031,0.55,1777814546.903147
16.02,round_robin,paper_default,vision,7,30.8,221.85,28.899,0.3996,0.15,1777814546.9031565
16.02,round_robin,paper_default,reasoning,12,21.5,278.02,18.663,0.6054,0.15,1777814546.9031649
21.04,round_robin,paper_default,coord,32,47.2,303.85,42.687,0.6726,0.15,1777814551.9191494
21.04,round_robin,paper_default,nlp,11,30.7,311.55,28.427,0.6338,0.15,1777814551.9191625
21.04,round_robin,paper_default,vision,2,30.5,236.39,29.853,0.4682,0.15,1777814551.9191735
21.04,round_robin,paper_default,reasoning,12,22.4,325.42,19.728,0.6627,0.55,1777814551.9191833
26.05,round_robin,paper_default,coord,52,47.7,390.4,43.07,0.738,0.15,1777814556.932426
26.05,round_robin,paper_default,nlp,6,29.0,338.55,28.406,0.6649,0.15,1777814556.9324389
26.05,round_robin,paper_default,vision,1,30.8,219.48,29.865,0.4486,0.55,1777814556.9324477
26.05,round_robin,paper_default,reasoning,7,21.7,412.05,20.0,0.714,0.15,1777814556.9324565
31.07,round_robin,paper_default,coord,43,48.0,504.08,44.032,0.7851,0.55,1777814561.9505587
31.07,round_robin,paper_default,nlp,23,29.7,340.41,28.485,0.6746,0.15,1777814561.9505715
31.07,round_robin,paper_default,vision,8,30.1,202.28,29.741,0.3961,0.15,1777814561.9505801
31.07,round_robin,paper_default,reasoning,15,21.4,433.79,20.181,0.7321,0.15,1777814561.9505885
36.08,round_robin,paper_default,coord,50,46.7,578.92,44.148,0.8154,0.15,1777814566.967621
36.08,round_robin,paper_default,nlp,0,30.6,338.06,29.238,0.6616,0.55,1777814566.9676344
36.08,round_robin,paper_default,vision,6,31.6,223.49,30.18,0.4316,0.15,1777814566.9676435
36.08,round_robin,paper_default,reasoning,7,21.1,450.94,20.314,0.7558,0.15,1777814566.9676518
41.1,round_robin,paper_default,coord,44,45.0,640.99,44.231,0.8383,0.15,1777814571.9879422
41.1,round_robin,paper_default,nlp,0,29.4,338.37,29.268,0.655,0.15,1777814571.987954
41.1,round_robin,paper_default,vision,9,31.4,217.65,30.144,0.4326,0.15,1777814571.9880028
41.1,round_robin,paper_default,reasoning,7,20.4,461.07,20.461,0.7646,0.55,1777814571.9880152
46.12,round_robin,paper_default,coord,46,44.1,694.1,44.215,0.8558,0.15,1777814577.001578
46.12,round_robin,paper_default,nlp,7,28.7,320.73,28.927,0.6229,0.15,1777814577.0015922
46.12,round_robin,paper_default,vision,0,30.9,215.13,30.51,0.4442,0.55,1777814577.0016015
46.12,round_robin,paper_default,reasoning,9,20.9,438.04,20.427,0.7463,0.15,1777814577.0016105
51.13,round_robin,paper_default,coord,26,43.6,706.88,44.476,0.8707,0.55,1777814582.0150254
51.13,round_robin,paper_default,nlp,24,30.2,323.81,29.005,0.6406,0.15,1777814582.0150287
51.13,round_robin,paper_default,vision,6,32.5,224.31,30.648,0.4633,0.15,1777814582.0150309
51.13,round_robin,paper_default,reasoning,15,21.1,451.1,20.419,0.7596,0.15,1777814582.0150328
56.14,round_robin,paper_default,coord,13,43.0,683.83,44.581,0.8825,0.15,1777814587.0293684
