elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.02,static,paper_default,coord,0,23.0,30.04,38.234,0.0,0.25,1777814436.6345146
6.02,static,paper_default,nlp,2,15.9,67.52,25.933,0.0,0.25,1777814436.6345196
6.02,static,paper_default,vision,4,16.2,54.66,26.099,0.0,0.25,1777814436.6345227
6.02,static,paper_default,reasoning,0,10.2,88.37,16.79,0.0198,0.25,1777814436.6345253
11.02,static,paper_default,coord,3,46.9,29.54,42.204,0.0,0.25,1777814441.6377165
11.02,static,paper_default,nlp,1,31.7,114.72,28.68,0.1551,0.25,1777814441.637724
11.02,static,paper_default,vision,0,32.8,65.63,29.86,0.0,0.25,1777814441.6377337
11.02,static,paper_default,reasoning,1,19.8,84.57,17.789,0.0102,0.25,1777814441.6377382
16.04,static,paper_default,coord,3,48.5,30.95,44.339,0.0,0.25,1777814446.6562672
16.04,static,paper_default,nlp,5,32.9,106.46,30.058,0.1017,0.25,1777814446.6562798
16.04,static,paper_default,vision,0,33.9,70.2,31.243,0.0,0.25,1777814446.6562886
16.04,static,paper_default,reasoning,3,20.2,89.78,18.708,0.0267,0.25,1777814446.6562965
21.05,static,paper_default,coord,0,46.0,30.58,44.13,0.0,0.25,1777814451.672467
21.05,static,paper_default,nlp,2,32.8,103.7,30.545,0.0933,0.25,1777814451.6724796
21.05,static,paper_default,vision,0,33.2,65.76,31.4,0.0,0.25,1777814451.672489
21.05,static,paper_default,reasoning,0,19.9,94.0,18.811,0.0429,0.25,1777814451.6724985
26.07,static,paper_default,coord,1,43.9,29.6,44.307,0.0,0.25,1777814456.6894042
26.07,static,paper_default,nlp,0,30.5,98.29,30.42,0.0757,0.25,1777814456.6894171
26.07,static,paper_default,vision,0,31.4,66.52,31.341,0.0,0.25,1777814456.6894262
26.07,static,paper_default,reasoning,1,19.7,96.87,19.142,0.0561,0.25,1777814456.6894348
31.08,static,paper_default,coord,1,44.3,29.71,44.139,0.0,0.25,1777814461.7049742
31.08,static,paper_default,nlp,1,30.4,98.26,30.531,0.0843,0.25,1777814461.7049859
31.08,static,paper_default,vision,1,32.7,81.79,31.785,0.0628,0.25,1777814461.704995
31.08,static,paper_default,reasoning,0,20.5,97.31,19.367,0.0581,0.25,1777814461.7050033
36.1,static,paper_default,coord,0,44.3,29.78,44.32,0.0,0.25,1777814466.7248719
36.1,static,paper_default,nlp,6,31.8,106.64,30.664,0.1274,0.25,1777814466.7248845
36.1,static,paper_default,vision,2,32.6,77.55,31.661,0.0542,0.25,1777814466.7248945
36.1,static,paper_default,reasoning,2,19.7,94.72,19.252,0.0504,0.25,1777814466.724903
41.12,static,paper_default,coord,1,44.6,29.93,44.265,0.0,0.25,1777814471.7399511
41.12,static,paper_default,nlp,0,29.6,104.65,30.353,0.121,0.25,1777814471.7399626
41.12,static,paper_default,vision,1,30.2,75.99,31.399,0.048,0.25,1777814471.7399716
41.12,static,paper_default,reasoning,3,19.0,92.15,19.165,0.0444,0.25,1777814471.7399797
46.13,static,paper_default,coord,0,43.8,29.95,44.198,0.0,0.25,1777814476.7579162
46.13,static,paper_default,nlp,1,29.4,102.63,30.498,0.1073,0.25,1777814476.7579284
46.13,static,paper_default,vision,0,28.7,73.77,31.127,0.0432,0.25,1777814476.7579377
46.13,static,paper_default,reasoning,4,19.7,97.91,19.292,0.0719,0.25,1777814476.7579458
51.15,static,paper_default,coord,1,44.8,29.86,44.359,0.0,0.25,1777814481.7762985
51.15,static,paper_default,nlp,0,31.1,101.39,30.498,0.0968,0.25,1777814481.7763097
51.15,static,paper_default,vision,4,30.7,73.5,31.182,0.0389,0.25,1777814481.7763186
51.15,static,paper_default,reasoning,0,20.2,100.77,19.433,0.0835,0.25,1777814481.7763264
56.17,static,paper_default,coord,0,43.3,29.82,44.03,0.0,0.25,1777814486.7908783
