timestamp,policy,coord,nlp,vision,reasoning
1777813029.889,adaptive,0.1986,0.2671,0.2226,0.3117
1777813030.89,adaptive,0.2126,0.2625,0.2187,0.3062
1777813031.906,adaptive,0.2088,0.2637,0.2198,0.3077
1777813032.908,adaptive,0.1886,0.2677,0.2231,0.3206
1777813033.908,adaptive,0.1959,0.2658,0.2215,0.3169
1777813034.924,adaptive,0.1909,0.266,0.2217,0.3215
1777813035.924,adaptive,0.1888,0.2669,0.2224,0.3219
1777813036.925,adaptive,0.1909,0.2662,0.2218,0.3211
1777813037.94,adaptive,0.1933,0.2648,0.2207,0.3212
1777813038.953,adaptive,0.1965,0.2664,0.222,0.3151
1777813039.955,adaptive,0.1963,0.2667,0.2223,0.3147
1777813040.973,adaptive,0.1946,0.2675,0.2229,0.315
1777813041.99,adaptive,0.1946,0.2656,0.2213,0.3185
1777813043.007,adaptive,0.1989,0.2638,0.2199,0.3174
1777813044.007,adaptive,0.1998,0.2652,0.221,0.3139
1777813045.024,adaptive,0.2063,0.2644,0.2203,0.309
1777813046.04,adaptive,0.2061,0.262,0.2184,0.3135
1777813047.057,adaptive,0.2051,0.2625,0.2187,0.3137
1777813048.058,adaptive,0.2049,0.2635,0.2196,0.312
1777813049.062,adaptive,0.2053,0.2632,0.2194,0.3121
1777813050.072,adaptive,0.206,0.2632,0.2194,0.3115
1777813051.075,adaptive,0.203,0.2625,0.2187,0.3158
1777813052.092,adaptive,0.2066,0.2642,0.2201,0.3091
1777813053.108,adaptive,0.2064,0.2645,0.2204,0.3086
1777813054.125,adaptive,0.2053,0.2649,0.2208,0.3091
1777813055.132,adaptive,0.2039,0.2654,0.2211,0.3096
1777813056.132,adaptive,0.2033,0.2656,0.2213,0.3098
1777813057.135,adaptive,0.2047,0.2651,0.2209,0.3093
1777813058.148,adaptive,0.2041,0.2653,0.2211,0.3095
1777813059.167,adaptive,0.2036,0.2655,0.2212,0.3097
1777813060.183,adaptive,0.2018,0.2657,0.2214,0.3111
1777813061.185,adaptive,0.2011,0.266,0.2217,0.3111
1777813062.184,adaptive,0.2011,0.2663,0.2219,0.3107
1777813063.189,adaptive,0.2008,0.2662,0.2219,0.3111
1777813064.206,adaptive,0.1992,0.2667,0.2223,0.3118
1777813065.223,adaptive,0.1942,0.2666,0.2221,0.3171
1777813066.237,adaptive,0.1967,0.2676,0.223,0.3127
1777813067.254,adaptive,0.1906,0.2665,0.2221,0.3207
1777813068.271,adaptive,0.1934,0.2676,0.223,0.3161
1777813069.273,adaptive,0.1941,0.2659,0.2216,0.3183
1777813070.286,adaptive,0.1964,0.2664,0.222,0.3151
1777813071.288,adaptive,0.1994,0.2669,0.2224,0.3113
1777813072.306,adaptive,0.2027,0.2656,0.2213,0.3103
1777813073.321,adaptive,0.2041,0.2651,0.2209,0.31
1777813074.336,adaptive,0.2055,0.2639,0.2199,0.3107
1777813075.339,adaptive,0.2096,0.2635,0.2195,0.3074
1777813076.356,adaptive,0.2092,0.2636,0.2197,0.3075
1777813077.374,adaptive,0.2136,0.2621,0.2185,0.3058
1777813078.387,adaptive,0.2121,0.2626,0.2189,0.3064
1777813079.39,adaptive,0.2131,0.2623,0.2186,0.306
1777813080.406,adaptive,0.2112,0.2629,0.2191,0.3068
