elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,adaptive,paper_default,coord,2,22.3,33.27,36.598,0.0,0.1886,1777813033.8897367
6.01,adaptive,paper_default,nlp,0,15.9,89.62,26.284,0.0,0.2677,1777813033.8897488
6.01,adaptive,paper_default,vision,0,15.1,66.24,24.953,0.0,0.2231,1777813033.8897545
6.01,adaptive,paper_default,reasoning,0,10.4,76.13,17.135,0.0,0.3206,1777813033.889759
11.03,adaptive,paper_default,coord,2,45.5,40.88,40.994,0.0,0.1933,1777813038.9054694
11.03,adaptive,paper_default,nlp,5,31.8,83.54,28.387,0.0,0.2648,1777813038.905482
11.03,adaptive,paper_default,vision,0,31.5,82.81,28.569,0.0,0.2207,1777813038.905492
11.03,adaptive,paper_default,reasoning,0,21.0,68.93,18.955,0.0,0.3212,1777813038.9054961
16.03,adaptive,paper_default,coord,3,47.9,44.98,43.611,0.0,0.1989,1777813043.9075048
16.03,adaptive,paper_default,nlp,4,31.4,85.18,29.199,0.0043,0.2638,1777813043.9075253
16.03,adaptive,paper_default,vision,1,33.1,98.36,30.01,0.0873,0.2199,1777813043.907543
16.03,adaptive,paper_default,reasoning,0,21.6,73.15,19.965,0.0125,0.3174,1777813043.9075592
21.04,adaptive,paper_default,coord,0,48.8,42.42,44.858,0.0,0.2049,1777813048.9239278
21.04,adaptive,paper_default,nlp,1,29.8,85.26,29.224,0.0033,0.2635,1777813048.9239333
21.04,adaptive,paper_default,vision,4,32.3,93.24,30.175,0.0724,0.2196,1777813048.9239368
21.04,adaptive,paper_default,reasoning,0,21.3,71.04,20.101,0.0095,0.312,1777813048.9239404
26.06,adaptive,paper_default,coord,1,47.6,41.07,45.166,0.0,0.2064,1777813053.9417224
26.06,adaptive,paper_default,nlp,4,30.0,84.46,29.548,0.0026,0.2645,1777813053.9417362
26.06,adaptive,paper_default,vision,2,32.4,93.06,30.929,0.0583,0.2204,1777813053.9417465
26.06,adaptive,paper_default,reasoning,0,19.7,68.57,19.839,0.0077,0.3086,1777813053.9417555
31.07,adaptive,paper_default,coord,1,45.7,40.13,45.053,0.0,0.2041,1777813058.9544258
31.07,adaptive,paper_default,nlp,5,29.0,80.05,29.059,0.0022,0.2653,1777813058.9544318
31.07,adaptive,paper_default,vision,1,32.5,88.92,31.054,0.0487,0.2211,1777813058.9544358
31.07,adaptive,paper_default,reasoning,0,19.8,67.79,20.016,0.0064,0.3095,1777813058.9544396
36.09,adaptive,paper_default,coord,1,44.8,39.58,45.08,0.0,0.2008,1777813063.9707778
36.09,adaptive,paper_default,nlp,3,29.3,82.25,29.481,0.0085,0.2662,1777813063.9707813
36.09,adaptive,paper_default,vision,6,33.5,95.29,31.504,0.0484,0.2219,1777813063.970784
36.09,adaptive,paper_default,reasoning,2,20.8,66.72,20.033,0.0055,0.3111,1777813063.9707863
41.11,adaptive,paper_default,coord,4,44.4,39.06,44.812,0.0,0.1934,1777813068.9848862
41.11,adaptive,paper_default,nlp,1,29.5,80.49,29.242,0.0092,0.2676,1777813068.9848895
41.11,adaptive,paper_default,vision,1,33.2,92.69,31.553,0.0432,0.223,1777813068.9848976
41.11,adaptive,paper_default,reasoning,0,20.5,66.9,20.144,0.0048,0.3161,1777813068.9849
46.11,adaptive,paper_default,coord,2,45.3,38.87,45.11,0.0,0.2041,1777813073.989095
46.11,adaptive,paper_default,nlp,1,27.4,77.4,29.061,0.0082,0.2651,1777813073.9890985
46.11,adaptive,paper_default,vision,2,31.7,92.48,31.642,0.0418,0.2209,1777813073.9891014
46.11,adaptive,paper_default,reasoning,0,19.5,66.19,19.953,0.0043,0.31,1777813073.9891036
51.13,adaptive,paper_default,coord,1,47.8,38.83,45.457,0.0,0.2121,1777813079.0060394
51.13,adaptive,paper_default,nlp,1,29.3,79.21,29.262,0.0087,0.2626,1777813079.0060425
51.13,adaptive,paper_default,vision,2,32.8,90.96,31.785,0.0375,0.2189,1777813079.0060446
51.13,adaptive,paper_default,reasoning,2,19.0,65.12,19.853,0.0039,0.3064,1777813079.0060472
56.14,adaptive,paper_default,coord,2,48.5,38.25,45.693,0.0,0.2107,1777813084.0155263
56.14,adaptive,paper_default,nlp,0,29.3,77.28,29.108,0.008,0.2631,1777813084.0155299
56.14,adaptive,paper_default,vision,3,31.9,89.79,31.673,0.036,0.2192,1777813084.0155327
56.14,adaptive,paper_default,reasoning,0,19.5,65.12,19.898,0.0036,0.3069,1777813084.0155354
61.14,adaptive,paper_default,coord,1,47.1,37.83,45.746,0.0,0.2102,1777813089.0222468
61.14,adaptive,paper_default,nlp,4,28.8,78.29,29.145,0.0118,0.2633,1777813089.02225
61.14,adaptive,paper_default,vision,3,31.2,87.68,31.664,0.0331,0.2194,1777813089.0222523
61.14,adaptive,paper_default,reasoning,0,18.8,64.49,19.741,0.0033,0.3071,1777813089.0222547
66.16,adaptive,paper_default,coord,1,47.4,38.06,45.965,0.0,0.2083,1777813094.0396457
66.16,adaptive,paper_default,nlp,3,30.7,79.24,29.308,0.0134,0.2639,1777813094.0396495
66.16,adaptive,paper_default,vision,9,32.8,90.19,31.757,0.0466,0.2199,1777813094.0396523
66.16,adaptive,paper_default,reasoning,0,19.3,64.97,19.801,0.0031,0.3079,1777813094.0396554
71.16,adaptive,paper_default,coord,0,48.7,37.66,46.148,0.0,0.2069,1777813099.0434237
71.16,adaptive,paper_default,nlp,7,31.3,79.62,29.397,0.0206,0.2644,1777813099.043427
71.16,adaptive,paper_default,vision,1,33.2,95.02,31.913,0.0616,0.2203,1777813099.0434294
71.16,adaptive,paper_default,reasoning,2,20.3,64.36,19.772,0.0028,0.3084,1777813099.0434318
76.17,adaptive,paper_default,coord,0,46.2,37.34,46.013,0.0,0.2021,1777813104.0539582
76.17,adaptive,paper_default,nlp,1,31.2,80.53,29.577,0.0244,0.266,1777813104.0539615
76.17,adaptive,paper_default,vision,3,32.4,94.13,31.927,0.0576,0.2216,1777813104.0539637
76.17,adaptive,paper_default,reasoning,0,19.7,64.73,19.784,0.0027,0.3103,1777813104.053966
