timestamp,policy,coord,nlp,vision,reasoning
1777813230.463,round_robin,0.55,0.15,0.15,0.15
1777813231.479,round_robin,0.15,0.55,0.15,0.15
1777813232.484,round_robin,0.15,0.15,0.15,0.55
1777813233.496,round_robin,0.15,0.15,0.55,0.15
1777813234.497,round_robin,0.55,0.15,0.15,0.15
1777813235.514,round_robin,0.15,0.55,0.15,0.15
1777813236.529,round_robin,0.15,0.15,0.15,0.55
1777813237.544,round_robin,0.15,0.15,0.55,0.15
1777813238.547,round_robin,0.55,0.15,0.15,0.15
1777813239.563,round_robin,0.15,0.55,0.15,0.15
1777813240.58,round_robin,0.15,0.15,0.15,0.55
1777813241.58,round_robin,0.15,0.15,0.55,0.15
1777813242.594,round_robin,0.55,0.15,0.15,0.15
1777813243.612,round_robin,0.15,0.55,0.15,0.15
1777813244.612,round_robin,0.15,0.15,0.15,0.55
1777813245.613,round_robin,0.15,0.15,0.55,0.15
1777813246.622,round_robin,0.55,0.15,0.15,0.15
1777813247.63,round_robin,0.15,0.55,0.15,0.15
1777813248.646,round_robin,0.15,0.15,0.15,0.55
1777813249.662,round_robin,0.15,0.15,0.55,0.15
1777813250.665,round_robin,0.55,0.15,0.15,0.15
1777813251.678,round_robin,0.15,0.55,0.15,0.15
1777813252.695,round_robin,0.15,0.15,0.15,0.55
1777813253.713,round_robin,0.15,0.15,0.55,0.15
1777813254.73,round_robin,0.55,0.15,0.15,0.15
1777813255.746,round_robin,0.15,0.55,0.15,0.15
1777813256.762,round_robin,0.15,0.15,0.15,0.55
1777813257.776,round_robin,0.15,0.15,0.55,0.15
1777813258.782,round_robin,0.55,0.15,0.15,0.15
1777813259.793,round_robin,0.15,0.55,0.15,0.15
1777813260.793,round_robin,0.15,0.15,0.15,0.55
1777813261.812,round_robin,0.15,0.15,0.55,0.15
1777813262.833,round_robin,0.55,0.15,0.15,0.15
1777813263.849,round_robin,0.15,0.55,0.15,0.15
1777813264.867,round_robin,0.15,0.15,0.15,0.55
1777813265.881,round_robin,0.15,0.15,0.55,0.15
1777813266.9,round_robin,0.55,0.15,0.15,0.15
1777813267.916,round_robin,0.15,0.55,0.15,0.15
1777813268.929,round_robin,0.15,0.15,0.15,0.55
1777813269.949,round_robin,0.15,0.15,0.55,0.15
1777813270.963,round_robin,0.55,0.15,0.15,0.15
1777813271.978,round_robin,0.15,0.55,0.15,0.15
1777813272.995,round_robin,0.15,0.15,0.15,0.55
1777813274.016,round_robin,0.15,0.15,0.55,0.15
1777813275.031,round_robin,0.55,0.15,0.15,0.15
1777813276.048,round_robin,0.15,0.55,0.15,0.15
1777813277.063,round_robin,0.15,0.15,0.15,0.55
1777813278.083,round_robin,0.15,0.15,0.55,0.15
1777813279.1,round_robin,0.55,0.15,0.15,0.15
1777813280.115,round_robin,0.15,0.55,0.15,0.15
1777813281.134,round_robin,0.15,0.15,0.15,0.55
1777813282.15,round_robin,0.15,0.15,0.55,0.15
1777813283.166,round_robin,0.55,0.15,0.15,0.15
1777813284.181,round_robin,0.15,0.55,0.15,0.15
1777813285.198,round_robin,0.15,0.15,0.15,0.55
1777813286.216,round_robin,0.15,0.15,0.55,0.15
1777813287.23,round_robin,0.55,0.15,0.15,0.15
1777813288.249,round_robin,0.15,0.55,0.15,0.15
1777813289.267,round_robin,0.15,0.15,0.15,0.55
1777813290.282,round_robin,0.15,0.15,0.55,0.15
1777813291.298,round_robin,0.55,0.15,0.15,0.15
1777813292.317,round_robin,0.15,0.55,0.15,0.15
1777813293.328,round_robin,0.15,0.15,0.15,0.55
1777813294.35,round_robin,0.15,0.15,0.55,0.15
1777813295.364,round_robin,0.55,0.15,0.15,0.15
1777813296.384,round_robin,0.15,0.55,0.15,0.15
1777813297.399,round_robin,0.15,0.15,0.15,0.55
1777813298.418,round_robin,0.15,0.15,0.55,0.15
1777813299.434,round_robin,0.55,0.15,0.15,0.15
1777813300.45,round_robin,0.15,0.55,0.15,0.15
1777813301.464,round_robin,0.15,0.15,0.15,0.55
1777813302.484,round_robin,0.15,0.15,0.55,0.15
1777813303.5,round_robin,0.55,0.15,0.15,0.15
1777813304.516,round_robin,0.15,0.55,0.15,0.15
1777813305.53,round_robin,0.15,0.15,0.15,0.55
1777813306.545,round_robin,0.15,0.15,0.55,0.15
1777813307.562,round_robin,0.55,0.15,0.15,0.15
1777813308.572,round_robin,0.15,0.55,0.15,0.15
1777813309.584,round_robin,0.15,0.15,0.15,0.55
1777813310.6,round_robin,0.15,0.15,0.55,0.15
1777813311.612,round_robin,0.55,0.15,0.15,0.15
1777813312.634,round_robin,0.15,0.55,0.15,0.15
1777813313.65,round_robin,0.15,0.15,0.15,0.55
1777813314.666,round_robin,0.15,0.15,0.55,0.15
1777813315.687,round_robin,0.55,0.15,0.15,0.15
1777813316.702,round_robin,0.15,0.55,0.15,0.15
1777813317.72,round_robin,0.15,0.15,0.15,0.55
1777813318.734,round_robin,0.15,0.15,0.55,0.15
1777813319.754,round_robin,0.55,0.15,0.15,0.15
1777813320.771,round_robin,0.15,0.55,0.15,0.15
1777813321.784,round_robin,0.15,0.15,0.15,0.55
1777813322.803,round_robin,0.15,0.15,0.55,0.15
1777813323.817,round_robin,0.55,0.15,0.15,0.15
1777813324.834,round_robin,0.15,0.55,0.15,0.15
1777813325.854,round_robin,0.15,0.15,0.15,0.55
1777813326.867,round_robin,0.15,0.15,0.55,0.15
1777813327.886,round_robin,0.55,0.15,0.15,0.15
1777813328.906,round_robin,0.15,0.55,0.15,0.15
