elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,round_robin,paper_default,coord,11,21.8,100.54,34.269,0.2816,0.15,1777813234.463334
6.01,round_robin,paper_default,nlp,14,14.6,193.88,21.792,0.3511,0.15,1777813234.4633582
6.01,round_robin,paper_default,vision,0,17.1,200.1,28.28,0.5353,0.55,1777813234.4633722
6.01,round_robin,paper_default,reasoning,4,10.1,113.39,15.97,0.0938,0.15,1777813234.4633863
11.01,round_robin,paper_default,coord,1,44.3,114.16,40.131,0.181,0.55,1777813239.466076
11.01,round_robin,paper_default,nlp,18,29.7,307.17,25.331,0.5806,0.15,1777813239.46609
11.01,round_robin,paper_default,vision,2,33.4,214.35,30.053,0.5227,0.15,1777813239.4660993
11.01,round_robin,paper_default,reasoning,12,21.4,356.51,18.249,0.5572,0.15,1777813239.4661076
16.03,round_robin,paper_default,coord,11,46.2,133.95,41.683,0.238,0.15,1777813244.478665
16.03,round_robin,paper_default,nlp,1,30.6,344.65,28.08,0.66,0.55,1777813244.4786732
16.03,round_robin,paper_default,vision,15,32.7,193.73,30.077,0.4315,0.15,1777813244.478679
16.03,round_robin,paper_default,reasoning,9,20.5,382.78,18.47,0.6351,0.15,1777813244.4786844
21.04,round_robin,paper_default,coord,17,46.1,184.46,42.152,0.4059,0.15,1777813249.4957194
21.04,round_robin,paper_default,nlp,9,30.5,303.07,28.228,0.6128,0.15,1777813249.4957318
21.04,round_robin,paper_default,vision,13,32.8,224.98,30.795,0.4753,0.15,1777813249.4957402
21.04,round_robin,paper_default,reasoning,1,20.6,402.59,19.912,0.6706,0.55,1777813249.4957483
26.06,round_robin,paper_default,coord,35,46.2,241.36,42.514,0.5108,0.15,1777813254.5167887
26.06,round_robin,paper_default,nlp,23,31.2,328.38,28.432,0.6262,0.15,1777813254.5168018
26.06,round_robin,paper_default,vision,0,33.6,247.13,32.039,0.5257,0.55,1777813254.5168118
26.06,round_robin,paper_default,reasoning,4,20.5,397.27,19.492,0.6555,0.15,1777813254.51682
31.07,round_robin,paper_default,coord,13,45.9,287.91,43.482,0.5988,0.55,1777813259.5233078
31.07,round_robin,paper_default,nlp,6,29.9,364.87,28.838,0.6786,0.15,1777813259.5233197
31.07,round_robin,paper_default,vision,0,33.4,232.5,32.056,0.488,0.15,1777813259.5233295
31.07,round_robin,paper_default,reasoning,9,19.3,379.87,19.472,0.6595,0.15,1777813259.5233383
36.07,round_robin,paper_default,coord,21,45.6,313.03,43.744,0.6565,0.15,1777813264.5287652
36.07,round_robin,paper_default,nlp,2,29.3,343.54,29.246,0.6531,0.55,1777813264.528778
36.07,round_robin,paper_default,vision,7,32.6,234.06,31.963,0.5074,0.15,1777813264.5287867
36.07,round_robin,paper_default,reasoning,22,21.6,391.63,19.571,0.6799,0.15,1777813264.5287955
41.09,round_robin,paper_default,coord,25,46.1,337.6,43.828,0.6991,0.15,1777813269.547741
41.09,round_robin,paper_default,nlp,8,29.6,317.71,28.983,0.6003,0.15,1777813269.5477536
41.09,round_robin,paper_default,vision,9,33.5,243.48,32.196,0.5193,0.15,1777813269.547775
41.09,round_robin,paper_default,reasoning,2,21.9,420.21,20.223,0.7112,0.55,1777813269.5477884
46.11,round_robin,paper_default,coord,25,44.9,367.34,43.874,0.7321,0.15,1777813274.5676236
46.11,round_robin,paper_default,nlp,1,27.2,314.03,28.844,0.597,0.15,1777813274.5676363
46.11,round_robin,paper_default,vision,0,31.9,233.8,32.119,0.4976,0.55,1777813274.567645
46.11,round_robin,paper_default,reasoning,7,21.5,402.75,20.321,0.6873,0.15,1777813274.5676537
51.12,round_robin,paper_default,coord,32,45.5,388.5,44.031,0.7592,0.55,1777813279.5792775
51.12,round_robin,paper_default,nlp,12,28.0,302.51,28.695,0.5849,0.15,1777813279.5792809
51.12,round_robin,paper_default,vision,2,31.1,240.29,32.119,0.5055,0.15,1777813279.5792832
51.12,round_robin,paper_default,reasoning,6,21.4,416.61,20.402,0.7057,0.15,1777813279.5792856
56.14,round_robin,paper_default,coord,29,45.9,423.98,44.173,0.7815,0.15,1777813284.601055
56.14,round_robin,paper_default,nlp,5,28.9,305.25,28.784,0.5941,0.55,1777813284.6010678
56.14,round_robin,paper_default,vision,2,30.6,239.24,31.83,0.5126,0.15,1777813284.6010778
56.14,round_robin,paper_default,reasoning,12,19.5,414.57,20.092,0.7083,0.15,1777813284.6010861
61.16,round_robin,paper_default,coord,20,43.6,446.82,44.164,0.7993,0.15,1777813289.6176507
61.16,round_robin,paper_default,nlp,7,29.5,309.7,28.909,0.5995,0.15,1777813289.6176622
61.16,round_robin,paper_default,vision,17,31.5,238.22,31.786,0.5185,0.15,1777813289.6176715
61.16,round_robin,paper_default,reasoning,9,19.4,429.56,20.193,0.7166,0.55,1777813289.6176798
66.17,round_robin,paper_default,coord,30,44.4,459.09,44.191,0.8146,0.15,1777813294.626285
66.17,round_robin,paper_default,nlp,4,29.9,319.12,28.972,0.6119,0.15,1777813294.6262937
66.17,round_robin,paper_default,vision,18,33.5,245.53,31.828,0.5256,0.55,1777813294.6263
66.17,round_robin,paper_default,reasoning,3,20.3,419.18,20.267,0.7107,0.15,1777813294.6263058
71.18,round_robin,paper_default,coord,41,47.6,482.49,44.355,0.8283,0.55,1777813299.635356
71.18,round_robin,paper_default,nlp,9,28.1,313.78,28.774,0.6133,0.15,1777813299.63537
71.18,round_robin,paper_default,vision,1,32.4,245.79,32.09,0.5267,0.15,1777813299.6353793
71.18,round_robin,paper_default,reasoning,11,21.1,420.58,20.288,0.7181,0.15,1777813299.6353877
76.19,round_robin,paper_default,coord,18,46.3,507.42,44.625,0.8406,0.15,1777813304.649455
76.19,round_robin,paper_default,nlp,15,28.0,316.4,28.704,0.6182,0.55,1777813304.6494675
76.19,round_robin,paper_default,vision,12,33.3,244.94,32.104,0.527,0.15,1777813304.6494765
76.19,round_robin,paper_default,reasoning,6,21.1,424.0,20.331,0.7218,0.15,1777813304.649485
81.2,round_robin,paper_default,coord,19,44.6,509.19,44.654,0.8505,0.15,1777813309.66136
81.2,round_robin,paper_default,nlp,0,29.9,320.5,29.038,0.6234,0.15,1777813309.6613712
81.2,round_robin,paper_default,vision,17,33.9,248.09,32.105,0.5355,0.15,1777813309.6613805
81.2,round_robin,paper_default,reasoning,7,18.8,421.49,20.147,0.72,0.55,1777813309.6613886
86.22,round_robin,paper_default,coord,36,46.1,513.6,44.586,0.859,0.15,1777813314.6782622
86.22,round_robin,paper_default,nlp,6,30.5,320.64,29.02,0.6171,0.15,1777813314.6782758
86.22,round_robin,paper_default,vision,20,33.9,256.69,32.222,0.5482,0.55,1777813314.678285
86.22,round_robin,paper_default,reasoning,0,17.9,415.43,20.124,0.7147,0.15,1777813314.678293
91.24,round_robin,paper_default,coord,49,46.6,527.06,44.542,0.8666,0.15,1777813319.698857
91.24,round_robin,paper_default,nlp,11,28.7,317.3,28.858,0.6198,0.15,1777813319.6988695
91.24,round_robin,paper_default,vision,1,31.8,253.68,32.256,0.545,0.55,1777813319.698879
91.24,round_robin,paper_default,reasoning,2,19.2,419.79,20.09,0.7196,0.15,1777813319.698887
96.26,round_robin,paper_default,coord,27,44.8,544.69,44.703,0.874,0.55,1777813324.7213604
96.26,round_robin,paper_default,nlp,16,28.1,317.24,28.808,0.6242,0.15,1777813324.7213724
96.26,round_robin,paper_default,vision,6,31.2,252.69,32.257,0.5478,0.15,1777813324.7213814
96.26,round_robin,paper_default,reasoning,16,20.6,415.84,20.03,0.7199,0.15,1777813324.72139
