elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,static,paper_default,coord,1,22.2,28.75,36.61,0.0,0.25,1777813134.183113
6.01,static,paper_default,nlp,0,15.5,92.74,25.627,0.0584,0.25,1777813134.183132
6.01,static,paper_default,vision,2,16.5,59.23,26.958,0.0,0.25,1777813134.183145
6.01,static,paper_default,reasoning,1,9.3,94.57,15.143,0.011,0.25,1777813134.1831553
11.01,static,paper_default,coord,0,45.7,29.04,41.413,0.0,0.25,1777813139.1848774
11.01,static,paper_default,nlp,1,31.1,79.8,28.153,0.029,0.25,1777813139.1848953
11.01,static,paper_default,vision,0,31.6,56.43,28.607,0.0,0.25,1777813139.184909
11.01,static,paper_default,reasoning,1,19.9,97.51,17.891,0.0102,0.25,1777813139.1849217
16.03,static,paper_default,coord,0,46.9,28.96,43.18,0.0,0.25,1777813144.201128
16.03,static,paper_default,nlp,2,31.2,86.44,29.016,0.0194,0.25,1777813144.2011364
16.03,static,paper_default,vision,0,31.2,62.94,29.765,0.0,0.25,1777813144.2011423
16.03,static,paper_default,reasoning,5,22.0,104.6,19.157,0.0423,0.25,1777813144.2011478
21.03,static,paper_default,coord,1,46.9,29.09,43.988,0.0,0.25,1777813149.2037253
21.03,static,paper_default,nlp,3,29.9,82.08,28.961,0.0148,0.25,1777813149.2037382
21.03,static,paper_default,vision,1,32.7,61.94,30.53,0.0,0.25,1777813149.2037475
21.03,static,paper_default,reasoning,4,22.4,142.92,19.926,0.2148,0.25,1777813149.2037563
26.04,static,paper_default,coord,0,45.5,29.67,44.042,0.0,0.25,1777813154.219325
26.04,static,paper_default,nlp,2,29.6,80.46,29.297,0.0118,0.25,1777813154.219337
26.04,static,paper_default,vision,0,33.4,62.26,31.217,0.0,0.25,1777813154.2193458
26.04,static,paper_default,reasoning,0,21.7,136.19,20.312,0.1777,0.25,1777813154.2193542
31.05,static,paper_default,coord,0,44.4,29.86,44.183,0.0,0.25,1777813159.229507
31.05,static,paper_default,nlp,5,30.9,93.99,29.53,0.0687,0.25,1777813159.2295198
31.05,static,paper_default,vision,2,33.6,60.29,31.463,0.0,0.25,1777813159.2295296
31.05,static,paper_default,reasoning,0,20.2,130.92,20.127,0.1648,0.25,1777813159.2295382
36.06,static,paper_default,coord,1,46.4,30.12,44.623,0.0,0.25,1777813164.2354338
36.06,static,paper_default,nlp,2,30.0,91.8,29.508,0.063,0.25,1777813164.2354467
36.06,static,paper_default,vision,2,32.8,58.55,31.588,0.0,0.25,1777813164.2354567
36.06,static,paper_default,reasoning,2,19.8,128.37,20.134,0.1556,0.25,1777813164.235466
41.07,static,paper_default,coord,0,45.7,30.26,44.531,0.0,0.25,1777813169.2518106
41.07,static,paper_default,nlp,0,28.6,88.86,29.411,0.0555,0.25,1777813169.2518218
41.07,static,paper_default,vision,1,32.4,57.95,31.748,0.0,0.25,1777813169.2518306
41.07,static,paper_default,reasoning,1,21.5,140.43,20.427,0.2157,0.25,1777813169.2518387
46.08,static,paper_default,coord,2,45.2,30.44,44.731,0.0,0.25,1777813174.2554994
46.08,static,paper_default,nlp,4,30.9,95.73,29.777,0.07,0.25,1777813174.2555134
46.08,static,paper_default,vision,0,31.3,56.89,31.578,0.0,0.25,1777813174.255523
46.08,static,paper_default,reasoning,0,19.5,134.71,20.054,0.1959,0.25,1777813174.2555313
51.09,static,paper_default,coord,0,47.0,30.58,45.02,0.0,0.25,1777813179.267001
51.09,static,paper_default,nlp,4,33.7,99.51,30.183,0.0726,0.25,1777813179.2670138
51.09,static,paper_default,vision,0,29.9,56.96,31.416,0.0,0.25,1777813179.2670233
51.09,static,paper_default,reasoning,1,18.3,138.03,20.005,0.2182,0.25,1777813179.2670326
56.11,static,paper_default,coord,1,46.2,30.66,45.02,0.0,0.25,1777813184.2892728
56.11,static,paper_default,nlp,2,31.5,97.72,30.138,0.0662,0.25,1777813184.2892854
56.11,static,paper_default,vision,0,29.1,55.67,31.154,0.0,0.25,1777813184.2892942
56.11,static,paper_default,reasoning,0,19.6,133.5,19.997,0.1996,0.25,1777813184.2893026
61.13,static,paper_default,coord,1,46.5,30.89,45.267,0.0,0.25,1777813189.3070781
61.13,static,paper_default,nlp,0,29.0,95.87,30.036,0.061,0.25,1777813189.3070905
61.13,static,paper_default,vision,3,30.3,56.54,31.182,0.0,0.25,1777813189.3070998
61.13,static,paper_default,reasoning,4,20.4,133.93,20.041,0.2,0.25,1777813189.3071086
66.14,static,paper_default,coord,1,47.6,30.96,45.401,0.0,0.25,1777813194.324239
66.14,static,paper_default,nlp,0,29.9,96.71,30.147,0.0632,0.25,1777813194.3242543
66.14,static,paper_default,vision,1,31.8,59.33,31.22,0.0073,0.25,1777813194.3242662
66.14,static,paper_default,reasoning,1,21.0,133.09,20.123,0.1916,0.25,1777813194.3242772
71.16,static,paper_default,coord,1,47.6,30.95,45.588,0.0,0.25,1777813199.3393064
71.16,static,paper_default,nlp,2,29.8,95.78,29.975,0.0591,0.25,1777813199.339319
71.16,static,paper_default,vision,0,31.2,58.54,31.24,0.0067,0.25,1777813199.3393285
71.16,static,paper_default,reasoning,4,21.9,134.18,20.293,0.1898,0.25,1777813199.339337
76.17,static,paper_default,coord,1,48.6,31.14,45.83,0.0,0.25,1777813204.3543818
76.17,static,paper_default,nlp,6,28.9,93.93,29.879,0.0554,0.25,1777813204.3543935
76.17,static,paper_default,vision,1,31.5,58.3,31.258,0.0067,0.25,1777813204.3544033
76.17,static,paper_default,reasoning,0,20.5,131.68,20.204,0.1813,0.25,1777813204.3544116
81.19,static,paper_default,coord,1,48.7,31.23,45.965,0.0,0.25,1777813209.3752935
81.19,static,paper_default,nlp,3,28.5,93.33,29.793,0.0554,0.25,1777813209.375305
81.19,static,paper_default,vision,1,33.3,58.05,31.469,0.0063,0.25,1777813209.375314
81.19,static,paper_default,reasoning,1,20.2,132.11,20.31,0.1825,0.25,1777813209.3753219
86.21,static,paper_default,coord,1,47.1,31.06,45.972,0.0,0.25,1777813214.3885765
86.21,static,paper_default,nlp,0,27.3,91.82,29.662,0.0524,0.25,1777813214.3885906
86.21,static,paper_default,vision,0,33.6,58.35,31.552,0.0059,0.25,1777813214.3886006
86.21,static,paper_default,reasoning,1,22.1,132.1,20.416,0.1795,0.25,1777813214.3886092
91.22,static,paper_default,coord,0,47.0,30.83,46.084,0.0,0.25,1777813219.409458
91.22,static,paper_default,nlp,1,28.9,90.46,29.718,0.0494,0.25,1777813219.4094696
91.22,static,paper_default,vision,2,32.8,57.93,31.604,0.0055,0.25,1777813219.409479
91.22,static,paper_default,reasoning,0,21.7,129.13,20.477,0.1692,0.25,1777813219.409487
96.24,static,paper_default,coord,1,48.8,30.85,46.248,0.0,0.25,1777813224.4269545
96.24,static,paper_default,nlp,2,30.7,89.7,29.738,0.0468,0.25,1777813224.4269662
