timestamp,policy,coord,nlp,vision,reasoning
1777538306.729,adaptive,0.0764,0.1528,0.1528,0.6181
1777538311.733,adaptive,0.1881,0.1593,0.1593,0.4932
1777538316.748,adaptive,0.1002,0.1642,0.1642,0.5714
1777538321.755,adaptive,0.1499,0.1652,0.1652,0.5197
1777538326.765,adaptive,0.1218,0.1661,0.1661,0.5459
1777538331.77,adaptive,0.1385,0.1667,0.1667,0.5282
1777538336.782,adaptive,0.1285,0.1686,0.1686,0.5343
1777538341.793,adaptive,0.1103,0.1675,0.1675,0.5546
1777538346.803,adaptive,0.1246,0.166,0.166,0.5434
1777538351.815,adaptive,0.1106,0.1647,0.1647,0.56
1777538356.833,adaptive,0.12,0.1629,0.1629,0.5541
