elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,adaptive,high_reasoning,coord,0,10.8,97.27,17.792,0.0,0.0764,1777538306.7292933
6.01,adaptive,high_reasoning,nlp,3,10.6,143.4,16.462,0.0303,0.1528,1777538306.7293134
6.01,adaptive,high_reasoning,vision,0,7.9,168.66,12.471,0.16,0.1528,1777538306.7293262
6.01,adaptive,high_reasoning,reasoning,131,22.7,1637.9,15.298,1.0,0.6181,1777538306.7293363
11.02,adaptive,high_reasoning,coord,41,22.3,412.56,16.155,0.3933,0.1881,1777538311.7332182
11.02,adaptive,high_reasoning,nlp,21,22.1,349.39,17.88,0.4924,0.1593,1777538311.7332232
11.02,adaptive,high_reasoning,vision,8,15.8,333.82,13.251,0.5411,0.1593,1777538311.7332268
11.02,adaptive,high_reasoning,reasoning,134,45.2,2612.78,28.59,1.0,0.4932,1777538311.7332306
16.03,adaptive,high_reasoning,coord,0,24.1,639.72,21.582,0.5636,0.1881,1777538316.7471294
16.03,adaptive,high_reasoning,nlp,52,24.8,778.7,18.588,0.6644,0.1593,1777538316.7471328
16.03,adaptive,high_reasoning,vision,7,16.4,541.96,14.471,0.7112,0.1593,1777538316.7471352
16.03,adaptive,high_reasoning,reasoning,182,45.9,2935.95,31.188,1.0,0.4932,1777538316.7471375
21.04,adaptive,high_reasoning,coord,35,25.8,677.71,21.012,0.6471,0.1002,1777538321.7529187
21.04,adaptive,high_reasoning,nlp,77,26.1,1265.64,19.11,0.7512,0.1642,1777538321.7529314
21.04,adaptive,high_reasoning,vision,16,17.7,629.93,14.974,0.7873,0.1642,1777538321.7529414
21.04,adaptive,high_reasoning,reasoning,207,46.6,3296.73,33.704,1.0,0.5714,1777538321.7529507
26.05,adaptive,high_reasoning,coord,22,25.8,823.03,22.303,0.7315,0.1218,1777538326.767248
26.05,adaptive,high_reasoning,nlp,90,24.8,1718.02,19.539,0.8035,0.1661,1777538326.7672613
26.05,adaptive,high_reasoning,vision,21,18.1,743.22,15.393,0.8329,0.1661,1777538326.7672706
26.05,adaptive,high_reasoning,reasoning,239,45.4,3668.61,34.472,1.0,0.5459,1777538326.7672806
31.07,adaptive,high_reasoning,coord,36,25.8,886.36,22.532,0.7771,0.1385,1777538331.784047
31.07,adaptive,high_reasoning,nlp,108,24.1,2151.33,19.763,0.8371,0.1667,1777538331.78405
31.07,adaptive,high_reasoning,vision,20,17.6,853.27,15.676,0.8624,0.1667,1777538331.784052
31.07,adaptive,high_reasoning,reasoning,246,43.3,4038.69,35.536,1.0,0.5282,1777538331.7840543
36.08,adaptive,high_reasoning,coord,35,25.9,989.44,22.921,0.8114,0.1285,1777538336.79704
36.08,adaptive,high_reasoning,nlp,133,25.2,2562.89,19.9,0.8607,0.1686,1777538336.7970457
36.08,adaptive,high_reasoning,vision,24,17.3,938.56,15.826,0.8827,0.1686,1777538336.7970495
36.08,adaptive,high_reasoning,reasoning,275,43.5,4338.83,35.975,1.0,0.5343,1777538336.797054
41.09,adaptive,high_reasoning,coord,32,24.5,1046.92,23.094,0.8356,0.1103,1777538341.80926
41.09,adaptive,high_reasoning,nlp,142,24.4,2988.3,20.076,0.8788,0.1675,1777538341.8092628
41.09,adaptive,high_reasoning,vision,27,18.0,1031.19,16.061,0.8985,0.1675,1777538341.8092654
41.09,adaptive,high_reasoning,reasoning,313,46.2,4625.91,36.478,1.0,0.5546,1777538341.8092678
46.1,adaptive,high_reasoning,coord,48,24.0,1115.38,22.883,0.8521,0.1246,1777538346.8196194
46.1,adaptive,high_reasoning,nlp,150,23.2,3389.36,20.259,0.8929,0.166,1777538346.819624
46.1,adaptive,high_reasoning,vision,24,17.5,1095.33,16.181,0.9102,0.166,1777538346.8196275
46.1,adaptive,high_reasoning,reasoning,336,46.7,4900.69,36.982,1.0,0.5434,1777538346.8196347
51.11,adaptive,high_reasoning,coord,45,23.9,1214.05,22.988,0.8672,0.1106,1777538351.830281
51.11,adaptive,high_reasoning,nlp,152,22.6,3748.5,20.366,0.9039,0.1647,1777538351.8302853
51.11,adaptive,high_reasoning,vision,23,16.7,1136.25,16.258,0.9194,0.1647,1777538351.830288
51.11,adaptive,high_reasoning,reasoning,373,46.1,5197.94,37.172,1.0,0.56,1777538351.8302903
56.13,adaptive,high_reasoning,coord,58,23.4,1304.71,22.787,0.878,0.12,1777538356.8489792
56.13,adaptive,high_reasoning,nlp,152,21.8,4075.23,20.488,0.913,0.1629,1777538356.8489935
56.13,adaptive,high_reasoning,vision,16,16.1,1175.7,16.302,0.9268,0.1629,1777538356.849005
56.13,adaptive,high_reasoning,reasoning,391,45.9,5532.4,37.592,1.0,0.5541,1777538356.849016
