timestamp,policy,coord,nlp,vision,reasoning
1777815260.297,adaptive,0.1856,0.2715,0.2262,0.3167
1777815261.297,adaptive,0.1956,0.2681,0.2235,0.3128
1777815262.297,adaptive,0.1918,0.2694,0.2245,0.3143
1777815263.313,adaptive,0.2009,0.2664,0.222,0.3108
1777815264.314,adaptive,0.1977,0.2674,0.2229,0.312
1777815265.325,adaptive,0.1991,0.267,0.2225,0.3115
1777815266.325,adaptive,0.2022,0.2659,0.2216,0.3103
1777815267.337,adaptive,0.2015,0.2662,0.2218,0.3105
1777815268.347,adaptive,0.1994,0.2669,0.2224,0.3113
1777815269.359,adaptive,0.1992,0.2669,0.2225,0.3114
1777815270.362,adaptive,0.1979,0.2667,0.2222,0.3132
1777815271.366,adaptive,0.1966,0.2678,0.2232,0.3124
1777815272.371,adaptive,0.1998,0.2667,0.2223,0.3112
1777815273.372,adaptive,0.1962,0.2671,0.2225,0.3142
1777815274.375,adaptive,0.1972,0.2676,0.223,0.3122
1777815275.379,adaptive,0.1968,0.2677,0.2231,0.3124
1777815276.393,adaptive,0.1964,0.2679,0.2232,0.3125
1777815277.406,adaptive,0.1971,0.2676,0.223,0.3122
1777815278.408,adaptive,0.1958,0.2679,0.2232,0.313
1777815279.418,adaptive,0.1951,0.2672,0.2227,0.315
1777815280.431,adaptive,0.1953,0.267,0.2225,0.3152
1777815281.44,adaptive,0.1955,0.2662,0.2218,0.3166
1777815282.453,adaptive,0.1939,0.2652,0.221,0.3199
1777815283.457,adaptive,0.1978,0.265,0.2208,0.3164
1777815284.46,adaptive,0.1964,0.2625,0.2188,0.3222
1777815285.46,adaptive,0.1964,0.2598,0.2165,0.3274
1777815286.473,adaptive,0.1915,0.2614,0.2178,0.3292
1777815287.477,adaptive,0.1925,0.2616,0.218,0.3279
1777815288.49,adaptive,0.1961,0.2618,0.2181,0.324
1777815289.496,adaptive,0.1981,0.2626,0.2189,0.3204
1777815290.511,adaptive,0.2008,0.2632,0.2193,0.3167
1777815291.519,adaptive,0.2009,0.2634,0.2195,0.3162
1777815292.521,adaptive,0.2018,0.2641,0.2201,0.3141
1777815293.526,adaptive,0.1957,0.2635,0.2196,0.3212
1777815294.542,adaptive,0.1997,0.2659,0.2216,0.3128
1777815295.545,adaptive,0.1939,0.2659,0.2215,0.3187
1777815296.548,adaptive,0.1964,0.2658,0.2215,0.3164
1777815297.558,adaptive,0.1962,0.2664,0.222,0.3154
1777815298.573,adaptive,0.1955,0.2661,0.2218,0.3167
1777815299.578,adaptive,0.1951,0.2654,0.2212,0.3183
1777815300.595,adaptive,0.196,0.266,0.2217,0.3163
1777815301.6,adaptive,0.1912,0.2658,0.2215,0.3215
1777815302.606,adaptive,0.1891,0.2661,0.2217,0.3231
1777815303.622,adaptive,0.1933,0.2677,0.2231,0.316
1777815304.622,adaptive,0.1926,0.2655,0.2213,0.3206
1777815305.625,adaptive,0.1987,0.2671,0.2226,0.3116
1777815306.642,adaptive,0.1992,0.2665,0.2221,0.3123
1777815307.652,adaptive,0.2011,0.266,0.2217,0.3113
1777815308.666,adaptive,0.2,0.2667,0.2222,0.3111
1777815309.673,adaptive,0.2009,0.2664,0.222,0.3108
1777815310.679,adaptive,0.2009,0.2664,0.222,0.3108
1777815311.695,adaptive,0.2044,0.2652,0.221,0.3094
1777815312.7,adaptive,0.2079,0.264,0.22,0.308
1777815313.706,adaptive,0.2041,0.2653,0.2211,0.3095
1777815314.722,adaptive,0.2051,0.265,0.2208,0.3091
1777815315.724,adaptive,0.2041,0.2653,0.2211,0.3095
1777815316.728,adaptive,0.204,0.2649,0.2208,0.3103
1777815317.736,adaptive,0.2037,0.2654,0.2212,0.3097
1777815318.748,adaptive,0.1999,0.2635,0.2196,0.3171
1777815319.751,adaptive,0.1956,0.2633,0.2194,0.3217
1777815320.761,adaptive,0.1947,0.2632,0.2194,0.3227
1777815321.768,adaptive,0.1872,0.2615,0.2179,0.3334
1777815322.774,adaptive,0.1813,0.2625,0.2187,0.3375
1777815323.787,adaptive,0.1816,0.2634,0.2195,0.3355
1777815324.788,adaptive,0.1798,0.2619,0.2183,0.34
1777815325.794,adaptive,0.1755,0.261,0.2175,0.3461
1777815326.81,adaptive,0.1708,0.2612,0.2176,0.3504
1777815327.818,adaptive,0.1743,0.2607,0.2173,0.3477
1777815328.832,adaptive,0.1747,0.262,0.2183,0.345
1777815329.836,adaptive,0.1761,0.2616,0.218,0.3443
1777815330.846,adaptive,0.1769,0.2625,0.2187,0.3419
1777815331.863,adaptive,0.1788,0.2621,0.2184,0.3408
1777815332.879,adaptive,0.178,0.2598,0.2165,0.3457
1777815333.89,adaptive,0.1807,0.2597,0.2164,0.3432
1777815334.899,adaptive,0.1815,0.2609,0.2174,0.3402
1777815335.902,adaptive,0.1857,0.2628,0.219,0.3324
1777815336.907,adaptive,0.1834,0.2632,0.2194,0.334
1777815337.91,adaptive,0.1803,0.2628,0.219,0.3379
1777815338.923,adaptive,0.1819,0.2621,0.2184,0.3375
1777815339.944,adaptive,0.1885,0.2624,0.2186,0.3305
1777815340.96,adaptive,0.1884,0.2617,0.2181,0.3319
1777815341.964,adaptive,0.1934,0.2637,0.2198,0.3231
1777815342.97,adaptive,0.2018,0.2655,0.2212,0.3115
1777815343.978,adaptive,0.2016,0.2655,0.2212,0.3117
1777815344.984,adaptive,0.2044,0.2652,0.221,0.3094
1777815345.989,adaptive,0.2024,0.2654,0.2212,0.311
1777815346.991,adaptive,0.2067,0.2644,0.2204,0.3085
1777815348.009,adaptive,0.2049,0.265,0.2208,0.3092
1777815349.019,adaptive,0.2047,0.2651,0.2209,0.3093
1777815350.023,adaptive,0.2017,0.2661,0.2218,0.3105
1777815351.033,adaptive,0.201,0.2663,0.2219,0.3107
1777815352.048,adaptive,0.2011,0.2663,0.2219,0.3107
1777815353.061,adaptive,0.2026,0.2658,0.2215,0.3101
1777815354.063,adaptive,0.1998,0.2667,0.2223,0.3112
1777815355.068,adaptive,0.2008,0.2662,0.2218,0.3112
1777815356.074,adaptive,0.2016,0.2661,0.2218,0.3105
1777815357.087,adaptive,0.1978,0.264,0.22,0.3183
1777815358.091,adaptive,0.1976,0.264,0.22,0.3183
1777815359.094,adaptive,0.1972,0.2642,0.2202,0.3184
