elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,adaptive,paper_default,coord,133,22.3,1477.08,14.808,0.9213,0.2009,1777815264.2964275
6.01,adaptive,paper_default,nlp,100,16.2,1605.99,10.15,0.9344,0.2664,1777815264.2964473
6.01,adaptive,paper_default,vision,93,15.9,1566.24,10.815,0.9692,0.222,1777815264.2964597
6.01,adaptive,paper_default,reasoning,55,9.8,1502.48,6.988,0.9762,0.3108,1777815264.2964694
11.03,adaptive,paper_default,coord,270,44.7,2991.88,16.054,0.9605,0.1994,1777815269.3117607
11.03,adaptive,paper_default,nlp,178,29.8,3135.11,10.884,0.9667,0.2669,1777815269.3117688
11.03,adaptive,paper_default,vision,201,32.6,2995.62,11.428,0.9841,0.2224,1777815269.311776
11.03,adaptive,paper_default,reasoning,109,19.6,2892.83,7.891,0.9885,0.3113,1777815269.311782
16.04,adaptive,paper_default,coord,398,43.9,4508.98,16.458,0.9735,0.1962,1777815274.327654
16.04,adaptive,paper_default,nlp,265,28.7,4747.6,11.408,0.9781,0.2671,1777815274.327661
16.04,adaptive,paper_default,vision,312,33.9,4484.97,11.595,0.9892,0.2225,1777815274.3276663
16.04,adaptive,paper_default,reasoning,169,20.0,4211.38,7.979,0.9922,0.3142,1777815274.3276713
21.05,adaptive,paper_default,coord,555,45.2,5966.74,16.388,0.9797,0.1958,1777815279.338478
21.05,adaptive,paper_default,nlp,357,30.3,6171.46,11.638,0.9837,0.2679,1777815279.3384836
21.05,adaptive,paper_default,vision,428,34.7,6050.46,11.78,0.9919,0.2232,1777815279.3384879
21.05,adaptive,paper_default,reasoning,236,21.0,5646.04,8.075,0.9941,0.313,1777815279.3384926
26.06,adaptive,paper_default,coord,695,46.1,7530.64,16.463,0.9837,0.1978,1777815284.346084
26.06,adaptive,paper_default,nlp,438,29.2,7566.4,11.627,0.9868,0.265,1777815284.3460886
26.06,adaptive,paper_default,vision,518,32.7,7611.47,11.819,0.9935,0.2208,1777815284.3460922
26.06,adaptive,paper_default,reasoning,297,21.4,7130.61,8.212,0.9953,0.3164,1777815284.3460953
31.06,adaptive,paper_default,coord,836,44.8,9073.61,16.482,0.9863,0.1961,1777815289.3517697
31.06,adaptive,paper_default,nlp,526,28.4,8985.39,11.589,0.9889,0.2618,1777815289.351775
31.06,adaptive,paper_default,vision,615,30.4,9113.03,11.75,0.9945,0.2181,1777815289.3518112
31.06,adaptive,paper_default,reasoning,353,20.8,8675.76,8.402,0.9962,0.324,1777815289.3518152
36.08,adaptive,paper_default,coord,973,44.8,10678.67,16.632,0.9883,0.1957,1777815294.3625188
36.08,adaptive,paper_default,nlp,607,28.8,10538.11,11.725,0.9905,0.2635,1777815294.3625236
36.08,adaptive,paper_default,vision,726,32.4,10704.27,11.753,0.9953,0.2196,1777815294.3625271
36.08,adaptive,paper_default,reasoning,409,20.1,10058.09,8.455,0.9967,0.3212,1777815294.3625312
41.08,adaptive,paper_default,coord,1108,44.3,12188.28,16.649,0.9898,0.1955,1777815299.3700206
41.08,adaptive,paper_default,nlp,700,29.8,12074.03,11.805,0.9918,0.2661,1777815299.3700259
41.08,adaptive,paper_default,vision,818,32.3,12349.28,11.805,0.9959,0.2218,1777815299.3700356
41.08,adaptive,paper_default,reasoning,472,20.7,11402.96,8.495,0.9971,0.3167,1777815299.3700397
46.09,adaptive,paper_default,coord,1255,44.9,13707.83,16.642,0.9909,0.1933,1777815304.3744526
46.09,adaptive,paper_default,nlp,790,30.5,13574.19,11.825,0.9927,0.2677,1777815304.374458
46.09,adaptive,paper_default,vision,928,32.5,14009.79,11.869,0.9963,0.2231,1777815304.3744626
46.09,adaptive,paper_default,reasoning,535,21.4,12806.41,8.527,0.9975,0.316,1777815304.3744674
51.1,adaptive,paper_default,coord,1400,45.7,15259.41,16.633,0.9918,0.2,1777815309.3888006
51.1,adaptive,paper_default,nlp,883,30.1,15039.35,11.82,0.9934,0.2667,1777815309.388804
51.1,adaptive,paper_default,vision,1026,33.2,15669.21,11.917,0.9967,0.2222,1777815309.3888063
51.1,adaptive,paper_default,reasoning,581,19.6,14234.91,8.532,0.9977,0.3111,1777815309.3888092
56.11,adaptive,paper_default,coord,1540,45.3,16881.4,16.7,0.9925,0.2041,1777815314.3935976
56.11,adaptive,paper_default,nlp,966,29.5,16521.92,11.835,0.994,0.2653,1777815314.393601
56.11,adaptive,paper_default,vision,1124,31.8,17299.74,11.942,0.997,0.2211,1777815314.3936036
56.11,adaptive,paper_default,reasoning,639,19.0,15676.78,8.537,0.9979,0.3095,1777815314.393606
61.12,adaptive,paper_default,coord,1675,44.9,18498.66,16.77,0.9932,0.1999,1777815319.407774
61.12,adaptive,paper_default,nlp,1052,28.7,17951.76,11.813,0.9945,0.2635,1777815319.4077778
61.12,adaptive,paper_default,vision,1215,31.0,18918.47,11.96,0.9973,0.2196,1777815319.4077811
61.12,adaptive,paper_default,reasoning,702,20.8,17132.58,8.557,0.9981,0.3171,1777815319.407784
66.12,adaptive,paper_default,coord,1803,43.2,20013.39,16.756,0.9937,0.1816,1777815324.4127939
66.12,adaptive,paper_default,nlp,1153,30.2,19384.59,11.796,0.9949,0.2634,1777815324.4127982
66.12,adaptive,paper_default,vision,1323,31.9,20500.11,11.962,0.9975,0.2195,1777815324.4128017
66.12,adaptive,paper_default,reasoning,778,23.0,18679.92,8.62,0.9982,0.3355,1777815324.4128053
71.13,adaptive,paper_default,coord,1942,42.6,21430.55,16.646,0.9941,0.1747,1777815329.4164777
71.13,adaptive,paper_default,nlp,1236,30.0,20820.63,11.781,0.9952,0.262,1777815329.416481
71.13,adaptive,paper_default,vision,1425,32.5,21949.82,11.894,0.9976,0.2183,1777815329.4164834
71.13,adaptive,paper_default,reasoning,844,23.8,20282.04,8.716,0.9984,0.345,1777815329.4164853
76.14,adaptive,paper_default,coord,2082,43.2,22911.13,16.574,0.9945,0.1807,1777815334.430388
76.14,adaptive,paper_default,nlp,1318,28.2,22297.91,11.78,0.9955,0.2597,1777815334.4303908
76.14,adaptive,paper_default,vision,1532,32.1,23459.32,11.859,0.9978,0.2164,1777815334.4303927
76.14,adaptive,paper_default,reasoning,916,23.4,21731.26,8.747,0.9985,0.3432,1777815334.4303946
81.15,adaptive,paper_default,coord,2237,45.1,24429.77,16.524,0.9948,0.1819,1777815339.440214
81.15,adaptive,paper_default,nlp,1415,29.6,23745.8,11.768,0.9958,0.2621,1777815339.4402168
81.15,adaptive,paper_default,vision,1647,33.9,25059.09,11.867,0.9979,0.2184,1777815339.440219
81.15,adaptive,paper_default,reasoning,990,23.7,23169.88,8.774,0.9986,0.3375,1777815339.4402208
86.16,adaptive,paper_default,coord,2394,47.5,26049.62,16.538,0.9951,0.2016,1777815344.4526381
86.16,adaptive,paper_default,nlp,1504,30.0,25178.09,11.745,0.996,0.2655,1777815344.4526463
86.16,adaptive,paper_default,vision,1754,33.9,26606.97,11.85,0.998,0.2212,1777815344.4526517
86.16,adaptive,paper_default,reasoning,1036,20.8,24489.12,8.751,0.9987,0.3117,1777815344.4526782
91.17,adaptive,paper_default,coord,2522,45.5,27705.58,16.573,0.9954,0.2047,1777815349.4635997
91.17,adaptive,paper_default,nlp,1592,29.3,26671.3,11.747,0.9963,0.2651,1777815349.463605
91.17,adaptive,paper_default,vision,1859,33.1,28248.92,11.867,0.9982,0.2209,1777815349.4636087
91.17,adaptive,paper_default,reasoning,1098,19.2,25827.62,8.731,0.9987,0.3093,1777815349.4636123
96.18,adaptive,paper_default,coord,2654,43.5,29409.65,16.645,0.9956,0.1998,1777815354.4713569
96.18,adaptive,paper_default,nlp,1683,29.9,28252.36,11.78,0.9965,0.2667,1777815354.4713607
96.18,adaptive,paper_default,vision,1940,30.5,29828.76,11.863,0.9982,0.2223,1777815354.4713635
96.18,adaptive,paper_default,reasoning,1146,19.8,27293.64,8.754,0.9988,0.3112,1777815354.4713664
