timestamp,policy,coord,nlp,vision,reasoning
1777815460.769,round_robin,0.55,0.15,0.15,0.15
1777815461.771,round_robin,0.15,0.55,0.15,0.15
1777815462.773,round_robin,0.15,0.15,0.15,0.55
1777815463.788,round_robin,0.15,0.15,0.55,0.15
1777815464.789,round_robin,0.55,0.15,0.15,0.15
1777815465.79,round_robin,0.15,0.55,0.15,0.15
1777815466.804,round_robin,0.15,0.15,0.15,0.55
1777815467.805,round_robin,0.15,0.15,0.55,0.15
1777815468.821,round_robin,0.55,0.15,0.15,0.15
1777815469.822,round_robin,0.15,0.55,0.15,0.15
1777815470.837,round_robin,0.15,0.15,0.15,0.55
1777815471.839,round_robin,0.15,0.15,0.55,0.15
1777815472.839,round_robin,0.55,0.15,0.15,0.15
1777815473.853,round_robin,0.15,0.55,0.15,0.15
1777815474.856,round_robin,0.15,0.15,0.15,0.55
1777815475.871,round_robin,0.15,0.15,0.55,0.15
1777815476.873,round_robin,0.55,0.15,0.15,0.15
1777815477.888,round_robin,0.15,0.55,0.15,0.15
1777815478.904,round_robin,0.15,0.15,0.15,0.55
1777815479.907,round_robin,0.15,0.15,0.55,0.15
1777815480.921,round_robin,0.55,0.15,0.15,0.15
1777815481.938,round_robin,0.15,0.55,0.15,0.15
1777815482.942,round_robin,0.15,0.15,0.15,0.55
1777815483.954,round_robin,0.15,0.15,0.55,0.15
1777815484.956,round_robin,0.55,0.15,0.15,0.15
1777815485.971,round_robin,0.15,0.55,0.15,0.15
1777815486.973,round_robin,0.15,0.15,0.15,0.55
1777815487.987,round_robin,0.15,0.15,0.55,0.15
1777815488.989,round_robin,0.55,0.15,0.15,0.15
1777815489.989,round_robin,0.15,0.55,0.15,0.15
1777815491.004,round_robin,0.15,0.15,0.15,0.55
1777815492.008,round_robin,0.15,0.15,0.55,0.15
1777815493.02,round_robin,0.55,0.15,0.15,0.15
1777815494.038,round_robin,0.15,0.55,0.15,0.15
1777815495.054,round_robin,0.15,0.15,0.15,0.55
1777815496.071,round_robin,0.15,0.15,0.55,0.15
1777815497.088,round_robin,0.55,0.15,0.15,0.15
1777815498.104,round_robin,0.15,0.55,0.15,0.15
1777815499.106,round_robin,0.15,0.15,0.15,0.55
1777815500.121,round_robin,0.15,0.15,0.55,0.15
1777815501.124,round_robin,0.55,0.15,0.15,0.15
1777815502.139,round_robin,0.15,0.55,0.15,0.15
1777815503.154,round_robin,0.15,0.15,0.15,0.55
1777815504.171,round_robin,0.15,0.15,0.55,0.15
1777815505.187,round_robin,0.55,0.15,0.15,0.15
1777815506.204,round_robin,0.15,0.55,0.15,0.15
1777815507.218,round_robin,0.15,0.15,0.15,0.55
1777815508.222,round_robin,0.15,0.15,0.55,0.15
1777815509.237,round_robin,0.55,0.15,0.15,0.15
1777815510.243,round_robin,0.15,0.55,0.15,0.15
1777815511.254,round_robin,0.15,0.15,0.15,0.55
1777815512.272,round_robin,0.15,0.15,0.55,0.15
1777815513.288,round_robin,0.55,0.15,0.15,0.15
1777815514.304,round_robin,0.15,0.55,0.15,0.15
1777815515.32,round_robin,0.15,0.15,0.15,0.55
1777815516.337,round_robin,0.15,0.15,0.55,0.15
1777815517.342,round_robin,0.55,0.15,0.15,0.15
1777815518.355,round_robin,0.15,0.55,0.15,0.15
1777815519.368,round_robin,0.15,0.15,0.15,0.55
1777815520.386,round_robin,0.15,0.15,0.55,0.15
1777815521.399,round_robin,0.55,0.15,0.15,0.15
1777815522.406,round_robin,0.15,0.55,0.15,0.15
1777815523.423,round_robin,0.15,0.15,0.15,0.55
1777815524.438,round_robin,0.15,0.15,0.55,0.15
1777815525.444,round_robin,0.55,0.15,0.15,0.15
1777815526.451,round_robin,0.15,0.55,0.15,0.15
1777815527.468,round_robin,0.15,0.15,0.15,0.55
1777815528.481,round_robin,0.15,0.15,0.55,0.15
1777815529.497,round_robin,0.55,0.15,0.15,0.15
1777815530.502,round_robin,0.15,0.55,0.15,0.15
1777815531.519,round_robin,0.15,0.15,0.15,0.55
1777815532.532,round_robin,0.15,0.15,0.55,0.15
1777815533.539,round_robin,0.55,0.15,0.15,0.15
1777815534.542,round_robin,0.15,0.55,0.15,0.15
1777815535.558,round_robin,0.15,0.15,0.15,0.55
1777815536.569,round_robin,0.15,0.15,0.55,0.15
1777815537.587,round_robin,0.55,0.15,0.15,0.15
1777815538.601,round_robin,0.15,0.55,0.15,0.15
1777815539.61,round_robin,0.15,0.15,0.15,0.55
1777815540.622,round_robin,0.15,0.15,0.55,0.15
1777815541.636,round_robin,0.55,0.15,0.15,0.15
1777815542.657,round_robin,0.15,0.55,0.15,0.15
1777815543.661,round_robin,0.15,0.15,0.15,0.55
1777815544.679,round_robin,0.15,0.15,0.55,0.15
1777815545.694,round_robin,0.55,0.15,0.15,0.15
1777815546.701,round_robin,0.15,0.55,0.15,0.15
1777815547.711,round_robin,0.15,0.15,0.15,0.55
1777815548.724,round_robin,0.15,0.15,0.55,0.15
1777815549.736,round_robin,0.55,0.15,0.15,0.15
1777815550.747,round_robin,0.15,0.55,0.15,0.15
1777815551.753,round_robin,0.15,0.15,0.15,0.55
1777815552.762,round_robin,0.15,0.15,0.55,0.15
1777815553.766,round_robin,0.55,0.15,0.15,0.15
1777815554.785,round_robin,0.15,0.55,0.15,0.15
1777815555.79,round_robin,0.15,0.15,0.15,0.55
1777815556.799,round_robin,0.15,0.15,0.55,0.15
1777815557.807,round_robin,0.55,0.15,0.15,0.15
1777815558.82,round_robin,0.15,0.55,0.15,0.15
1777815559.825,round_robin,0.15,0.15,0.15,0.55
