elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.0,round_robin,paper_default,coord,143,24.1,1118.36,16.155,0.9278,0.15,1777815464.7708218
6.0,round_robin,paper_default,nlp,92,14.7,1625.87,8.993,0.963,0.15,1777815464.7708356
6.0,round_robin,paper_default,vision,89,15.6,1891.18,10.992,0.9394,0.55,1777815464.7708437
6.0,round_robin,paper_default,reasoning,66,10.0,1878.36,5.496,0.9697,0.15,1777815464.7708497
11.0,round_robin,paper_default,coord,259,47.2,2796.87,19.265,0.967,0.55,1777815469.7712708
11.0,round_robin,paper_default,nlp,200,30.3,3067.95,9.36,0.9806,0.15,1777815469.7712839
11.0,round_robin,paper_default,vision,195,32.6,3299.2,11.813,0.9692,0.15,1777815469.771294
11.0,round_robin,paper_default,reasoning,144,20.9,3388.69,5.816,0.9844,0.15,1777815469.7713034
16.01,round_robin,paper_default,coord,400,46.7,4205.72,19.181,0.9772,0.15,1777815474.771978
16.01,round_robin,paper_default,nlp,290,31.3,4969.58,10.559,0.9882,0.55,1777815474.7719836
16.01,round_robin,paper_default,vision,303,33.9,4619.03,11.934,0.9791,0.15,1777815474.7719877
16.01,round_robin,paper_default,reasoning,214,21.2,5036.53,6.06,0.9897,0.15,1777815474.7719913
21.02,round_robin,paper_default,coord,562,48.5,5531.21,18.792,0.9823,0.15,1777815479.7867475
21.02,round_robin,paper_default,nlp,405,32.1,6400.09,10.466,0.9909,0.15,1777815479.786754
21.02,round_robin,paper_default,vision,407,33.2,5935.98,11.893,0.984,0.15,1777815479.7867625
21.02,round_robin,paper_default,reasoning,298,22.7,6950.03,6.518,0.9927,0.55,1777815479.786772
26.02,round_robin,paper_default,coord,686,46.8,6977.07,18.869,0.9857,0.15,1777815484.7890897
26.02,round_robin,paper_default,nlp,505,31.6,7929.2,10.414,0.9926,0.15,1777815484.7891018
26.02,round_robin,paper_default,vision,490,31.9,7662.41,12.413,0.9876,0.55,1777815484.789111
26.02,round_robin,paper_default,reasoning,378,23.8,8666.23,6.61,0.9942,0.15,1777815484.7891195
31.04,round_robin,paper_default,coord,824,46.7,8630.0,19.364,0.9884,0.55,1777815489.8052728
31.04,round_robin,paper_default,nlp,607,30.2,9414.96,10.31,0.9938,0.15,1777815489.805287
31.04,round_robin,paper_default,vision,571,30.0,9231.56,12.501,0.9897,0.15,1777815489.8052964
31.04,round_robin,paper_default,reasoning,463,23.2,10289.65,6.605,0.9951,0.15,1777815489.8053045
36.05,round_robin,paper_default,coord,963,48.2,10059.9,19.333,0.99,0.15,1777815494.8205955
36.05,round_robin,paper_default,nlp,695,29.8,11222.51,10.512,0.9947,0.55,1777815494.8206081
36.05,round_robin,paper_default,vision,663,29.5,10651.38,12.399,0.9911,0.15,1777815494.820618
36.05,round_robin,paper_default,reasoning,548,23.4,11881.4,6.601,0.9958,0.15,1777815494.820628
