elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,static,paper_default,coord,125,23.0,1376.48,17.315,0.9423,0.25,1777815364.506712
6.01,static,paper_default,nlp,96,15.4,1769.78,9.49,0.9649,0.25,1777815364.5067205
6.01,static,paper_default,vision,78,14.4,1354.98,10.822,0.9538,0.25,1777815364.5067255
6.01,static,paper_default,reasoning,76,11.2,1918.86,5.827,0.9714,0.25,1777815364.5067294
11.01,static,paper_default,coord,258,46.5,2708.04,18.711,0.9709,0.25,1777815369.5104856
11.01,static,paper_default,nlp,197,31.0,3306.32,10.173,0.9821,0.25,1777815369.5104907
11.01,static,paper_default,vision,170,30.3,2777.56,11.989,0.9773,0.25,1777815369.5104942
11.01,static,paper_default,reasoning,143,21.4,3617.51,6.358,0.9857,0.25,1777815369.5104978
16.02,static,paper_default,coord,370,45.2,4105.63,19.471,0.9808,0.25,1777815374.5249212
16.02,static,paper_default,nlp,297,31.2,4849.07,10.547,0.9882,0.25,1777815374.5249274
16.02,static,paper_default,vision,255,31.3,4127.19,12.544,0.9851,0.25,1777815374.5249317
16.02,static,paper_default,reasoning,223,21.8,5292.42,6.615,0.9906,0.25,1777815374.5249355
21.02,static,paper_default,coord,503,45.5,5495.36,19.786,0.9856,0.25,1777815379.525629
21.02,static,paper_default,nlp,396,31.3,6433.2,10.749,0.9912,0.25,1777815379.5256333
21.02,static,paper_default,vision,362,32.8,5510.98,12.747,0.9888,0.25,1777815379.5256367
21.02,static,paper_default,reasoning,302,23.2,6997.47,6.802,0.993,0.25,1777815379.5256398
26.04,static,paper_default,coord,633,47.0,6872.14,19.933,0.9884,0.25,1777815384.539105
26.04,static,paper_default,nlp,498,31.5,8019.01,10.869,0.9929,0.25,1777815384.5391142
26.04,static,paper_default,vision,473,35.3,6937.02,12.904,0.9911,0.25,1777815384.5391212
26.04,static,paper_default,reasoning,366,21.6,8640.49,6.875,0.9944,0.25,1777815384.5391278
31.05,static,paper_default,coord,767,46.7,8232.98,19.997,0.9903,0.25,1777815389.554944
31.05,static,paper_default,nlp,598,31.5,9582.46,10.916,0.9941,0.25,1777815389.5549471
31.05,static,paper_default,vision,570,34.2,8374.61,12.977,0.9926,0.25,1777815389.5549495
31.05,static,paper_default,reasoning,445,21.2,10224.26,6.891,0.9953,0.25,1777815389.554952
36.06,static,paper_default,coord,890,46.2,9606.28,20.108,0.9917,0.25,1777815394.557762
36.06,static,paper_default,nlp,688,30.0,11132.53,10.955,0.9949,0.25,1777815394.5578098
36.06,static,paper_default,vision,680,34.0,9764.68,13.008,0.9936,0.25,1777815394.5578146
36.06,static,paper_default,reasoning,512,21.8,11941.45,6.961,0.996,0.25,1777815394.557817
41.07,static,paper_default,coord,1008,44.5,10947.78,20.111,0.9927,0.25,1777815399.575155
41.07,static,paper_default,nlp,781,29.5,12757.22,11.029,0.9956,0.25,1777815399.5751662
41.07,static,paper_default,vision,764,33.0,11228.88,13.123,0.9944,0.25,1777815399.5751758
41.07,static,paper_default,reasoning,571,19.6,13488.26,6.915,0.9965,0.25,1777815399.5751839
46.08,static,paper_default,coord,1131,44.2,12328.89,20.14,0.9935,0.25,1777815404.5799952
46.08,static,paper_default,nlp,871,30.0,14432.79,11.133,0.9961,0.25,1777815404.5800092
46.08,static,paper_default,vision,860,31.7,12663.2,13.174,0.9951,0.25,1777815404.5800185
46.08,static,paper_default,reasoning,648,20.3,15150.05,6.923,0.9969,0.25,1777815404.5800269
51.09,static,paper_default,coord,1248,44.5,13728.66,20.18,0.9942,0.25,1777815409.592112
51.09,static,paper_default,nlp,950,28.3,15956.81,11.118,0.9965,0.25,1777815409.592124
51.09,static,paper_default,vision,959,32.8,14079.58,13.153,0.9955,0.25,1777815409.5921333
51.09,static,paper_default,reasoning,716,21.4,16842.03,6.929,0.9972,0.25,1777815409.5921419
56.11,static,paper_default,coord,1373,44.9,15146.54,20.248,0.9947,0.25,1777815414.6077812
56.11,static,paper_default,nlp,1045,28.5,17526.46,11.122,0.9968,0.25,1777815414.607793
56.11,static,paper_default,vision,1053,32.2,15503.4,13.118,0.9959,0.25,1777815414.6078024
56.11,static,paper_default,reasoning,767,18.9,18556.32,6.933,0.9974,0.25,1777815414.6078107
61.12,static,paper_default,coord,1503,46.3,16530.29,20.271,0.9952,0.25,1777815419.626463
61.12,static,paper_default,nlp,1141,30.1,19073.5,11.109,0.9971,0.25,1777815419.6264758
61.12,static,paper_default,vision,1147,31.7,17006.37,13.137,0.9963,0.25,1777815419.6264856
61.12,static,paper_default,reasoning,842,19.6,20316.12,6.953,0.9976,0.25,1777815419.6264946
66.14,static,paper_default,coord,1645,47.6,17916.32,20.291,0.9955,0.25,1777815424.6426635
66.14,static,paper_default,nlp,1227,29.2,20676.41,11.128,0.9973,0.25,1777815424.6426754
66.14,static,paper_default,vision,1228,30.8,18549.9,13.169,0.9966,0.25,1777815424.642685
66.14,static,paper_default,reasoning,909,21.2,22022.9,6.955,0.9978,0.25,1777815424.642693
71.15,static,paper_default,coord,1770,47.5,19350.28,20.35,0.9959,0.25,1777815429.6586068
71.15,static,paper_default,nlp,1307,27.9,22291.54,11.145,0.9975,0.25,1777815429.65862
71.15,static,paper_default,vision,1320,30.7,20076.65,13.183,0.9968,0.25,1777815429.658638
71.15,static,paper_default,reasoning,977,20.5,23778.28,6.971,0.998,0.25,1777815429.6586492
76.17,static,paper_default,coord,1907,46.9,20719.98,20.362,0.9961,0.25,1777815434.6757507
76.17,static,paper_default,nlp,1414,29.9,23875.81,11.146,0.9976,0.25,1777815434.6757627
76.17,static,paper_default,vision,1416,32.1,21559.88,13.181,0.997,0.25,1777815434.6757722
76.17,static,paper_default,reasoning,1042,20.3,25463.46,6.971,0.9981,0.25,1777815434.6757808
81.19,static,paper_default,coord,2032,47.2,22149.31,20.422,0.9964,0.25,1777815439.6923323
81.19,static,paper_default,nlp,1514,31.7,25442.6,11.135,0.9978,0.25,1777815439.6923447
