timestamp,policy,coord,nlp,vision,reasoning
1777817189.515,adaptive,0.1987,0.2667,0.2235,0.3111
1777817190.516,adaptive,0.2113,0.2591,0.2273,0.3023
1777817191.516,adaptive,0.222,0.2593,0.2161,0.3026
1777817192.517,adaptive,0.232,0.256,0.2133,0.2987
1777817193.533,adaptive,0.2317,0.2561,0.2134,0.2988
1777817194.534,adaptive,0.2354,0.2549,0.2124,0.2973
1777817195.548,adaptive,0.2339,0.2554,0.2128,0.2979
1777817196.549,adaptive,0.2292,0.2569,0.2141,0.2997
1777817197.55,adaptive,0.2277,0.2574,0.2145,0.3003
1777817198.55,adaptive,0.2221,0.2593,0.2161,0.3025
1777817199.552,adaptive,0.2208,0.2597,0.2164,0.303
1777817200.567,adaptive,0.2127,0.2605,0.2171,0.3096
1777817201.568,adaptive,0.2156,0.2615,0.2179,0.305
1777817202.569,adaptive,0.2062,0.2646,0.2205,0.3087
1777817203.584,adaptive,0.205,0.2637,0.2197,0.3116
1777817204.589,adaptive,0.2041,0.2627,0.2189,0.3143
1777817205.589,adaptive,0.207,0.2624,0.2187,0.312
1777817206.601,adaptive,0.2065,0.2622,0.2185,0.3128
1777817207.616,adaptive,0.2024,0.2601,0.2168,0.3207
1777817208.618,adaptive,0.2112,0.2629,0.2191,0.3068
1777817209.618,adaptive,0.2106,0.2631,0.2193,0.307
1777817210.633,adaptive,0.2173,0.2609,0.2174,0.3044
1777817211.65,adaptive,0.2138,0.2621,0.2184,0.3057
1777817212.664,adaptive,0.217,0.261,0.2175,0.3045
1777817213.665,adaptive,0.2169,0.261,0.2175,0.3045
1777817214.665,adaptive,0.209,0.2637,0.2197,0.3076
1777817215.666,adaptive,0.2058,0.2647,0.2206,0.3088
1777817216.682,adaptive,0.2123,0.2626,0.2188,0.3063
1777817217.699,adaptive,0.2189,0.2604,0.217,0.3038
1777817218.7,adaptive,0.2165,0.2612,0.2176,0.3047
1777817219.701,adaptive,0.2145,0.2618,0.2182,0.3055
1777817220.717,adaptive,0.2162,0.2613,0.2177,0.3048
1777817221.734,adaptive,0.2138,0.2621,0.2184,0.3057
1777817222.749,adaptive,0.22,0.26,0.2167,0.3033
1777817223.766,adaptive,0.2214,0.2595,0.2163,0.3028
1777817224.783,adaptive,0.2191,0.2603,0.2169,0.3037
1777817225.8,adaptive,0.2142,0.2619,0.2183,0.3056
1777817226.814,adaptive,0.2091,0.2631,0.2192,0.3086
1777817227.816,adaptive,0.208,0.2612,0.2177,0.313
1777817228.832,adaptive,0.2103,0.2611,0.2176,0.3109
1777817229.848,adaptive,0.2086,0.2621,0.2184,0.3109
1777817230.851,adaptive,0.2097,0.2634,0.2195,0.3074
1777817231.866,adaptive,0.209,0.2637,0.2197,0.3076
1777817232.881,adaptive,0.2058,0.2647,0.2206,0.3089
