elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.0,adaptive,paper_default,coord,16,11.0,478.41,15.492,0.7419,0.232,1777817193.5007849
6.0,adaptive,paper_default,nlp,5,6.1,229.0,9.162,0.5636,0.256,1777817193.500817
6.0,adaptive,paper_default,vision,4,6.5,609.0,9.995,0.95,0.2133,1777817193.5008373
6.0,adaptive,paper_default,reasoning,0,3.5,224.51,5.664,0.5,0.2987,1777817193.5008528
11.02,adaptive,paper_default,coord,17,21.1,722.77,17.516,0.8756,0.2277,1777817198.5169537
11.02,adaptive,paper_default,nlp,11,12.8,377.36,10.528,0.7328,0.2574,1777817198.5169654
11.02,adaptive,paper_default,vision,10,13.1,648.29,10.891,0.975,0.2145,1777817198.5169752
11.02,adaptive,paper_default,reasoning,0,7.3,232.36,6.534,0.5417,0.3003,1777817198.5169837
16.03,adaptive,paper_default,coord,21,19.7,794.45,17.775,0.9158,0.2062,1777817203.5321813
16.03,adaptive,paper_default,nlp,4,11.9,417.45,10.914,0.7143,0.2646,1777817203.5321918
16.03,adaptive,paper_default,vision,22,13.7,763.32,11.164,0.9832,0.2205,1777817203.532223
16.03,adaptive,paper_default,reasoning,5,8.5,373.54,7.11,0.7018,0.3087,1777817203.532231
21.04,adaptive,paper_default,coord,43,20.7,978.63,17.78,0.9358,0.2024,1777817208.5330467
21.04,adaptive,paper_default,nlp,4,11.3,424.13,11.219,0.7839,0.2601,1777817208.5330591
21.04,adaptive,paper_default,vision,35,14.7,1020.56,11.504,0.9876,0.2168,1777817208.5330691
21.04,adaptive,paper_default,reasoning,1,8.5,390.51,7.464,0.7643,0.3207,1777817208.5330782
26.05,adaptive,paper_default,coord,48,20.9,1260.97,17.927,0.9486,0.217,1777817213.5485034
26.05,adaptive,paper_default,nlp,3,11.6,411.59,11.209,0.7877,0.261,1777817213.5485082
26.05,adaptive,paper_default,vision,46,14.8,1374.34,11.631,0.9901,0.2175,1777817213.5485125
26.05,adaptive,paper_default,reasoning,0,7.9,376.13,7.601,0.7626,0.3045,1777817213.5485156
31.07,adaptive,paper_default,coord,65,20.8,1497.02,18.026,0.9571,0.2189,1777817218.5647807
31.07,adaptive,paper_default,nlp,4,11.6,408.96,11.33,0.7983,0.2604,1777817218.5647867
31.07,adaptive,paper_default,vision,50,14.0,1763.29,11.813,0.9918,0.217,1777817218.564791
31.07,adaptive,paper_default,reasoning,1,7.6,360.27,7.532,0.7564,0.3038,1777817218.5647948
36.07,adaptive,paper_default,coord,75,21.0,1747.77,18.022,0.9631,0.22,1777817223.5668237
36.07,adaptive,paper_default,nlp,3,11.8,441.96,11.368,0.8268,0.26,1777817223.566836
36.07,adaptive,paper_default,vision,47,12.2,2061.31,11.811,0.993,0.2167,1777817223.566846
36.07,adaptive,paper_default,reasoning,3,8.1,379.39,7.652,0.7826,0.3033,1777817223.566855
41.07,adaptive,paper_default,coord,82,20.3,2011.56,18.164,0.9678,0.208,1777817228.5702124
41.07,adaptive,paper_default,nlp,10,12.1,479.29,11.395,0.8483,0.2612,1777817228.570225
41.07,adaptive,paper_default,vision,53,12.3,2308.02,11.858,0.9938,0.2177,1777817228.5702348
