timestamp,policy,coord,nlp,vision,reasoning
1777817390.027,round_robin,0.55,0.15,0.15,0.15
1777817391.038,round_robin,0.15,0.55,0.15,0.15
1777817392.039,round_robin,0.15,0.15,0.15,0.55
1777817393.053,round_robin,0.15,0.15,0.55,0.15
1777817394.068,round_robin,0.55,0.15,0.15,0.15
1777817424.029,round_robin,0.15,0.55,0.15,0.15
1777817425.029,round_robin,0.15,0.15,0.15,0.55
1777817426.044,round_robin,0.15,0.15,0.55,0.15
1777817427.046,round_robin,0.55,0.15,0.15,0.15
1777817428.06,round_robin,0.15,0.55,0.15,0.15
1777817429.061,round_robin,0.15,0.15,0.15,0.55
1777817430.062,round_robin,0.15,0.15,0.55,0.15
1777817431.063,round_robin,0.55,0.15,0.15,0.15
1777817432.063,round_robin,0.15,0.55,0.15,0.15
1777817433.077,round_robin,0.15,0.15,0.15,0.55
1777817434.078,round_robin,0.15,0.15,0.55,0.15
1777817435.093,round_robin,0.55,0.15,0.15,0.15
1777817436.096,round_robin,0.15,0.55,0.15,0.15
1777817437.11,round_robin,0.15,0.15,0.15,0.55
1777817438.112,round_robin,0.15,0.15,0.55,0.15
1777817439.112,round_robin,0.55,0.15,0.15,0.15
1777817440.126,round_robin,0.15,0.55,0.15,0.15
1777817441.13,round_robin,0.15,0.15,0.15,0.55
1777817442.143,round_robin,0.15,0.15,0.55,0.15
1777817443.143,round_robin,0.55,0.15,0.15,0.15
1777817444.145,round_robin,0.15,0.55,0.15,0.15
1777817445.145,round_robin,0.15,0.15,0.15,0.55
1777817446.146,round_robin,0.15,0.15,0.55,0.15
1777817447.148,round_robin,0.55,0.15,0.15,0.15
1777817448.16,round_robin,0.15,0.55,0.15,0.15
1777817449.177,round_robin,0.15,0.15,0.15,0.55
1777817450.18,round_robin,0.15,0.15,0.55,0.15
1777817451.192,round_robin,0.55,0.15,0.15,0.15
1777817452.193,round_robin,0.15,0.55,0.15,0.15
1777817453.21,round_robin,0.15,0.15,0.15,0.55
1777817454.216,round_robin,0.15,0.15,0.55,0.15
1777817455.226,round_robin,0.55,0.15,0.15,0.15
1777817456.243,round_robin,0.15,0.55,0.15,0.15
1777817457.244,round_robin,0.15,0.15,0.15,0.55
1777817458.245,round_robin,0.15,0.15,0.55,0.15
1777817459.259,round_robin,0.55,0.15,0.15,0.15
1777817460.262,round_robin,0.15,0.55,0.15,0.15
1777817461.276,round_robin,0.15,0.15,0.15,0.55
1777817462.293,round_robin,0.15,0.15,0.55,0.15
1777817463.294,round_robin,0.55,0.15,0.15,0.15
1777817464.296,round_robin,0.15,0.55,0.15,0.15
1777817465.31,round_robin,0.15,0.15,0.15,0.55
1777817466.312,round_robin,0.15,0.15,0.55,0.15
1777817467.327,round_robin,0.55,0.15,0.15,0.15
1777817468.329,round_robin,0.15,0.55,0.15,0.15
1777817469.342,round_robin,0.15,0.15,0.15,0.55
1777817470.342,round_robin,0.15,0.15,0.55,0.15
1777817471.358,round_robin,0.55,0.15,0.15,0.15
1777817472.361,round_robin,0.15,0.55,0.15,0.15
1777817473.376,round_robin,0.15,0.15,0.15,0.55
1777817474.391,round_robin,0.15,0.15,0.55,0.15
1777817475.393,round_robin,0.55,0.15,0.15,0.15
1777817476.409,round_robin,0.15,0.55,0.15,0.15
1777817477.412,round_robin,0.15,0.15,0.15,0.55
1777817478.425,round_robin,0.15,0.15,0.55,0.15
1777817479.426,round_robin,0.55,0.15,0.15,0.15
1777817480.443,round_robin,0.15,0.55,0.15,0.15
1777817481.46,round_robin,0.15,0.15,0.15,0.55
1777817482.462,round_robin,0.15,0.15,0.55,0.15
1777817483.476,round_robin,0.55,0.15,0.15,0.15
1777817484.491,round_robin,0.15,0.55,0.15,0.15
1777817485.508,round_robin,0.15,0.15,0.15,0.55
1777817486.511,round_robin,0.15,0.15,0.55,0.15
1777817487.527,round_robin,0.55,0.15,0.15,0.15
1777817488.542,round_robin,0.15,0.55,0.15,0.15
1777817489.544,round_robin,0.15,0.15,0.15,0.55
1777817490.544,round_robin,0.15,0.15,0.55,0.15
1777817491.559,round_robin,0.55,0.15,0.15,0.15
1777817492.576,round_robin,0.15,0.55,0.15,0.15
1777817493.592,round_robin,0.15,0.15,0.15,0.55
1777817494.608,round_robin,0.15,0.15,0.55,0.15
1777817495.626,round_robin,0.55,0.15,0.15,0.15
1777817496.642,round_robin,0.15,0.55,0.15,0.15
1777817497.659,round_robin,0.15,0.15,0.15,0.55
1777817498.662,round_robin,0.15,0.15,0.55,0.15
1777817499.674,round_robin,0.55,0.15,0.15,0.15
1777817500.677,round_robin,0.15,0.55,0.15,0.15
1777817501.693,round_robin,0.15,0.15,0.15,0.55
1777817502.695,round_robin,0.15,0.15,0.55,0.15
1777817503.708,round_robin,0.55,0.15,0.15,0.15
1777817504.725,round_robin,0.15,0.55,0.15,0.15
1777817505.729,round_robin,0.15,0.15,0.15,0.55
1777817506.743,round_robin,0.15,0.15,0.55,0.15
1777817507.757,round_robin,0.55,0.15,0.15,0.15
1777817508.76,round_robin,0.15,0.55,0.15,0.15
1777817509.776,round_robin,0.15,0.15,0.15,0.55
1777817510.791,round_robin,0.15,0.15,0.55,0.15
1777817511.795,round_robin,0.55,0.15,0.15,0.15
1777817512.81,round_robin,0.15,0.55,0.15,0.15
1777817513.826,round_robin,0.15,0.15,0.15,0.55
1777817514.841,round_robin,0.15,0.15,0.55,0.15
1777817515.859,round_robin,0.55,0.15,0.15,0.15
1777817516.875,round_robin,0.15,0.55,0.15,0.15
