elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
5.99,round_robin,paper_default,coord,38,9.2,704.43,8.847,0.9434,0.15,1777817394.0201204
5.99,round_robin,paper_default,nlp,32,5.9,1232.53,4.34,0.9231,0.15,1777817394.020141
5.99,round_robin,paper_default,vision,43,7.5,1980.17,5.175,0.9677,0.55,1777817394.020155
5.99,round_robin,paper_default,reasoning,20,3.7,1504.75,2.671,1.0,0.15,1777817394.0201664
39.96,round_robin,paper_default,coord,70,8.2,13257.54,2.953,0.9746,0.55,1777817427.9933484
39.96,round_robin,paper_default,nlp,59,4.7,15576.82,1.276,0.9608,0.15,1777817427.9933538
39.96,round_robin,paper_default,vision,72,5.8,16360.37,1.601,0.9844,0.15,1777817427.9933581
39.96,round_robin,paper_default,reasoning,36,3.0,16947.13,0.826,1.0,0.15,1777817427.993362
44.97,round_robin,paper_default,coord,125,18.7,10718.95,3.736,0.9821,0.15,1777817432.9950225
44.97,round_robin,paper_default,nlp,75,9.5,16712.08,1.846,0.9759,0.55,1777817432.995028
44.97,round_robin,paper_default,vision,106,12.5,17603.25,2.157,0.9897,0.15,1777817432.9950318
44.97,round_robin,paper_default,reasoning,50,6.1,17479.37,1.112,1.0,0.15,1777817432.9950352
49.98,round_robin,paper_default,coord,169,20.0,9916.71,4.382,0.9863,0.15,1777817438.0096052
49.98,round_robin,paper_default,nlp,127,12.9,14834.61,2.241,0.9821,0.15,1777817438.0096169
49.98,round_robin,paper_default,vision,149,14.1,15540.9,2.561,0.9922,0.15,1777817438.0096266
49.98,round_robin,paper_default,reasoning,61,5.9,15219.84,1.341,1.0,0.55,1777817438.0096362
55.0,round_robin,paper_default,coord,223,20.0,9909.23,4.909,0.9889,0.15,1777817443.0266466
55.0,round_robin,paper_default,nlp,156,13.5,14160.42,2.491,0.9854,0.15,1777817443.0266557
55.0,round_robin,paper_default,vision,174,14.1,14513.04,3.109,0.9942,0.55,1777817443.0266628
55.0,round_robin,paper_default,reasoning,81,6.3,14622.52,1.491,1.0,0.15,1777817443.0266693
60.0,round_robin,paper_default,coord,260,20.4,10311.18,5.533,0.991,0.55,1777817448.0288918
60.0,round_robin,paper_default,nlp,186,11.2,13997.82,2.75,0.9879,0.15,1777817448.0289092
60.0,round_robin,paper_default,vision,213,14.0,14416.24,3.4,0.9951,0.15,1777817448.0289228
60.0,round_robin,paper_default,reasoning,97,6.8,14592.53,1.65,1.0,0.15,1777817448.028935
65.01,round_robin,paper_default,coord,314,20.5,10846.27,5.906,0.9922,0.15,1777817453.0443795
