elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.0,static,paper_default,coord,23,11.3,499.51,14.825,0.7191,0.25,1777817293.7741668
6.0,static,paper_default,nlp,1,5.2,661.35,8.328,0.92,0.25,1777817293.7741845
6.0,static,paper_default,vision,12,6.9,269.4,9.328,0.5536,0.25,1777817293.7741964
6.0,static,paper_default,reasoning,13,4.4,763.48,4.997,0.9,0.25,1777817293.7742057
11.01,static,paper_default,coord,40,22.5,929.83,16.718,0.8641,0.25,1777817298.776791
11.01,static,paper_default,nlp,2,9.9,458.63,8.723,0.7708,0.25,1777817298.7768004
11.01,static,paper_default,vision,16,13.5,620.5,10.722,0.7881,0.25,1777817298.7768083
11.01,static,paper_default,reasoning,20,8.3,1551.48,5.633,0.9516,0.25,1777817298.7768154
16.02,static,paper_default,coord,56,22.0,1375.18,17.29,0.9097,0.25,1777817303.7920825
16.02,static,paper_default,nlp,12,10.8,471.25,9.175,0.8503,0.25,1777817303.792096
16.02,static,paper_default,vision,23,13.4,822.77,11.173,0.8603,0.25,1777817303.7921057
16.02,static,paper_default,reasoning,25,7.6,2175.87,5.867,0.9681,0.25,1777817303.7921152
21.02,static,paper_default,coord,73,21.9,1792.5,17.6,0.9324,0.25,1777817308.7942274
21.02,static,paper_default,nlp,23,12.2,714.94,9.418,0.8889,0.25,1777817308.794239
21.02,static,paper_default,vision,17,12.3,1078.62,11.416,0.8958,0.25,1777817308.7942483
21.02,static,paper_default,reasoning,40,8.2,2588.38,5.898,0.9758,0.25,1777817308.7942576
26.04,static,paper_default,coord,71,20.1,2207.25,17.859,0.9462,0.25,1777817313.8096514
26.04,static,paper_default,nlp,38,12.5,1070.33,9.486,0.9109,0.25,1777817313.8096576
26.04,static,paper_default,vision,26,12.4,1200.72,11.56,0.9169,0.25,1777817313.8096616
26.04,static,paper_default,reasoning,39,7.4,3186.35,5.953,0.9806,0.25,1777817313.8096652
31.05,static,paper_default,coord,92,20.6,2531.81,17.968,0.9552,0.25,1777817318.826126
31.05,static,paper_default,nlp,45,12.3,1469.87,9.66,0.9267,0.25,1777817318.8261342
31.05,static,paper_default,vision,34,13.9,1373.14,11.657,0.9309,0.25,1777817318.8261404
31.05,static,paper_default,reasoning,36,6.1,3675.04,6.086,0.9841,0.25,1777817318.826146
36.07,static,paper_default,coord,106,22.1,2800.61,18.048,0.9616,0.25,1777817323.8423135
36.07,static,paper_default,nlp,69,13.7,1865.17,9.786,0.9377,0.25,1777817323.842326
36.07,static,paper_default,vision,42,14.0,1561.68,11.783,0.9412,0.25,1777817323.8423355
36.07,static,paper_default,reasoning,44,7.1,3987.11,6.127,0.9864,0.25,1777817323.842344
41.09,static,paper_default,coord,131,22.8,3118.1,18.182,0.9665,0.25,1777817328.8573215
41.09,static,paper_default,nlp,64,12.3,2354.92,9.857,0.9457,0.25,1777817328.8573337
41.09,static,paper_default,vision,62,14.9,1777.46,11.756,0.9482,0.25,1777817328.8573427
41.09,static,paper_default,reasoning,41,7.0,4266.95,6.182,0.9882,0.25,1777817328.8573475
46.1,static,paper_default,coord,135,22.2,3447.22,18.309,0.9704,0.25,1777817333.8704848
46.1,static,paper_default,nlp,72,10.4,2836.81,9.849,0.9515,0.25,1777817333.8705
46.1,static,paper_default,vision,56,13.2,2113.57,11.779,0.954,0.25,1777817333.870528
46.1,static,paper_default,reasoning,43,6.5,4560.26,6.226,0.9895,0.25,1777817333.870541
51.1,static,paper_default,coord,139,20.2,3803.7,18.434,0.9735,0.25,1777817338.8730133
51.1,static,paper_default,nlp,73,11.0,3222.71,9.902,0.9565,0.25,1777817338.8730252
51.1,static,paper_default,vision,64,12.3,2392.15,11.82,0.9586,0.25,1777817338.8730342
51.1,static,paper_default,reasoning,58,8.1,4746.96,6.223,0.9906,0.25,1777817338.873042
56.11,static,paper_default,coord,143,19.9,4105.95,18.445,0.9758,0.25,1777817343.887224
56.11,static,paper_default,nlp,84,11.6,3541.93,9.944,0.9606,0.25,1777817343.887227
56.11,static,paper_default,vision,69,13.4,2621.23,11.833,0.9623,0.25,1777817343.8872294
56.11,static,paper_default,reasoning,59,7.9,4967.05,6.237,0.9914,0.25,1777817343.8872316
61.13,static,paper_default,coord,145,19.6,4387.02,18.518,0.9779,0.25,1777817348.9017916
61.13,static,paper_default,nlp,103,13.3,3853.7,9.963,0.9639,0.25,1777817348.9017966
61.13,static,paper_default,vision,70,13.0,2874.73,11.909,0.9657,0.25,1777817348.9018006
61.13,static,paper_default,reasoning,67,7.3,5286.33,6.249,0.9921,0.25,1777817348.901804
66.13,static,paper_default,coord,157,20.7,4611.2,18.569,0.9796,0.25,1777817353.9041808
66.13,static,paper_default,nlp,109,13.0,4194.72,10.025,0.9668,0.25,1777817353.904194
66.13,static,paper_default,vision,90,14.2,3080.33,11.87,0.9682,0.25,1777817353.9042032
66.13,static,paper_default,reasoning,72,7.7,5631.0,6.26,0.9928,0.25,1777817353.904212
71.15,static,paper_default,coord,157,20.2,4823.85,18.595,0.9811,0.25,1777817358.9199364
71.15,static,paper_default,nlp,120,12.3,4592.55,10.05,0.9692,0.25,1777817358.9199505
71.15,static,paper_default,vision,100,14.7,3321.57,11.877,0.9704,0.25,1777817358.9199617
71.15,static,paper_default,reasoning,69,6.8,5934.88,6.297,0.9933,0.25,1777817358.9199708
76.16,static,paper_default,coord,164,19.9,5047.05,18.645,0.9824,0.25,1777817363.932522
76.16,static,paper_default,nlp,127,12.1,4975.8,10.071,0.9713,0.25,1777817363.9325354
76.16,static,paper_default,vision,107,14.0,3598.82,11.936,0.9725,0.25,1777817363.9325452
76.16,static,paper_default,reasoning,71,6.6,6253.87,6.316,0.9938,0.25,1777817363.932554
81.17,static,paper_default,coord,183,21.8,5243.94,18.664,0.9835,0.25,1777817368.9467528
81.17,static,paper_default,nlp,121,10.4,5353.35,10.077,0.9731,0.25,1777817368.9467642
81.17,static,paper_default,vision,111,13.3,3866.41,11.925,0.9742,0.25,1777817368.9467733
81.17,static,paper_default,reasoning,74,7.0,6557.0,6.32,0.9942,0.25,1777817368.946782
86.18,static,paper_default,coord,189,21.2,5458.59,18.658,0.9845,0.25,1777817373.9529011
86.18,static,paper_default,nlp,127,10.0,5732.1,10.083,0.9747,0.25,1777817373.9529045
86.18,static,paper_default,vision,115,12.7,4181.15,11.928,0.9757,0.25,1777817373.9529068
86.18,static,paper_default,reasoning,77,6.9,6823.79,6.312,0.9945,0.25,1777817373.9529088
91.2,static,paper_default,coord,208,21.0,5679.81,18.663,0.9853,0.25,1777817378.9720194
91.2,static,paper_default,nlp,130,11.0,6100.63,10.088,0.9761,0.25,1777817378.9720309
91.2,static,paper_default,vision,128,13.7,4472.07,11.93,0.977,0.25,1777817378.9720404
91.2,static,paper_default,reasoning,89,7.5,7089.88,6.294,0.9948,0.25,1777817378.9720485
96.2,static,paper_default,coord,223,22.1,5896.61,18.659,0.9861,0.25,1777817383.9763541
96.2,static,paper_default,nlp,123,10.0,6415.36,10.114,0.9774,0.25,1777817383.976366
96.2,static,paper_default,vision,134,13.8,4741.25,11.933,0.9782,0.25,1777817383.976375
96.2,static,paper_default,reasoning,97,8.2,7375.27,6.299,0.995,0.25,1777817383.9763832
