timestamp,policy,coord,nlp,vision,reasoning
1777538398.721,adaptive,0.0892,0.1541,0.1541,0.6025
1777538403.727,adaptive,0.1667,0.1611,0.1611,0.5111
1777538408.741,adaptive,0.0962,0.1611,0.1611,0.5817
1777538413.748,adaptive,0.1439,0.163,0.163,0.5301
1777538418.765,adaptive,0.1207,0.163,0.163,0.5532
1777538423.775,adaptive,0.149,0.1609,0.1609,0.5292
1777538428.779,adaptive,0.0845,0.1653,0.1653,0.5849
1777538433.797,adaptive,0.1227,0.1641,0.1641,0.5491
1777538438.811,adaptive,0.1451,0.1642,0.1642,0.5265
1777538443.824,adaptive,0.1215,0.1674,0.1674,0.5437
1777538448.838,adaptive,0.1185,0.1677,0.1677,0.5462
