elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.02,adaptive,high_reasoning,coord,0,12.3,96.33,20.114,0.0,0.25,1777538398.72007
6.02,adaptive,high_reasoning,nlp,0,12.7,176.26,20.945,0.3016,0.25,1777538398.7200885
6.02,adaptive,high_reasoning,vision,0,9.1,177.88,14.462,0.2529,0.25,1777538398.7201009
6.02,adaptive,high_reasoning,reasoning,121,22.0,1462.13,15.792,0.9895,0.25,1777538398.7201111
11.02,adaptive,high_reasoning,coord,31,24.2,424.26,18.779,0.4058,0.1667,1777538403.7274876
11.02,adaptive,high_reasoning,nlp,27,25.4,370.54,20.321,0.6027,0.1611,1777538403.727493
11.02,adaptive,high_reasoning,vision,7,17.7,333.06,15.15,0.5808,0.1611,1777538403.727497
11.02,adaptive,high_reasoning,reasoning,151,46.1,2509.69,27.85,0.9967,0.5111,1777538403.7275004
16.04,adaptive,high_reasoning,coord,0,23.2,553.1,22.074,0.5678,0.0962,1777538408.7413278
16.04,adaptive,high_reasoning,nlp,40,24.4,745.96,20.39,0.7278,0.1611,1777538408.7413309
16.04,adaptive,high_reasoning,vision,1,16.6,359.37,15.713,0.7143,0.1611,1777538408.7413332
16.04,adaptive,high_reasoning,reasoning,187,46.8,2971.76,31.115,0.998,0.5817,1777538408.7413356
21.04,adaptive,high_reasoning,coord,34,23.7,606.03,20.956,0.6395,0.1439,1777538413.7483916
21.04,adaptive,high_reasoning,nlp,65,24.4,1091.2,20.433,0.793,0.163,1777538413.7483945
21.04,adaptive,high_reasoning,vision,11,17.2,409.55,15.919,0.7821,0.163,1777538413.7483969
21.04,adaptive,high_reasoning,reasoning,208,45.9,3359.72,33.739,0.9986,0.5301,1777538413.748399
26.06,adaptive,high_reasoning,coord,21,24.6,747.44,22.14,0.7244,0.1207,1777538418.7652278
26.06,adaptive,high_reasoning,nlp,73,24.2,1479.26,20.567,0.834,0.163,1777538418.7652311
26.06,adaptive,high_reasoning,vision,8,17.5,470.69,16.154,0.8266,0.163,1777538418.7652335
26.06,adaptive,high_reasoning,reasoning,232,44.9,3743.99,34.688,0.9989,0.5532,1777538418.7652357
31.07,adaptive,high_reasoning,coord,42,25.9,814.1,22.271,0.7702,0.149,1777538423.7758827
31.07,adaptive,high_reasoning,nlp,84,22.5,1825.15,20.469,0.8601,0.1609,1777538423.7758858
31.07,adaptive,high_reasoning,vision,0,15.4,461.45,16.092,0.848,0.1609,1777538423.775888
31.07,adaptive,high_reasoning,reasoning,250,44.0,4089.86,35.724,0.9991,0.5292,1777538423.7758904
36.07,adaptive,high_reasoning,coord,6,23.9,888.6,23.035,0.8087,0.0845,1777538428.7794685
36.07,adaptive,high_reasoning,nlp,115,24.8,2153.79,20.568,0.8801,0.1653,1777538428.7794716
36.07,adaptive,high_reasoning,vision,5,15.1,443.64,15.939,0.8609,0.1653,1777538428.7794738
36.07,adaptive,high_reasoning,reasoning,282,45.1,4380.13,36.202,0.9992,0.5849,1777538428.7794757
41.09,adaptive,high_reasoning,coord,44,22.1,920.32,22.169,0.8255,0.1227,1777538433.8008456
41.09,adaptive,high_reasoning,nlp,124,25.4,2465.61,20.685,0.8953,0.1641,1777538433.8008566
41.09,adaptive,high_reasoning,vision,7,16.0,434.56,15.915,0.8746,0.1641,1777538433.800866
41.09,adaptive,high_reasoning,reasoning,303,45.9,4676.13,36.916,0.9993,0.5491,1777538433.8008747
46.1,adaptive,high_reasoning,coord,64,25.6,1058.68,22.363,0.8458,0.1227,1777538438.8089073
46.1,adaptive,high_reasoning,nlp,134,23.1,2809.1,20.693,0.9067,0.1641,1777538438.808912
46.1,adaptive,high_reasoning,vision,21,17.9,470.91,16.029,0.889,0.1641,1777538438.8089156
46.1,adaptive,high_reasoning,reasoning,327,45.5,4941.24,37.242,0.9994,0.5491,1777538438.8089213
51.12,adaptive,high_reasoning,coord,46,25.4,1222.35,22.771,0.8634,0.1451,1777538443.8232753
51.12,adaptive,high_reasoning,nlp,169,25.2,3169.43,20.678,0.9158,0.1642,1777538443.8232787
51.12,adaptive,high_reasoning,vision,18,18.1,565.78,16.139,0.9006,0.1642,1777538443.8232808
51.12,adaptive,high_reasoning,reasoning,345,44.1,5228.95,37.502,0.9995,0.5265,1777538443.8232834
56.13,adaptive,high_reasoning,coord,51,23.6,1310.26,22.82,0.8759,0.1185,1777538448.8398817
56.13,adaptive,high_reasoning,nlp,178,25.1,3509.34,20.682,0.9233,0.1677,1777538448.8398848
56.13,adaptive,high_reasoning,vision,25,17.3,616.23,16.193,0.9098,0.1677,1777538448.8398871
56.13,adaptive,high_reasoning,reasoning,365,43.3,5515.89,37.677,0.9995,0.5462,1777538448.839889
