timestamp,policy,coord,nlp,vision,reasoning
1777538496.415,adaptive,0.0789,0.1524,0.1524,0.6162
1777538501.425,adaptive,0.1642,0.1628,0.1628,0.5102
1777538506.433,adaptive,0.1011,0.1623,0.1623,0.5742
1777538511.439,adaptive,0.1375,0.1655,0.1655,0.5316
1777538516.455,adaptive,0.1154,0.1653,0.1653,0.5541
1777538521.472,adaptive,0.1396,0.1641,0.1641,0.5322
1777538526.486,adaptive,0.1199,0.1644,0.1644,0.5513
1777538531.489,adaptive,0.0904,0.1654,0.1654,0.5789
1777538536.501,adaptive,0.1197,0.1664,0.1664,0.5476
1777538541.515,adaptive,0.1174,0.1656,0.1656,0.5515
1777538546.521,adaptive,0.1349,0.1627,0.1627,0.5398
