elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.02,adaptive,high_reasoning,coord,0,12.3,95.45,20.095,0.0,0.0789,1777538496.4163094
6.02,adaptive,high_reasoning,nlp,0,12.3,159.93,20.427,0.187,0.1524,1777538496.4163287
6.02,adaptive,high_reasoning,vision,0,8.6,178.97,14.116,0.2353,0.1524,1777538496.4163415
6.02,adaptive,high_reasoning,reasoning,144,24.0,1555.5,15.279,1.0,0.6162,1777538496.4163518
11.03,adaptive,high_reasoning,coord,35,23.6,489.59,17.862,0.3756,0.0789,1777538501.424007
11.03,adaptive,high_reasoning,nlp,35,24.8,378.83,19.04,0.519,0.1524,1777538501.4240227
11.03,adaptive,high_reasoning,vision,19,18.1,355.79,14.326,0.5823,0.1524,1777538501.4240339
11.03,adaptive,high_reasoning,reasoning,161,47.7,2753.26,28.379,1.0,0.6162,1777538501.4240441
16.04,adaptive,high_reasoning,coord,6,23.1,712.88,21.514,0.6435,0.1642,1777538506.4316728
16.04,adaptive,high_reasoning,nlp,46,24.2,829.42,19.643,0.6794,0.1628,1777538506.4316857
16.04,adaptive,high_reasoning,vision,12,17.1,692.24,15.029,0.7261,0.1628,1777538506.4316945
16.04,adaptive,high_reasoning,reasoning,202,47.2,3194.47,31.554,1.0,0.5102,1777538506.431705
21.04,adaptive,high_reasoning,coord,33,24.5,745.39,21.193,0.7242,0.1375,1777538511.4399288
21.04,adaptive,high_reasoning,nlp,84,25.3,1253.13,19.672,0.756,0.1655,1777538511.439934
21.04,adaptive,high_reasoning,vision,22,16.9,828.72,15.396,0.7963,0.1655,1777538511.4399378
21.04,adaptive,high_reasoning,reasoning,224,46.9,3598.62,34.165,1.0,0.5316,1777538511.4399421
26.06,adaptive,high_reasoning,coord,22,24.7,869.46,22.103,0.7865,0.1154,1777538516.455619
26.06,adaptive,high_reasoning,nlp,91,25.1,1768.39,20.03,0.8065,0.1653,1777538516.4556227
26.06,adaptive,high_reasoning,vision,18,17.4,964.55,15.694,0.8386,0.1653,1777538516.4556253
26.06,adaptive,high_reasoning,reasoning,252,45.4,3961.46,34.957,1.0,0.5541,1777538516.4556274
31.08,adaptive,high_reasoning,coord,47,25.5,942.03,22.138,0.8212,0.1396,1777538521.4729974
31.08,adaptive,high_reasoning,nlp,100,22.7,2198.04,20.111,0.8384,0.1641,1777538521.4730084
31.08,adaptive,high_reasoning,vision,28,17.6,1031.3,15.896,0.8664,0.1641,1777538521.4730113
31.08,adaptive,high_reasoning,reasoning,283,45.3,4336.52,35.845,1.0,0.5322,1777538521.473014
36.09,adaptive,high_reasoning,coord,35,25.9,1066.28,22.777,0.8504,0.1396,1777538526.4851315
36.09,adaptive,high_reasoning,nlp,111,22.6,2579.54,20.172,0.8613,0.1641,1777538526.4851348
36.09,adaptive,high_reasoning,vision,26,17.8,1157.61,16.071,0.8862,0.1641,1777538526.4851372
36.09,adaptive,high_reasoning,reasoning,307,46.0,4663.36,36.492,1.0,0.5322,1777538526.4851396
41.1,adaptive,high_reasoning,coord,21,22.4,1107.74,22.825,0.8689,0.0904,1777538531.490247
41.1,adaptive,high_reasoning,nlp,131,23.6,2916.44,20.221,0.8785,0.1654,1777538531.4902496
41.1,adaptive,high_reasoning,vision,19,16.1,1205.35,16.182,0.9008,0.1654,1777538531.4902518
41.1,adaptive,high_reasoning,reasoning,330,45.2,4992.85,36.963,1.0,0.5789,1777538531.4902542
46.1,adaptive,high_reasoning,coord,51,22.1,1160.85,22.276,0.8802,0.0904,1777538536.4994688
46.1,adaptive,high_reasoning,nlp,155,25.4,3257.18,20.345,0.8923,0.1654,1777538536.4994724
46.1,adaptive,high_reasoning,vision,23,16.6,1249.41,16.246,0.9119,0.1654,1777538536.4994748
46.1,adaptive,high_reasoning,reasoning,346,45.3,5310.19,37.567,1.0,0.5789,1777538536.4994788
51.12,adaptive,high_reasoning,coord,50,23.1,1268.82,22.32,0.8922,0.1174,1777538541.5159385
51.12,adaptive,high_reasoning,nlp,163,24.3,3597.33,20.383,0.9031,0.1656,1777538541.5159419
51.12,adaptive,high_reasoning,vision,16,16.6,1272.26,16.334,0.921,0.1656,1777538541.5159442
51.12,adaptive,high_reasoning,reasoning,362,45.0,5586.94,37.891,1.0,0.5515,1777538541.5159469
56.12,adaptive,high_reasoning,coord,69,24.3,1366.13,22.308,0.9018,0.1174,1777538546.519547
56.12,adaptive,high_reasoning,nlp,159,21.6,3949.44,20.508,0.9123,0.1656,1777538546.5195503
56.12,adaptive,high_reasoning,vision,8,15.9,1263.24,16.446,0.9285,0.1656,1777538546.5195525
56.12,adaptive,high_reasoning,reasoning,382,44.2,5866.27,38.113,1.0,0.5515,1777538546.519555
