timestamp,policy,coord,nlp,vision,reasoning
1777811009.342,adaptive,0.1832,0.2723,0.2269,0.3176
1777811010.359,adaptive,0.1935,0.2688,0.224,0.3136
1777811011.374,adaptive,0.1997,0.2668,0.2223,0.3112
1777811012.376,adaptive,0.1961,0.268,0.2233,0.3126
1777811013.391,adaptive,0.1933,0.2688,0.224,0.3139
1777811014.408,adaptive,0.1971,0.266,0.2217,0.3152
1777811015.409,adaptive,0.196,0.2645,0.2204,0.3191
1777811016.426,adaptive,0.1988,0.2648,0.2207,0.3158
1777811017.442,adaptive,0.1989,0.2641,0.2201,0.3169
1777811018.443,adaptive,0.1991,0.264,0.22,0.317
1777811019.459,adaptive,0.1987,0.2624,0.2187,0.3203
1777811020.459,adaptive,0.1991,0.2603,0.2169,0.3238
1777811021.463,adaptive,0.198,0.2591,0.2159,0.3271
1777811022.476,adaptive,0.2003,0.2595,0.2162,0.324
1777811023.492,adaptive,0.2016,0.2604,0.217,0.321
1777811024.509,adaptive,0.202,0.2613,0.2178,0.3189
1777811025.524,adaptive,0.202,0.261,0.2175,0.3195
1777811026.543,adaptive,0.1968,0.259,0.2158,0.3284
1777811027.558,adaptive,0.1949,0.2602,0.2168,0.3281
1777811028.561,adaptive,0.1964,0.2595,0.2163,0.3278
1777811029.562,adaptive,0.1985,0.26,0.2167,0.3248
1777811030.575,adaptive,0.1941,0.2615,0.2179,0.3265
1777811031.593,adaptive,0.198,0.2627,0.2189,0.3204
1777811032.609,adaptive,0.198,0.2639,0.2199,0.3182
1777811033.627,adaptive,0.1962,0.262,0.2183,0.3234
1777811034.645,adaptive,0.1981,0.2631,0.2193,0.3195
1777811035.659,adaptive,0.1977,0.2656,0.2213,0.3155
1777811036.676,adaptive,0.2011,0.2663,0.2219,0.3107
1777811037.694,adaptive,0.2013,0.2662,0.2219,0.3106
1777811038.708,adaptive,0.2009,0.2664,0.222,0.3107
1777811039.725,adaptive,0.202,0.266,0.2217,0.3103
1777811040.743,adaptive,0.201,0.2663,0.2219,0.3107
1777811041.762,adaptive,0.1977,0.2674,0.2229,0.312
1777811042.778,adaptive,0.197,0.2673,0.2227,0.3131
1777811043.795,adaptive,0.2003,0.2666,0.2221,0.311
1777811044.81,adaptive,0.201,0.2663,0.2219,0.3107
1777811045.827,adaptive,0.2012,0.2663,0.2219,0.3106
1777811046.842,adaptive,0.2037,0.2654,0.2212,0.3097
1777811047.86,adaptive,0.2061,0.2646,0.2205,0.3087
