elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,adaptive,paper_default,coord,0,21.9,33.97,36.261,0.0,0.1961,1777811013.3414495
6.01,adaptive,paper_default,nlp,2,15.2,65.71,24.784,0.0067,0.268,1777811013.3414772
6.01,adaptive,paper_default,vision,5,17.1,86.07,27.445,0.0667,0.2233,1777811013.341494
6.01,adaptive,paper_default,reasoning,2,10.3,67.31,16.634,0.03,0.3126,1777811013.3415077
11.01,adaptive,paper_default,coord,0,46.5,42.05,42.132,0.0,0.1989,1777811018.3422406
11.01,adaptive,paper_default,nlp,0,29.1,61.95,26.423,0.0034,0.2641,1777811018.3422537
11.01,adaptive,paper_default,vision,2,32.9,78.14,29.692,0.0336,0.2201,1777811018.3422632
11.01,adaptive,paper_default,reasoning,0,21.3,61.71,19.341,0.0141,0.3169,1777811018.342272
16.03,adaptive,paper_default,coord,2,49.1,39.44,44.112,0.0,0.2003,1777811023.3578556
16.03,adaptive,paper_default,nlp,0,26.9,58.49,26.268,0.0024,0.2595,1777811023.3578641
16.03,adaptive,paper_default,vision,7,33.9,78.87,31.321,0.0219,0.2162,1777811023.3578703
16.03,adaptive,paper_default,reasoning,0,22.2,62.53,20.215,0.0093,0.324,1777811023.3578758
21.03,adaptive,paper_default,coord,1,47.3,39.34,44.508,0.0,0.1949,1777811028.3595736
21.03,adaptive,paper_default,nlp,1,26.8,57.31,26.581,0.0018,0.2602,1777811028.3595858
21.03,adaptive,paper_default,vision,7,34.0,91.6,31.527,0.0573,0.2168,1777811028.3595958
21.03,adaptive,paper_default,reasoning,0,22.8,66.19,20.97,0.0068,0.3281,1777811028.3596041
26.05,adaptive,paper_default,coord,3,46.4,39.36,44.96,0.0,0.198,1777811033.375751
26.05,adaptive,paper_default,nlp,1,29.3,61.88,27.414,0.0014,0.2639,1777811033.3757539
26.05,adaptive,paper_default,vision,0,31.8,97.59,31.829,0.0688,0.2199,1777811033.3757563
26.05,adaptive,paper_default,reasoning,2,21.5,67.33,20.656,0.0149,0.3182,1777811033.3757586
31.06,adaptive,paper_default,coord,1,45.8,39.36,44.88,0.0,0.2013,1777811038.3919163
31.06,adaptive,paper_default,nlp,0,31.5,67.56,28.203,0.0034,0.2662,1777811038.3919303
31.06,adaptive,paper_default,vision,2,30.7,91.94,31.422,0.0584,0.2219,1777811038.3919399
31.06,adaptive,paper_default,reasoning,0,19.8,67.79,20.573,0.0125,0.3106,1777811038.3919485
36.08,adaptive,paper_default,coord,1,44.9,39.11,44.987,0.0,0.197,1777811043.4101105
36.08,adaptive,paper_default,nlp,1,30.7,67.29,28.356,0.0088,0.2673,1777811043.4101238
36.08,adaptive,paper_default,vision,3,32.0,96.41,31.793,0.0724,0.2227,1777811043.410134
36.08,adaptive,paper_default,reasoning,1,19.8,66.87,20.428,0.0109,0.3131,1777811043.4101427
41.09,adaptive,paper_default,coord,1,45.7,38.85,45.115,0.0,0.2061,1777811048.427147
41.09,adaptive,paper_default,nlp,4,29.6,66.33,28.446,0.0077,0.2646,1777811048.4271586
41.09,adaptive,paper_default,vision,1,32.1,95.59,31.61,0.067,0.2205,1777811048.4271674
41.09,adaptive,paper_default,reasoning,3,20.1,65.33,20.367,0.0096,0.3087,1777811048.4271908
46.11,adaptive,paper_default,coord,1,44.6,38.36,44.891,0.0,0.1933,1777811053.4442985
46.11,adaptive,paper_default,nlp,4,30.1,67.29,28.713,0.0068,0.2633,1777811053.4443126
46.11,adaptive,paper_default,vision,1,31.4,96.34,31.749,0.0676,0.2194,1777811053.4443226
46.11,adaptive,paper_default,reasoning,0,21.4,66.49,20.689,0.0084,0.324,1777811053.444331
51.13,adaptive,paper_default,coord,1,44.4,39.15,44.967,0.0,0.185,1777811058.46134
51.13,adaptive,paper_default,nlp,2,30.7,71.6,28.928,0.0115,0.2644,1777811058.4613514
51.13,adaptive,paper_default,vision,0,32.2,98.6,31.803,0.0707,0.2203,1777811058.4613602
51.13,adaptive,paper_default,reasoning,0,22.3,66.94,20.791,0.0075,0.3303,1777811058.4613686
56.14,adaptive,paper_default,coord,0,45.5,39.72,45.028,0.0,0.1973,1777811063.4796057
56.14,adaptive,paper_default,nlp,0,28.8,70.22,28.801,0.0105,0.2615,1777811063.4796178
56.14,adaptive,paper_default,vision,3,30.3,96.17,31.473,0.0651,0.218,1777811063.4796264
