timestamp,policy,coord,nlp,vision,reasoning
1777811209.855,round_robin,0.55,0.15,0.15,0.15
1777811210.86,round_robin,0.15,0.55,0.15,0.15
1777811211.863,round_robin,0.15,0.15,0.15,0.55
1777811212.867,round_robin,0.15,0.15,0.55,0.15
1777811213.874,round_robin,0.55,0.15,0.15,0.15
1777811214.883,round_robin,0.15,0.55,0.15,0.15
1777811215.899,round_robin,0.15,0.15,0.15,0.55
1777811216.901,round_robin,0.15,0.15,0.55,0.15
1777811217.903,round_robin,0.55,0.15,0.15,0.15
1777811218.908,round_robin,0.15,0.55,0.15,0.15
1777811219.915,round_robin,0.15,0.15,0.15,0.55
1777811220.92,round_robin,0.15,0.15,0.55,0.15
1777811221.926,round_robin,0.55,0.15,0.15,0.15
1777811222.942,round_robin,0.15,0.55,0.15,0.15
1777811223.947,round_robin,0.15,0.15,0.15,0.55
1777811224.952,round_robin,0.15,0.15,0.55,0.15
1777811225.965,round_robin,0.55,0.15,0.15,0.15
1777811226.979,round_robin,0.15,0.55,0.15,0.15
1777811227.99,round_robin,0.15,0.15,0.15,0.55
1777811228.999,round_robin,0.15,0.15,0.55,0.15
1777811230.014,round_robin,0.55,0.15,0.15,0.15
1777811231.02,round_robin,0.15,0.55,0.15,0.15
1777811232.021,round_robin,0.15,0.15,0.15,0.55
1777811233.03,round_robin,0.15,0.15,0.55,0.15
1777811234.04,round_robin,0.55,0.15,0.15,0.15
1777811235.045,round_robin,0.15,0.55,0.15,0.15
1777811236.06,round_robin,0.15,0.15,0.15,0.55
1777811237.061,round_robin,0.15,0.15,0.55,0.15
1777811238.067,round_robin,0.55,0.15,0.15,0.15
1777811239.08,round_robin,0.15,0.55,0.15,0.15
1777811240.085,round_robin,0.15,0.15,0.15,0.55
1777811241.098,round_robin,0.15,0.15,0.55,0.15
1777811242.113,round_robin,0.55,0.15,0.15,0.15
1777811243.123,round_robin,0.15,0.55,0.15,0.15
1777811244.131,round_robin,0.15,0.15,0.15,0.55
1777811245.133,round_robin,0.15,0.15,0.55,0.15
1777811246.149,round_robin,0.55,0.15,0.15,0.15
1777811247.161,round_robin,0.15,0.55,0.15,0.15
1777811248.174,round_robin,0.15,0.15,0.15,0.55
1777811249.182,round_robin,0.15,0.15,0.55,0.15
1777811250.192,round_robin,0.55,0.15,0.15,0.15
1777811251.195,round_robin,0.15,0.55,0.15,0.15
1777811252.203,round_robin,0.15,0.15,0.15,0.55
1777811253.22,round_robin,0.15,0.15,0.55,0.15
1777811254.232,round_robin,0.55,0.15,0.15,0.15
1777811255.247,round_robin,0.15,0.55,0.15,0.15
1777811256.258,round_robin,0.15,0.15,0.15,0.55
1777811257.276,round_robin,0.15,0.15,0.55,0.15
1777811258.281,round_robin,0.55,0.15,0.15,0.15
1777811259.291,round_robin,0.15,0.55,0.15,0.15
1777811260.297,round_robin,0.15,0.15,0.15,0.55
1777811261.299,round_robin,0.15,0.15,0.55,0.15
1777811262.313,round_robin,0.55,0.15,0.15,0.15
1777811263.328,round_robin,0.15,0.55,0.15,0.15
1777811264.332,round_robin,0.15,0.15,0.15,0.55
1777811265.347,round_robin,0.15,0.15,0.55,0.15
1777811266.361,round_robin,0.55,0.15,0.15,0.15
1777811267.365,round_robin,0.15,0.55,0.15,0.15
1777811268.376,round_robin,0.15,0.15,0.15,0.55
1777811269.385,round_robin,0.15,0.15,0.55,0.15
1777811270.397,round_robin,0.55,0.15,0.15,0.15
1777811271.416,round_robin,0.15,0.55,0.15,0.15
1777811272.426,round_robin,0.15,0.15,0.15,0.55
1777811273.43,round_robin,0.15,0.15,0.55,0.15
1777811274.436,round_robin,0.55,0.15,0.15,0.15
1777811275.446,round_robin,0.15,0.55,0.15,0.15
1777811276.464,round_robin,0.15,0.15,0.15,0.55
1777811277.467,round_robin,0.15,0.15,0.55,0.15
1777811278.477,round_robin,0.55,0.15,0.15,0.15
1777811279.482,round_robin,0.15,0.55,0.15,0.15
1777811280.496,round_robin,0.15,0.15,0.15,0.55
1777811281.524,round_robin,0.15,0.15,0.55,0.15
1777811282.535,round_robin,0.55,0.15,0.15,0.15
1777811283.554,round_robin,0.15,0.55,0.15,0.15
1777811284.569,round_robin,0.15,0.15,0.15,0.55
1777811285.587,round_robin,0.15,0.15,0.55,0.15
1777811286.603,round_robin,0.55,0.15,0.15,0.15
1777811287.622,round_robin,0.15,0.55,0.15,0.15
1777811288.639,round_robin,0.15,0.15,0.15,0.55
1777811289.653,round_robin,0.15,0.15,0.55,0.15
1777811290.667,round_robin,0.55,0.15,0.15,0.15
1777811291.682,round_robin,0.15,0.55,0.15,0.15
1777811292.692,round_robin,0.15,0.15,0.15,0.55
1777811293.697,round_robin,0.15,0.15,0.55,0.15
1777811294.709,round_robin,0.55,0.15,0.15,0.15
1777811295.724,round_robin,0.15,0.55,0.15,0.15
1777811296.73,round_robin,0.15,0.15,0.15,0.55
1777811297.748,round_robin,0.15,0.15,0.55,0.15
1777811298.764,round_robin,0.55,0.15,0.15,0.15
1777811299.78,round_robin,0.15,0.55,0.15,0.15
1777811300.796,round_robin,0.15,0.15,0.15,0.55
1777811301.814,round_robin,0.15,0.15,0.55,0.15
1777811302.83,round_robin,0.55,0.15,0.15,0.15
1777811303.847,round_robin,0.15,0.55,0.15,0.15
1777811304.864,round_robin,0.15,0.15,0.15,0.55
1777811305.881,round_robin,0.15,0.15,0.55,0.15
1777811306.897,round_robin,0.55,0.15,0.15,0.15
1777811307.912,round_robin,0.15,0.55,0.15,0.15
1777811308.92,round_robin,0.15,0.15,0.15,0.55
