elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,round_robin,paper_default,coord,6,22.2,80.03,35.782,0.0884,0.15,1777811213.8596761
6.01,round_robin,paper_default,nlp,10,15.0,168.47,23.134,0.4101,0.15,1777811213.8596861
6.01,round_robin,paper_default,vision,1,15.6,126.47,25.796,0.2452,0.55,1777811213.8596916
6.01,round_robin,paper_default,reasoning,7,10.4,181.92,15.977,0.3854,0.15,1777811213.8596957
11.01,round_robin,paper_default,coord,1,45.8,136.36,41.419,0.2632,0.55,1777811218.8595505
11.01,round_robin,paper_default,nlp,11,30.2,229.74,26.341,0.5069,0.15,1777811218.8595548
11.01,round_robin,paper_default,vision,2,31.8,178.09,28.612,0.3556,0.15,1777811218.8595579
11.01,round_robin,paper_default,reasoning,9,21.3,305.54,18.439,0.6305,0.15,1777811218.8595607
16.02,round_robin,paper_default,coord,16,48.0,190.86,42.764,0.4482,0.15,1777811223.8686976
16.02,round_robin,paper_default,nlp,1,31.4,266.29,28.905,0.5529,0.55,1777811223.8687015
16.02,round_robin,paper_default,vision,17,33.1,175.47,29.279,0.3753,0.15,1777811223.8687043
16.02,round_robin,paper_default,reasoning,13,20.7,315.35,18.541,0.633,0.15,1777811223.8687062
21.03,round_robin,paper_default,coord,27,48.0,248.03,43.32,0.5565,0.15,1777811228.8805661
21.03,round_robin,paper_default,nlp,16,33.9,335.74,29.72,0.6192,0.15,1777811228.8805697
21.03,round_robin,paper_default,vision,20,33.7,205.1,30.148,0.4401,0.15,1777811228.8805723
21.03,round_robin,paper_default,reasoning,0,19.7,347.14,19.449,0.687,0.55,1777811228.880575
26.03,round_robin,paper_default,coord,10,44.8,282.96,43.751,0.6207,0.15,1777811233.883963
26.03,round_robin,paper_default,nlp,13,32.2,363.29,29.693,0.6598,0.15,1777811233.8839667
26.03,round_robin,paper_default,vision,0,33.1,204.75,31.421,0.4401,0.55,1777811233.8839703
26.03,round_robin,paper_default,reasoning,2,19.5,348.63,19.321,0.6859,0.15,1777811233.8839722
31.05,round_robin,paper_default,coord,9,45.1,267.1,44.48,0.5865,0.55,1777811238.9003522
31.05,round_robin,paper_default,nlp,7,29.2,368.37,29.825,0.6911,0.15,1777811238.900358
31.05,round_robin,paper_default,vision,8,32.2,187.27,31.178,0.3822,0.15,1777811238.9003618
31.05,round_robin,paper_default,reasoning,8,20.2,356.97,19.454,0.707,0.15,1777811238.9003654
36.06,round_robin,paper_default,coord,25,49.0,285.18,44.758,0.6208,0.15,1777811243.911793
36.06,round_robin,paper_default,nlp,0,28.9,345.95,29.866,0.65,0.55,1777811243.9117963
36.06,round_robin,paper_default,vision,12,31.5,197.59,31.086,0.4264,0.15,1777811243.9117985
36.06,round_robin,paper_default,reasoning,11,20.3,363.81,19.356,0.7106,0.15,1777811243.9118009
41.06,round_robin,paper_default,coord,24,47.3,327.78,44.809,0.6674,0.15,1777811248.914222
41.06,round_robin,paper_default,nlp,2,27.7,327.23,29.418,0.6167,0.15,1777811248.9142253
41.06,round_robin,paper_default,vision,25,32.6,215.7,31.098,0.4644,0.15,1777811248.9142275
41.06,round_robin,paper_default,reasoning,0,20.3,373.14,19.872,0.7071,0.55,1777811248.9142315
46.08,round_robin,paper_default,coord,37,45.9,367.57,44.749,0.7032,0.15,1777811253.9306862
46.08,round_robin,paper_default,nlp,7,27.3,319.74,29.124,0.6036,0.15,1777811253.9306893
46.08,round_robin,paper_default,vision,0,31.4,223.83,31.424,0.4848,0.55,1777811253.9306912
46.08,round_robin,paper_default,reasoning,0,20.3,373.53,19.792,0.705,0.15,1777811253.9306934
51.09,round_robin,paper_default,coord,33,46.8,399.43,45.023,0.7339,0.55,1777811258.9366102
51.09,round_robin,paper_default,nlp,23,30.1,327.13,29.128,0.6203,0.15,1777811258.9366133
51.09,round_robin,paper_default,vision,6,31.1,216.01,31.457,0.4655,0.15,1777811258.9366157
51.09,round_robin,paper_default,reasoning,6,19.7,364.83,19.712,0.6981,0.15,1777811258.9366176
56.09,round_robin,paper_default,coord,27,45.8,438.17,45.102,0.7581,0.15,1777811263.9471328
56.09,round_robin,paper_default,nlp,0,30.4,330.35,29.504,0.6224,0.55,1777811263.9471376
