elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.02,static,paper_default,coord,1,22.1,28.68,36.397,0.0,0.25,1777811113.6123188
6.02,static,paper_default,nlp,0,14.1,71.47,23.434,0.0,0.25,1777811113.612337
6.02,static,paper_default,vision,4,15.4,58.67,24.764,0.0,0.25,1777811113.6123486
6.02,static,paper_default,reasoning,0,11.2,155.14,18.448,0.3243,0.25,1777811113.612358
11.02,static,paper_default,coord,1,45.4,29.42,41.011,0.0,0.25,1777811118.6175604
11.02,static,paper_default,nlp,3,28.4,71.1,25.496,0.0,0.25,1777811118.6176038
11.02,static,paper_default,vision,0,31.6,80.5,28.581,0.0571,0.25,1777811118.6176083
11.02,static,paper_default,reasoning,0,20.9,131.92,18.872,0.2163,0.25,1777811118.6176107
16.03,static,paper_default,coord,1,46.3,29.04,42.621,0.0,0.25,1777811123.6214907
16.03,static,paper_default,nlp,0,28.9,75.88,26.771,0.0023,0.25,1777811123.6215038
16.03,static,paper_default,vision,0,32.4,71.64,29.766,0.0377,0.25,1777811123.621513
16.03,static,paper_default,reasoning,1,20.6,151.01,19.719,0.307,0.25,1777811123.621522
21.04,static,paper_default,coord,1,44.1,28.72,42.539,0.0,0.25,1777811128.6369715
21.04,static,paper_default,nlp,0,28.3,72.5,26.997,0.0018,0.25,1777811128.6369832
21.04,static,paper_default,vision,1,33.1,80.36,30.656,0.0512,0.25,1777811128.636992
21.04,static,paper_default,reasoning,3,21.3,147.11,19.962,0.2881,0.25,1777811128.6370013
26.04,static,paper_default,coord,0,45.4,29.47,43.698,0.0,0.25,1777811133.640036
26.04,static,paper_default,nlp,0,28.4,72.5,27.417,0.0014,0.25,1777811133.6400483
26.04,static,paper_default,vision,7,34.3,80.52,31.257,0.0418,0.25,1777811133.640058
26.04,static,paper_default,reasoning,2,21.0,141.98,20.159,0.2495,0.25,1777811133.6400669
31.06,static,paper_default,coord,1,47.8,29.65,44.209,0.0,0.25,1777811138.6552114
31.06,static,paper_default,nlp,0,30.4,80.47,28.077,0.0333,0.25,1777811138.6552234
31.06,static,paper_default,vision,1,32.5,78.37,31.329,0.0411,0.25,1777811138.6552322
31.06,static,paper_default,reasoning,1,21.2,134.31,20.446,0.2094,0.25,1777811138.6552408
