timestamp,policy,coord,nlp,vision,reasoning
1777538676.607,adaptive,0.1132,0.5044,0.153,0.2294
1777538681.622,adaptive,0.211,0.3881,0.1603,0.2405
1777538686.631,adaptive,0.2035,0.3946,0.1608,0.2411
1777538691.636,adaptive,0.1839,0.4186,0.159,0.2385
1777538696.638,adaptive,0.1789,0.4238,0.1589,0.2384
1777538701.654,adaptive,0.181,0.4183,0.1603,0.2404
1777538706.665,adaptive,0.1807,0.4141,0.1621,0.2432
1777538711.682,adaptive,0.1875,0.4128,0.1599,0.2398
1777538716.687,adaptive,0.1696,0.4336,0.1587,0.2381
1777538721.704,adaptive,0.1615,0.4304,0.1633,0.2449
1777538726.711,adaptive,0.1699,0.4287,0.1606,0.2409
