elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,adaptive,burst_nlp,coord,0,8.3,93.23,13.317,0.0,0.25,1777538676.6060424
6.01,adaptive,burst_nlp,nlp,97,25.5,1083.74,25.635,0.9675,0.25,1777538676.6060615
6.01,adaptive,burst_nlp,vision,0,4.0,161.34,6.325,0.0789,0.25,1777538676.6060748
6.01,adaptive,burst_nlp,reasoning,2,7.8,238.57,11.985,0.7778,0.25,1777538676.6060839
11.02,adaptive,burst_nlp,coord,4,17.9,194.97,15.511,0.4152,0.211,1777538681.6231303
11.02,adaptive,burst_nlp,nlp,46,50.2,1359.4,41.091,0.989,0.3881,1777538681.6231437
11.02,adaptive,burst_nlp,vision,0,8.2,216.3,7.257,0.5125,0.1603,1777538681.623154
11.02,adaptive,burst_nlp,reasoning,0,15.0,260.11,13.334,0.8503,0.2405,1777538681.6231635
16.03,adaptive,burst_nlp,coord,0,18.7,172.69,16.843,0.3037,0.211,1777538686.6296635
16.03,adaptive,burst_nlp,nlp,48,48.5,1256.21,42.919,0.9927,0.3881,1777538686.6296694
16.03,adaptive,burst_nlp,vision,0,9.2,232.17,8.172,0.6794,0.1603,1777538686.629674
16.03,adaptive,burst_nlp,reasoning,1,13.8,258.51,13.225,0.8585,0.2405,1777538686.6296778
21.04,adaptive,burst_nlp,coord,0,18.1,158.83,17.064,0.2312,0.1839,1777538691.6385682
21.04,adaptive,burst_nlp,nlp,66,49.3,1229.4,44.061,0.9946,0.4186,1777538691.6385806
21.04,adaptive,burst_nlp,vision,0,9.4,236.66,8.27,0.7184,0.159,1777538691.6385899
21.04,adaptive,burst_nlp,reasoning,0,14.0,262.72,13.594,0.8776,0.2385,1777538691.6385996
26.06,adaptive,burst_nlp,coord,0,18.3,152.82,17.309,0.1885,0.1789,1777538696.655503
26.06,adaptive,burst_nlp,nlp,70,51.2,1267.18,45.212,0.9958,0.4238,1777538696.6555154
26.06,adaptive,burst_nlp,vision,4,10.2,248.89,8.674,0.7478,0.1589,1777538696.6555243
26.06,adaptive,burst_nlp,reasoning,0,13.6,262.82,13.51,0.8778,0.2384,1777538696.655533
31.07,adaptive,burst_nlp,coord,0,17.5,149.05,17.188,0.161,0.181,1777538701.6693547
31.07,adaptive,burst_nlp,nlp,65,50.1,1293.2,46.059,0.9965,0.4183,1777538701.6693683
31.07,adaptive,burst_nlp,vision,0,10.6,260.85,9.012,0.7929,0.1603,1777538701.6693778
31.07,adaptive,burst_nlp,reasoning,0,14.3,268.86,13.808,0.8881,0.2404,1777538701.6693864
36.08,adaptive,burst_nlp,coord,1,18.0,145.4,17.461,0.1365,0.1807,1777538706.6822066
36.08,adaptive,burst_nlp,nlp,69,49.8,1319.05,46.534,0.997,0.4141,1777538706.6822193
36.08,adaptive,burst_nlp,vision,0,10.8,263.32,9.395,0.826,0.1621,1777538706.6822283
36.08,adaptive,burst_nlp,reasoning,3,15.8,273.23,13.996,0.8911,0.2432,1777538706.6822364
41.1,adaptive,burst_nlp,coord,0,18.9,142.84,17.568,0.1191,0.1875,1777538711.6972203
41.1,adaptive,burst_nlp,nlp,71,50.4,1336.56,46.962,0.9974,0.4128,1777538711.6972325
41.1,adaptive,burst_nlp,vision,1,10.3,264.23,9.271,0.832,0.1599,1777538711.6972415
41.1,adaptive,burst_nlp,reasoning,0,15.0,274.08,14.089,0.886,0.2398,1777538711.6972501
46.1,adaptive,burst_nlp,coord,0,16.7,140.95,17.375,0.1074,0.1696,1777538716.7022667
46.1,adaptive,burst_nlp,nlp,69,49.9,1355.39,47.244,0.9977,0.4336,1777538716.702279
46.1,adaptive,burst_nlp,vision,0,9.3,263.69,9.414,0.8387,0.1587,1777538716.7022884
46.1,adaptive,burst_nlp,reasoning,2,13.7,271.94,13.948,0.8834,0.2381,1777538716.702297
51.12,adaptive,burst_nlp,coord,0,16.0,140.35,17.254,0.0986,0.1615,1777538721.7197647
51.12,adaptive,burst_nlp,nlp,70,50.8,1369.51,47.732,0.998,0.4304,1777538721.7197776
51.12,adaptive,burst_nlp,vision,0,10.3,264.19,9.488,0.8392,0.1633,1777538721.7197862
51.12,adaptive,burst_nlp,reasoning,6,14.1,270.93,13.967,0.8838,0.2449,1777538721.7197952
56.12,adaptive,burst_nlp,coord,0,15.3,140.18,16.998,0.0912,0.1699,1777538726.7273576
56.12,adaptive,burst_nlp,nlp,54,50.2,1361.68,48.054,0.9981,0.4287,1777538726.7273664
56.12,adaptive,burst_nlp,vision,0,11.0,263.3,9.657,0.8432,0.1606,1777538726.7273726
56.12,adaptive,burst_nlp,reasoning,0,13.0,281.34,13.862,0.8869,0.2409,1777538726.7273781
