timestamp,policy,coord,nlp,vision,reasoning
1777538792.955,round_robin,0.55,0.15,0.15,0.15
1777538793.965,round_robin,0.15,0.55,0.15,0.15
1777538794.975,round_robin,0.15,0.15,0.15,0.55
1777538795.988,round_robin,0.15,0.15,0.55,0.15
1777538796.992,round_robin,0.55,0.15,0.15,0.15
1777538797.997,round_robin,0.15,0.55,0.15,0.15
1777538799.012,round_robin,0.15,0.15,0.15,0.55
1777538800.023,round_robin,0.15,0.15,0.55,0.15
1777538801.027,round_robin,0.55,0.15,0.15,0.15
1777538802.041,round_robin,0.15,0.55,0.15,0.15
1777538803.055,round_robin,0.15,0.15,0.15,0.55
1777538804.056,round_robin,0.15,0.15,0.55,0.15
1777538805.074,round_robin,0.55,0.15,0.15,0.15
1777538806.087,round_robin,0.15,0.55,0.15,0.15
1777538807.09,round_robin,0.15,0.15,0.15,0.55
1777538808.105,round_robin,0.15,0.15,0.55,0.15
1777538809.113,round_robin,0.55,0.15,0.15,0.15
1777538810.121,round_robin,0.15,0.55,0.15,0.15
1777538811.129,round_robin,0.15,0.15,0.15,0.55
1777538812.141,round_robin,0.15,0.15,0.55,0.15
1777538813.151,round_robin,0.55,0.15,0.15,0.15
1777538814.152,round_robin,0.15,0.55,0.15,0.15
1777538815.155,round_robin,0.15,0.15,0.15,0.55
1777538816.157,round_robin,0.15,0.15,0.55,0.15
1777538817.171,round_robin,0.55,0.15,0.15,0.15
1777538818.176,round_robin,0.15,0.55,0.15,0.15
1777538819.191,round_robin,0.15,0.15,0.15,0.55
1777538820.204,round_robin,0.15,0.15,0.55,0.15
1777538821.217,round_robin,0.55,0.15,0.15,0.15
1777538822.221,round_robin,0.15,0.55,0.15,0.15
1777538823.231,round_robin,0.15,0.15,0.15,0.55
1777538824.238,round_robin,0.15,0.15,0.55,0.15
1777538825.248,round_robin,0.55,0.15,0.15,0.15
1777538826.252,round_robin,0.15,0.55,0.15,0.15
1777538827.259,round_robin,0.15,0.15,0.15,0.55
1777538828.267,round_robin,0.15,0.15,0.55,0.15
1777538829.271,round_robin,0.55,0.15,0.15,0.15
1777538830.282,round_robin,0.15,0.55,0.15,0.15
1777538831.286,round_robin,0.15,0.15,0.15,0.55
1777538832.299,round_robin,0.15,0.15,0.55,0.15
1777538833.309,round_robin,0.55,0.15,0.15,0.15
1777538834.32,round_robin,0.15,0.55,0.15,0.15
1777538835.328,round_robin,0.15,0.15,0.15,0.55
1777538836.344,round_robin,0.15,0.15,0.55,0.15
1777538837.356,round_robin,0.55,0.15,0.15,0.15
1777538838.366,round_robin,0.15,0.55,0.15,0.15
1777538839.381,round_robin,0.15,0.15,0.15,0.55
1777538840.389,round_robin,0.15,0.15,0.55,0.15
1777538841.402,round_robin,0.55,0.15,0.15,0.15
1777538842.413,round_robin,0.15,0.55,0.15,0.15
1777538843.416,round_robin,0.15,0.15,0.15,0.55
1777538844.435,round_robin,0.15,0.15,0.55,0.15
1777538845.441,round_robin,0.55,0.15,0.15,0.15
1777538846.453,round_robin,0.15,0.55,0.15,0.15
1777538847.469,round_robin,0.15,0.15,0.15,0.55
1777538848.476,round_robin,0.15,0.15,0.55,0.15
1777538849.489,round_robin,0.55,0.15,0.15,0.15
1777538850.508,round_robin,0.15,0.55,0.15,0.15
1777538851.524,round_robin,0.15,0.15,0.15,0.55
