elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.02,round_robin,burst_nlp,coord,0,8.0,113.07,13.127,0.0127,0.15,1777538796.95703
6.02,round_robin,burst_nlp,nlp,96,24.4,966.63,23.928,0.9444,0.15,1777538796.9570417
6.02,round_robin,burst_nlp,vision,0,3.4,213.17,5.483,0.5455,0.55,1777538796.9570484
6.02,round_robin,burst_nlp,reasoning,0,5.5,322.73,8.641,0.8654,0.15,1777538796.9570537
11.02,round_robin,burst_nlp,coord,0,18.1,114.58,16.424,0.0442,0.55,1777538801.9597857
11.02,round_robin,burst_nlp,nlp,213,50.2,1901.4,25.951,0.972,0.15,1777538801.959789
11.02,round_robin,burst_nlp,vision,0,6.8,223.95,5.989,0.6061,0.15,1777538801.9597917
11.02,round_robin,burst_nlp,reasoning,6,12.5,431.85,10.435,0.8696,0.15,1777538801.9597936
16.04,round_robin,burst_nlp,coord,1,20.6,127.95,17.52,0.1068,0.15,1777538806.9776506
16.04,round_robin,burst_nlp,nlp,286,50.4,3054.26,28.681,0.9826,0.55,1777538806.9776545
16.04,round_robin,burst_nlp,vision,0,7.6,230.39,6.734,0.6759,0.15,1777538806.9776573
16.04,round_robin,burst_nlp,reasoning,7,14.7,546.94,11.909,0.8848,0.15,1777538806.9776595
21.05,round_robin,burst_nlp,coord,0,20.6,128.37,18.245,0.0938,0.15,1777538811.9857194
21.05,round_robin,burst_nlp,nlp,396,50.2,4057.73,28.841,0.9868,0.15,1777538811.9857228
21.05,round_robin,burst_nlp,vision,0,8.6,231.9,7.27,0.6993,0.15,1777538811.9857254
21.05,round_robin,burst_nlp,reasoning,0,14.8,558.95,12.971,0.8608,0.55,1777538811.9857278
26.06,round_robin,burst_nlp,coord,0,19.8,129.17,18.533,0.087,0.15,1777538817.00037
26.06,round_robin,burst_nlp,nlp,525,52.2,5009.3,28.548,0.9892,0.15,1777538817.0003748
26.06,round_robin,burst_nlp,vision,0,9.6,228.55,7.904,0.6796,0.55,1777538817.0003774
26.06,round_robin,burst_nlp,reasoning,0,13.9,558.52,12.931,0.8576,0.15,1777538817.0003796
31.08,round_robin,burst_nlp,coord,0,19.3,128.14,18.664,0.081,0.55,1777538822.0145555
31.08,round_robin,burst_nlp,nlp,631,51.0,5964.89,28.415,0.9909,0.15,1777538822.0145588
31.08,round_robin,burst_nlp,vision,0,9.9,229.3,8.109,0.6905,0.15,1777538822.0145624
31.08,round_robin,burst_nlp,reasoning,7,13.1,538.1,12.743,0.8535,0.15,1777538822.0145643
36.08,round_robin,burst_nlp,coord,0,17.9,127.08,18.431,0.0737,0.15,1777538827.0212152
36.08,round_robin,burst_nlp,nlp,737,51.2,7099.29,28.962,0.9923,0.55,1777538827.0212328
36.08,round_robin,burst_nlp,vision,0,9.5,227.28,8.231,0.6835,0.15,1777538827.0212376
36.08,round_robin,burst_nlp,reasoning,1,12.6,543.76,12.804,0.8615,0.15,1777538827.021242
41.08,round_robin,burst_nlp,coord,0,16.8,126.81,18.206,0.0668,0.15,1777538832.0244076
41.08,round_robin,burst_nlp,nlp,831,51.1,8156.78,29.086,0.9933,0.15,1777538832.0244112
41.08,round_robin,burst_nlp,vision,0,10.1,238.1,8.568,0.6989,0.15,1777538832.0244136
41.08,round_robin,burst_nlp,reasoning,0,11.7,525.63,12.681,0.8484,0.55,1777538832.024416
46.09,round_robin,burst_nlp,coord,0,17.9,128.1,18.247,0.0725,0.15,1777538837.0308719
46.09,round_robin,burst_nlp,nlp,941,49.3,9163.49,28.965,0.994,0.15,1777538837.0308874
46.09,round_robin,burst_nlp,vision,0,9.9,239.27,8.657,0.6967,0.55,1777538837.0308955
46.09,round_robin,burst_nlp,reasoning,1,11.8,502.92,12.628,0.8213,0.15,1777538837.0309024
51.1,round_robin,burst_nlp,coord,0,17.6,127.43,18.101,0.0703,0.55,1777538842.0456789
51.1,round_robin,burst_nlp,nlp,1057,49.7,10111.01,28.707,0.9945,0.15,1777538842.0456908
51.1,round_robin,burst_nlp,vision,0,9.3,235.72,8.747,0.6823,0.15,1777538842.0457003
51.1,round_robin,burst_nlp,reasoning,3,11.7,489.61,12.406,0.8155,0.15,1777538842.0457094
56.12,round_robin,burst_nlp,coord,1,16.3,126.85,17.891,0.0697,0.15,1777538847.0590281
56.12,round_robin,burst_nlp,nlp,1152,50.6,11297.76,29.063,0.9951,0.55,1777538847.0590417
56.12,round_robin,burst_nlp,vision,0,8.7,237.21,8.625,0.6901,0.15,1777538847.0590525
56.12,round_robin,burst_nlp,reasoning,0,11.6,486.51,12.42,0.8121,0.15,1777538847.0590613
