elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,static,burst_nlp,coord,0,9.1,96.08,14.634,0.0,0.25,1777538736.7869692
6.01,static,burst_nlp,nlp,88,24.5,1056.86,25.444,0.9542,0.25,1777538736.7869744
6.01,static,burst_nlp,vision,0,5.4,171.04,8.648,0.1731,0.25,1777538736.7869775
6.01,static,burst_nlp,reasoning,2,6.7,237.92,10.144,0.7213,0.25,1777538736.78698
11.02,static,burst_nlp,coord,0,17.0,93.56,15.34,0.0,0.25,1777538741.7908168
11.02,static,burst_nlp,nlp,180,49.2,1971.68,28.048,0.9773,0.25,1777538741.7908201
11.02,static,burst_nlp,vision,0,9.7,169.39,8.714,0.1458,0.25,1777538741.7908227
11.02,static,burst_nlp,reasoning,1,13.9,254.03,12.254,0.7704,0.25,1777538741.790825
16.03,static,burst_nlp,coord,0,16.4,94.04,15.911,0.0,0.25,1777538746.801754
16.03,static,burst_nlp,nlp,278,50.0,2874.02,28.889,0.9849,0.25,1777538746.8017676
16.03,static,burst_nlp,vision,1,9.5,169.15,8.985,0.1667,0.25,1777538746.8017771
16.03,static,burst_nlp,reasoning,0,14.2,248.21,12.916,0.7391,0.25,1777538746.8017857
21.03,static,burst_nlp,coord,0,15.2,93.51,15.262,0.0,0.25,1777538751.8068075
21.03,static,burst_nlp,nlp,388,51.8,3820.72,29.525,0.9887,0.25,1777538751.8068206
21.03,static,burst_nlp,vision,0,10.2,169.93,9.557,0.194,0.25,1777538751.8068311
21.03,static,burst_nlp,reasoning,0,14.9,265.85,13.55,0.7825,0.25,1777538751.8068404
26.04,static,burst_nlp,coord,0,16.5,94.23,16.088,0.0,0.25,1777538756.8190396
26.04,static,burst_nlp,nlp,480,51.9,4760.62,29.948,0.991,0.25,1777538756.8190439
26.04,static,burst_nlp,vision,0,10.4,168.79,9.752,0.1929,0.25,1777538756.8190475
26.04,static,burst_nlp,reasoning,0,14.3,259.02,13.4,0.7708,0.25,1777538756.8190508
31.05,static,burst_nlp,coord,0,17.2,94.21,15.908,0.0,0.25,1777538761.8285525
31.05,static,burst_nlp,nlp,576,50.1,5691.03,30.109,0.9925,0.25,1777538761.8285577
31.05,static,burst_nlp,vision,0,9.6,168.23,9.5,0.1932,0.25,1777538761.8285613
31.05,static,burst_nlp,reasoning,1,12.2,256.49,13.106,0.7764,0.25,1777538761.828565
36.06,static,burst_nlp,coord,0,15.7,94.47,15.972,0.0,0.25,1777538766.839664
36.06,static,burst_nlp,nlp,677,50.6,6648.27,30.196,0.9936,0.25,1777538766.8396769
36.06,static,burst_nlp,vision,0,9.1,168.04,9.539,0.1919,0.25,1777538766.8396864
36.06,static,burst_nlp,reasoning,1,11.9,252.83,12.922,0.7768,0.25,1777538766.8396952
41.07,static,burst_nlp,coord,0,15.8,94.83,15.899,0.0,0.25,1777538771.8450944
41.07,static,burst_nlp,nlp,778,51.3,7638.59,30.362,0.9944,0.25,1777538771.8450983
41.07,static,burst_nlp,vision,0,9.2,167.28,9.496,0.1897,0.25,1777538771.8451009
41.07,static,burst_nlp,reasoning,0,12.3,251.4,12.953,0.782,0.25,1777538771.845103
46.09,static,burst_nlp,coord,0,17.0,94.72,16.187,0.0,0.25,1777538776.8618464
46.09,static,burst_nlp,nlp,880,51.7,8610.4,30.465,0.995,0.25,1777538776.8618593
46.09,static,burst_nlp,vision,0,9.2,166.13,9.461,0.1789,0.25,1777538776.8618686
46.09,static,burst_nlp,reasoning,0,12.8,247.51,12.954,0.7554,0.25,1777538776.8618832
51.1,static,burst_nlp,coord,0,18.2,94.83,16.34,0.0,0.25,1777538781.877546
51.1,static,burst_nlp,nlp,966,50.1,9576.96,30.547,0.9955,0.25,1777538781.8775585
51.1,static,burst_nlp,vision,0,8.4,166.61,9.276,0.1793,0.25,1777538781.8775685
51.1,static,burst_nlp,reasoning,0,13.0,247.25,13.013,0.7624,0.25,1777538781.877578
56.11,static,burst_nlp,coord,0,19.0,94.92,16.716,0.0,0.25,1777538786.889229
56.11,static,burst_nlp,nlp,1075,50.9,10533.91,30.616,0.9959,0.25,1777538786.8892324
56.11,static,burst_nlp,vision,0,7.8,166.19,9.195,0.1764,0.25,1777538786.889235
56.11,static,burst_nlp,reasoning,0,13.3,246.3,13.063,0.7599,0.25,1777538786.889237
