elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,adaptive,paper_default,coord,18,24.0,244.78,36.271,0.5183,0.25,1777561702.6774733
6.01,adaptive,paper_default,nlp,4,14.4,174.86,22.628,0.2721,0.25,1777561702.6775
6.01,adaptive,paper_default,vision,29,15.5,580.09,20.298,0.9426,0.25,1777561702.6775196
6.01,adaptive,paper_default,reasoning,8,9.3,380.83,13.477,0.8519,0.25,1777561702.6775336
11.01,adaptive,paper_default,coord,0,48.2,185.14,43.487,0.3841,0.3015,1777561707.6823819
11.01,adaptive,paper_default,nlp,51,29.8,524.2,22.152,0.5902,0.179,1777561707.6823943
11.01,adaptive,paper_default,vision,97,31.6,1189.35,19.519,0.9674,0.2511,1777561707.6824043
11.01,adaptive,paper_default,reasoning,14,19.7,578.55,16.251,0.933,0.2685,1777561707.6824138
16.03,adaptive,paper_default,coord,1,46.3,152.04,43.663,0.2629,0.3015,1777561712.7003727
16.03,adaptive,paper_default,nlp,87,30.5,1095.05,22.393,0.7214,0.179,1777561712.7003834
16.03,adaptive,paper_default,vision,138,33.1,2104.14,21.519,0.9797,0.2511,1777561712.7003894
16.03,adaptive,paper_default,reasoning,28,22.2,783.86,17.652,0.9576,0.2685,1777561712.7003944
21.05,adaptive,paper_default,coord,7,45.2,165.58,43.905,0.3409,0.2455,1777561717.7126715
21.05,adaptive,paper_default,nlp,119,30.9,1704.77,23.045,0.7938,0.2255,1777561717.7126746
21.05,adaptive,paper_default,vision,143,30.9,2790.26,22.855,0.9854,0.2539,1777561717.712677
21.05,adaptive,paper_default,reasoning,31,22.5,999.15,18.436,0.9691,0.2751,1777561717.7126794
26.06,adaptive,paper_default,coord,18,46.3,203.38,43.974,0.4686,0.2455,1777561722.7296162
26.06,adaptive,paper_default,nlp,118,29.4,2291.85,23.944,0.8397,0.2255,1777561722.7296293
26.06,adaptive,paper_default,vision,167,29.1,3403.54,23.292,0.9885,0.2539,1777561722.7296405
26.06,adaptive,paper_default,reasoning,40,22.0,1166.17,18.841,0.9756,0.2751,1777561722.7296498
31.08,adaptive,paper_default,coord,16,46.1,271.99,44.338,0.5581,0.2319,1777561727.7471495
31.08,adaptive,paper_default,nlp,151,30.0,2680.41,24.261,0.8674,0.2261,1777561727.7471628
31.08,adaptive,paper_default,vision,188,30.2,3883.71,23.81,0.9905,0.2662,1777561727.747172
31.08,adaptive,paper_default,reasoning,47,21.9,1350.27,19.048,0.9797,0.2757,1777561727.747181
36.09,adaptive,paper_default,coord,45,46.7,319.83,43.997,0.6165,0.2319,1777561732.7641006
36.09,adaptive,paper_default,nlp,151,30.1,3055.12,24.714,0.8879,0.2261,1777561732.7641134
36.09,adaptive,paper_default,vision,228,32.2,4292.39,24.132,0.992,0.2662,1777561732.7641232
36.09,adaptive,paper_default,reasoning,32,19.8,1491.86,19.339,0.9828,0.2757,1777561732.7641323
41.11,adaptive,paper_default,coord,51,48.1,422.59,44.37,0.6661,0.2618,1777561737.7805781
41.11,adaptive,paper_default,nlp,177,29.0,3409.02,24.788,0.9019,0.1997,1777561737.7805924
41.11,adaptive,paper_default,vision,246,32.9,4699.69,24.617,0.9931,0.2765,1777561737.7806032
41.11,adaptive,paper_default,reasoning,42,19.6,1554.51,19.29,0.9849,0.262,1777561737.780613
46.13,adaptive,paper_default,coord,54,47.7,510.81,44.612,0.7041,0.2591,1777561742.8033886
46.13,adaptive,paper_default,nlp,181,28.9,3734.54,24.994,0.9133,0.2054,1777561742.8034005
46.13,adaptive,paper_default,vision,257,31.2,5118.43,25.037,0.9939,0.2748,1777561742.8034103
46.13,adaptive,paper_default,reasoning,35,20.1,1610.35,19.445,0.9866,0.2606,1777561742.8034194
51.15,adaptive,paper_default,coord,72,49.1,594.61,44.869,0.7346,0.2751,1777561747.8212886
51.15,adaptive,paper_default,nlp,187,27.6,4054.53,25.142,0.9222,0.1946,1777561747.8213
51.15,adaptive,paper_default,vision,279,31.4,5511.12,25.299,0.9946,0.2746,1777561747.8213093
51.15,adaptive,paper_default,reasoning,30,19.3,1630.45,19.531,0.988,0.2558,1777561747.8213181
56.16,adaptive,paper_default,coord,46,47.6,670.4,45.3,0.7606,0.2751,1777561752.8319945
56.16,adaptive,paper_default,nlp,184,26.2,4321.54,25.143,0.9292,0.1946,1777561752.8320076
56.16,adaptive,paper_default,vision,298,31.5,5875.82,25.463,0.9951,0.2746,1777561752.8320172
56.16,adaptive,paper_default,reasoning,35,19.7,1628.65,19.48,0.989,0.2558,1777561752.8320267
