elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,round_robin,paper_default,coord,55,23.5,363.01,29.279,0.483,0.15,1777561823.27217
6.01,round_robin,paper_default,nlp,15,14.2,267.43,20.462,0.5691,0.15,1777561823.272189
6.01,round_robin,paper_default,vision,39,16.3,1197.63,19.963,0.9667,0.55,1777561823.2721968
6.01,round_robin,paper_default,reasoning,20,11.2,876.45,14.64,0.9773,0.15,1777561823.272203
11.01,round_robin,paper_default,coord,31,46.7,741.77,39.231,0.7894,0.55,1777561828.272966
11.01,round_robin,paper_default,nlp,41,29.5,494.87,22.703,0.72,0.15,1777561828.2729692
11.01,round_robin,paper_default,vision,77,31.7,1793.78,21.432,0.9831,0.15,1777561828.2729719
11.01,round_robin,paper_default,reasoning,54,22.9,1380.97,15.529,0.9883,0.15,1777561828.272974
16.03,round_robin,paper_default,coord,70,47.8,936.5,39.87,0.8576,0.15,1777561833.2896948
16.03,round_robin,paper_default,nlp,6,29.9,614.59,26.892,0.826,0.55,1777561833.2897005
16.03,round_robin,paper_default,vision,148,33.5,2344.36,21.588,0.9884,0.15,1777561833.2897053
16.03,round_robin,paper_default,reasoning,78,22.8,1886.7,16.098,0.9922,0.15,1777561833.2897089
21.04,round_robin,paper_default,coord,108,48.3,1190.85,39.823,0.8914,0.15,1777561838.3048418
21.04,round_robin,paper_default,nlp,10,28.8,662.51,27.087,0.8649,0.15,1777561838.3048449
21.04,round_robin,paper_default,vision,203,34.5,2966.88,21.67,0.9912,0.15,1777561838.3048475
21.04,round_robin,paper_default,reasoning,67,20.7,2411.49,17.393,0.9945,0.55,1777561838.3048494
26.04,round_robin,paper_default,coord,147,47.6,1440.09,39.894,0.9124,0.15,1777561843.307425
26.04,round_robin,paper_default,nlp,33,29.8,707.62,26.993,0.8905,0.15,1777561843.3074462
26.04,round_robin,paper_default,vision,217,31.5,3826.86,22.769,0.9933,0.55,1777561843.3074563
26.04,round_robin,paper_default,reasoning,69,18.6,2774.56,17.432,0.9956,0.15,1777561843.307465
31.06,round_robin,paper_default,coord,140,48.1,1733.62,41.502,0.9294,0.55,1777561848.3229892
31.06,round_robin,paper_default,nlp,40,30.7,782.26,27.335,0.9093,0.15,1777561848.3230033
31.06,round_robin,paper_default,vision,257,30.6,4516.67,22.828,0.9944,0.15,1777561848.3230138
31.06,round_robin,paper_default,reasoning,86,19.1,3038.86,17.354,0.9963,0.15,1777561848.323023
36.07,round_robin,paper_default,coord,159,48.0,1973.68,41.811,0.9397,0.15,1777561853.3319376
36.07,round_robin,paper_default,nlp,35,30.8,859.66,27.976,0.9237,0.55,1777561853.3319511
36.07,round_robin,paper_default,vision,300,31.4,5156.27,22.847,0.9951,0.15,1777561853.3319616
36.07,round_robin,paper_default,reasoning,107,21.0,3257.69,17.357,0.9968,0.15,1777561853.3319714
41.08,round_robin,paper_default,coord,183,46.1,2198.71,41.581,0.9467,0.15,1777561858.3421257
41.08,round_robin,paper_default,nlp,39,31.2,943.36,28.313,0.9338,0.15,1777561858.3421414
41.08,round_robin,paper_default,vision,347,31.7,5744.93,22.787,0.9957,0.15,1777561858.342153
41.08,round_robin,paper_default,reasoning,108,20.2,3558.02,17.528,0.9972,0.55,1777561858.3421638
46.09,round_robin,paper_default,coord,207,45.5,2429.79,41.569,0.9525,0.15,1777561863.3573296
46.09,round_robin,paper_default,nlp,33,29.3,1009.98,28.313,0.941,0.15,1777561863.3573556
46.09,round_robin,paper_default,vision,391,32.6,6411.12,22.997,0.9962,0.55,1777561863.3573678
46.09,round_robin,paper_default,reasoning,98,18.4,3863.42,17.769,0.9976,0.15,1777561863.357377
51.11,round_robin,paper_default,coord,210,46.6,2648.94,42.047,0.9577,0.55,1777561868.3766942
51.11,round_robin,paper_default,nlp,50,29.7,1046.91,28.351,0.9469,0.15,1777561868.3767095
51.11,round_robin,paper_default,vision,441,34.8,7097.58,23.303,0.9966,0.15,1777561868.376721
51.11,round_robin,paper_default,reasoning,115,19.1,4072.62,17.707,0.9978,0.15,1777561868.3767314
56.13,round_robin,paper_default,coord,222,48.4,2840.64,42.529,0.9619,0.15,1777561873.3926003
56.13,round_robin,paper_default,nlp,44,31.0,1105.64,28.579,0.952,0.55,1777561873.392614
56.13,round_robin,paper_default,vision,502,35.1,7670.54,23.162,0.9969,0.15,1777561873.3926241
56.13,round_robin,paper_default,reasoning,133,20.2,4244.81,17.586,0.998,0.15,1777561873.3926332
