timestamp,policy,coord,nlp,vision,reasoning
1777539109.436,adaptive,0.3346,0.165,0.253,0.2475
1777539114.449,adaptive,0.3186,0.1802,0.2309,0.2703
1777539119.466,adaptive,0.284,0.1902,0.2542,0.2716
1777539124.471,adaptive,0.2482,0.2062,0.2691,0.2765
1777539129.486,adaptive,0.2302,0.2418,0.256,0.2721
1777539134.497,adaptive,0.2461,0.2226,0.2631,0.2682
1777539139.502,adaptive,0.2398,0.2239,0.273,0.2633
1777539144.519,adaptive,0.264,0.2078,0.2718,0.2564
1777539149.522,adaptive,0.2391,0.2099,0.2862,0.2647
1777539154.525,adaptive,0.2428,0.2173,0.2713,0.2686
1777539159.541,adaptive,0.2405,0.225,0.2694,0.2651
