timestamp,policy,coord,nlp,vision,reasoning
1777539225.873,round_robin,0.55,0.15,0.15,0.15
1777539226.883,round_robin,0.15,0.55,0.15,0.15
1777539227.889,round_robin,0.15,0.15,0.15,0.55
1777539228.902,round_robin,0.15,0.15,0.55,0.15
1777539229.905,round_robin,0.55,0.15,0.15,0.15
1777539230.906,round_robin,0.15,0.55,0.15,0.15
1777539231.919,round_robin,0.15,0.15,0.15,0.55
1777539232.925,round_robin,0.15,0.15,0.55,0.15
1777539233.927,round_robin,0.55,0.15,0.15,0.15
1777539234.937,round_robin,0.15,0.55,0.15,0.15
1777539235.944,round_robin,0.15,0.15,0.15,0.55
1777539236.946,round_robin,0.15,0.15,0.55,0.15
1777539237.955,round_robin,0.55,0.15,0.15,0.15
1777539238.971,round_robin,0.15,0.55,0.15,0.15
1777539239.975,round_robin,0.15,0.15,0.15,0.55
1777539240.99,round_robin,0.15,0.15,0.55,0.15
1777539242.001,round_robin,0.55,0.15,0.15,0.15
1777539243.008,round_robin,0.15,0.55,0.15,0.15
1777539244.017,round_robin,0.15,0.15,0.15,0.55
1777539245.025,round_robin,0.15,0.15,0.55,0.15
1777539246.042,round_robin,0.55,0.15,0.15,0.15
1777539247.047,round_robin,0.15,0.55,0.15,0.15
1777539248.053,round_robin,0.15,0.15,0.15,0.55
1777539249.066,round_robin,0.15,0.15,0.55,0.15
1777539250.074,round_robin,0.55,0.15,0.15,0.15
1777539251.089,round_robin,0.15,0.55,0.15,0.15
1777539252.105,round_robin,0.15,0.15,0.15,0.55
1777539253.117,round_robin,0.15,0.15,0.55,0.15
1777539254.132,round_robin,0.55,0.15,0.15,0.15
1777539255.149,round_robin,0.15,0.55,0.15,0.15
1777539256.155,round_robin,0.15,0.15,0.15,0.55
1777539257.164,round_robin,0.15,0.15,0.55,0.15
1777539258.178,round_robin,0.55,0.15,0.15,0.15
1777539259.186,round_robin,0.15,0.55,0.15,0.15
1777539260.205,round_robin,0.15,0.15,0.15,0.55
1777539261.22,round_robin,0.15,0.15,0.55,0.15
1777539262.231,round_robin,0.55,0.15,0.15,0.15
1777539263.242,round_robin,0.15,0.55,0.15,0.15
1777539264.253,round_robin,0.15,0.15,0.15,0.55
1777539265.26,round_robin,0.15,0.15,0.55,0.15
1777539266.267,round_robin,0.55,0.15,0.15,0.15
1777539267.276,round_robin,0.15,0.55,0.15,0.15
1777539268.283,round_robin,0.15,0.15,0.15,0.55
1777539269.292,round_robin,0.15,0.15,0.55,0.15
1777539270.312,round_robin,0.55,0.15,0.15,0.15
1777539271.318,round_robin,0.15,0.55,0.15,0.15
1777539272.334,round_robin,0.15,0.15,0.15,0.55
1777539273.346,round_robin,0.15,0.15,0.55,0.15
1777539274.357,round_robin,0.55,0.15,0.15,0.15
1777539275.374,round_robin,0.15,0.55,0.15,0.15
1777539276.386,round_robin,0.15,0.15,0.15,0.55
1777539277.4,round_robin,0.15,0.15,0.55,0.15
1777539278.414,round_robin,0.55,0.15,0.15,0.15
1777539279.422,round_robin,0.15,0.55,0.15,0.15
1777539280.432,round_robin,0.15,0.15,0.15,0.55
1777539281.438,round_robin,0.15,0.15,0.55,0.15
1777539282.456,round_robin,0.55,0.15,0.15,0.15
1777539283.467,round_robin,0.15,0.55,0.15,0.15
1777539284.482,round_robin,0.15,0.15,0.15,0.55
