elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,static,paper_default,coord,2,21.4,125.53,34.617,0.0192,0.25,1777539169.6516113
6.01,static,paper_default,nlp,1,14.8,229.27,23.799,0.5455,0.25,1777539169.6516285
6.01,static,paper_default,vision,40,16.5,759.69,20.138,0.9587,0.25,1777539169.6516404
6.01,static,paper_default,reasoning,16,11.4,481.88,15.644,0.9681,0.25,1777539169.6516502
11.01,static,paper_default,coord,3,43.4,136.19,38.784,0.0703,0.25,1777539174.6536412
11.01,static,paper_default,nlp,1,30.0,252.6,26.885,0.6959,0.25,1777539174.6536543
11.01,static,paper_default,vision,80,33.3,1332.7,22.616,0.9799,0.25,1777539174.653664
11.01,static,paper_default,reasoning,23,21.9,794.49,17.439,0.9844,0.25,1777539174.6536727
16.02,static,paper_default,coord,14,45.4,180.18,40.571,0.2431,0.25,1777539179.6657774
16.02,static,paper_default,nlp,3,29.3,230.03,27.089,0.5668,0.25,1777539179.665791
16.02,static,paper_default,vision,117,33.4,1976.5,23.593,0.9868,0.25,1777539179.665802
16.02,static,paper_default,reasoning,35,21.1,1002.6,17.851,0.9895,0.25,1777539179.6658106
21.03,static,paper_default,coord,17,46.3,252.56,41.709,0.439,0.25,1777539184.6714232
21.03,static,paper_default,nlp,11,30.6,270.71,28.155,0.6807,0.25,1777539184.6714282
21.03,static,paper_default,vision,144,31.9,2535.65,24.017,0.9901,0.25,1777539184.6714323
21.03,static,paper_default,reasoning,38,20.4,1277.98,18.167,0.9921,0.25,1777539184.6714358
26.04,static,paper_default,coord,17,45.4,298.1,42.321,0.5535,0.25,1777539189.6846452
26.04,static,paper_default,nlp,0,29.0,264.09,28.035,0.6274,0.25,1777539189.6846578
26.04,static,paper_default,vision,188,32.1,3093.92,24.118,0.992,0.25,1777539189.684668
26.04,static,paper_default,reasoning,53,20.8,1508.59,18.28,0.9937,0.25,1777539189.6846771
31.05,static,paper_default,coord,32,46.3,344.25,42.667,0.6287,0.25,1777539194.6999776
31.05,static,paper_default,nlp,1,27.2,256.42,28.144,0.6259,0.25,1777539194.69999
31.05,static,paper_default,vision,224,32.9,3633.82,24.312,0.9934,0.25,1777539194.6999998
31.05,static,paper_default,reasoning,40,19.2,1746.37,18.419,0.9948,0.25,1777539194.7000084
36.06,static,paper_default,coord,35,46.5,402.02,42.979,0.6826,0.25,1777539199.7106245
36.06,static,paper_default,nlp,5,30.3,252.85,28.449,0.6287,0.25,1777539199.710638
36.06,static,paper_default,vision,256,32.2,4196.99,24.456,0.9943,0.25,1777539199.7106485
36.06,static,paper_default,reasoning,45,18.2,1847.45,18.467,0.9955,0.25,1777539199.7107809
41.08,static,paper_default,coord,28,44.9,458.42,43.309,0.7234,0.25,1777539204.7231688
41.08,static,paper_default,nlp,8,31.6,256.11,28.824,0.6596,0.25,1777539204.7231803
41.08,static,paper_default,vision,295,32.6,4757.81,24.588,0.995,0.25,1777539204.72319
41.08,static,paper_default,reasoning,55,20.6,1949.88,18.575,0.9961,0.25,1777539204.7231984
46.1,static,paper_default,coord,29,44.7,488.06,43.497,0.7546,0.25,1777539209.7417917
46.1,static,paper_default,nlp,0,29.5,252.72,28.81,0.6476,0.25,1777539209.7418127
46.1,static,paper_default,vision,330,32.4,5292.8,24.623,0.9956,0.25,1777539209.7418356
46.1,static,paper_default,reasoning,59,20.5,2090.47,18.614,0.9965,0.25,1777539209.7418525
51.11,static,paper_default,coord,21,44.7,504.16,43.73,0.7799,0.25,1777539214.75746
51.11,static,paper_default,nlp,3,27.9,245.09,28.723,0.6124,0.25,1777539214.7574718
51.11,static,paper_default,vision,371,32.5,5843.62,24.653,0.996,0.25,1777539214.7574823
51.11,static,paper_default,reasoning,63,20.0,2212.57,18.705,0.9969,0.25,1777539214.7574914
56.12,static,paper_default,coord,31,45.5,518.99,43.796,0.7998,0.25,1777539219.7704027
56.12,static,paper_default,nlp,1,29.0,237.98,28.794,0.5718,0.25,1777539219.7704074
56.12,static,paper_default,vision,411,33.1,6408.52,24.695,0.9964,0.25,1777539219.7704105
56.12,static,paper_default,reasoning,80,21.7,2324.39,18.78,0.9972,0.25,1777539219.7704132
