timestamp,policy,coord,nlp,vision,reasoning
1777813637.925,adaptive,0.1677,0.2734,0.2279,0.331
1777813638.943,adaptive,0.1996,0.2668,0.2223,0.3113
1777813639.959,adaptive,0.2071,0.2643,0.2202,0.3083
1777813640.96,adaptive,0.2034,0.2655,0.2213,0.3098
1777813641.961,adaptive,0.2071,0.2643,0.2202,0.3083
1777813642.966,adaptive,0.204,0.2631,0.2193,0.3136
1777813643.976,adaptive,0.2031,0.2625,0.2187,0.3157
1777813644.994,adaptive,0.2054,0.262,0.2183,0.3143
1777813646.006,adaptive,0.2053,0.2636,0.2197,0.3115
1777813647.023,adaptive,0.2039,0.2638,0.2199,0.3124
1777813648.025,adaptive,0.207,0.2631,0.2193,0.3106
1777813649.04,adaptive,0.2047,0.262,0.2183,0.3149
1777813650.052,adaptive,0.2004,0.2621,0.2184,0.3191
1777813651.055,adaptive,0.2047,0.263,0.2191,0.3132
1777813652.06,adaptive,0.2037,0.2629,0.2191,0.3144
1777813653.074,adaptive,0.2069,0.2644,0.2203,0.3084
1777813654.085,adaptive,0.2075,0.2642,0.2201,0.3082
1777813655.088,adaptive,0.2034,0.2655,0.2213,0.3098
1777813656.105,adaptive,0.2041,0.2653,0.2211,0.3095
1777813657.109,adaptive,0.2032,0.2644,0.2204,0.312
1777813658.113,adaptive,0.2031,0.2642,0.2202,0.3124
1777813659.126,adaptive,0.1971,0.2652,0.221,0.3167
1777813660.139,adaptive,0.2025,0.2656,0.2214,0.3105
1777813661.142,adaptive,0.2003,0.2662,0.2219,0.3116
1777813662.147,adaptive,0.1998,0.2664,0.222,0.3118
1777813663.155,adaptive,0.1936,0.2652,0.221,0.3202
1777813664.173,adaptive,0.195,0.2657,0.2214,0.3179
1777813665.191,adaptive,0.2002,0.2659,0.2216,0.3123
1777813666.196,adaptive,0.2003,0.2666,0.2221,0.311
1777813667.205,adaptive,0.2034,0.2655,0.2213,0.3098
1777813668.209,adaptive,0.2056,0.2648,0.2207,0.3089
1777813669.223,adaptive,0.2081,0.264,0.22,0.308
1777813670.236,adaptive,0.2025,0.2658,0.2215,0.3101
1777813671.252,adaptive,0.2024,0.2659,0.2215,0.3102
1777813672.26,adaptive,0.201,0.2663,0.2219,0.3107
1777813673.267,adaptive,0.2027,0.2658,0.2215,0.31
1777813674.281,adaptive,0.206,0.2647,0.2206,0.3088
1777813675.299,adaptive,0.2056,0.2648,0.2207,0.3089
1777813676.304,adaptive,0.2023,0.2659,0.2216,0.3102
1777813677.321,adaptive,0.2016,0.2661,0.2218,0.3105
1777813678.324,adaptive,0.2025,0.2658,0.2215,0.3101
1777813679.332,adaptive,0.202,0.2654,0.2212,0.3114
1777813680.334,adaptive,0.2042,0.2653,0.2211,0.3095
1777813681.342,adaptive,0.2053,0.2649,0.2208,0.3091
1777813682.345,adaptive,0.2025,0.2644,0.2203,0.3128
1777813683.361,adaptive,0.2008,0.2627,0.2189,0.3175
1777813684.377,adaptive,0.1991,0.2627,0.2189,0.3193
1777813685.388,adaptive,0.193,0.2614,0.2178,0.3279
1777813686.4,adaptive,0.1924,0.2618,0.2182,0.3277
1777813687.403,adaptive,0.1918,0.2631,0.2193,0.3258
1777813688.422,adaptive,0.1895,0.2628,0.219,0.3287
1777813689.425,adaptive,0.1835,0.2633,0.2194,0.3338
1777813690.44,adaptive,0.1823,0.2646,0.2205,0.3325
1777813691.457,adaptive,0.1812,0.2648,0.2207,0.3333
1777813692.464,adaptive,0.1833,0.266,0.2216,0.3291
1777813693.478,adaptive,0.1845,0.2675,0.2229,0.3251
1777813694.495,adaptive,0.1837,0.2662,0.2219,0.3282
1777813695.511,adaptive,0.1867,0.2663,0.2219,0.3251
1777813696.516,adaptive,0.1862,0.2662,0.2218,0.3258
1777813697.522,adaptive,0.187,0.2667,0.2222,0.3241
