elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,adaptive,paper_default,coord,3,23.3,40.71,38.077,0.0,0.2034,1777813641.9286454
6.01,adaptive,paper_default,nlp,0,15.0,54.07,24.775,0.0,0.2655,1777813641.9286566
6.01,adaptive,paper_default,vision,0,15.5,61.61,25.606,0.0,0.2213,1777813641.928663
6.01,adaptive,paper_default,reasoning,1,9.5,61.06,15.63,0.0,0.3098,1777813641.9286685
11.02,adaptive,paper_default,coord,1,46.8,41.78,42.302,0.0,0.2053,1777813646.9303362
11.02,adaptive,paper_default,nlp,1,28.3,60.75,25.599,0.0,0.2636,1777813646.9303393
11.02,adaptive,paper_default,vision,2,32.0,70.3,28.867,0.0,0.2197,1777813646.930342
11.02,adaptive,paper_default,reasoning,0,20.2,71.14,18.428,0.0394,0.3115,1777813646.9303439
16.02,adaptive,paper_default,coord,1,46.5,39.43,43.446,0.0,0.2047,1777813651.9348562
16.02,adaptive,paper_default,nlp,2,28.0,65.79,26.654,0.0094,0.263,1777813651.9348624
16.02,adaptive,paper_default,vision,1,32.4,74.84,29.775,0.0,0.2191,1777813651.9348655
16.02,adaptive,paper_default,reasoning,1,20.8,67.72,18.851,0.0265,0.3132,1777813651.9348676
21.03,adaptive,paper_default,coord,3,45.6,40.6,43.755,0.0,0.2041,1777813656.941744
21.03,adaptive,paper_default,nlp,4,28.9,64.03,27.014,0.007,0.2653,1777813656.9417486
21.03,adaptive,paper_default,vision,0,31.2,88.27,30.105,0.0506,0.2211,1777813656.9417524
21.03,adaptive,paper_default,reasoning,4,20.1,66.82,18.976,0.0201,0.3095,1777813656.9417555
26.04,adaptive,paper_default,coord,2,44.5,40.09,43.863,0.0,0.2003,1777813661.9514198
26.04,adaptive,paper_default,nlp,0,29.5,70.2,27.808,0.0055,0.2662,1777813661.9514258
26.04,adaptive,paper_default,vision,3,31.8,92.16,30.497,0.0579,0.2219,1777813661.9514298
26.04,adaptive,paper_default,reasoning,0,20.0,69.2,19.358,0.0159,0.3116,1777813661.951434
31.04,adaptive,paper_default,coord,2,44.1,39.54,43.909,0.0,0.2003,1777813666.9569604
31.04,adaptive,paper_default,nlp,1,29.1,68.97,27.769,0.0046,0.2666,1777813666.956964
31.04,adaptive,paper_default,vision,0,31.2,91.05,30.475,0.0486,0.2221,1777813666.9569666
31.04,adaptive,paper_default,reasoning,0,19.2,67.99,19.168,0.0134,0.311,1777813666.956969
36.06,adaptive,paper_default,coord,0,43.9,39.56,43.931,0.0,0.2024,1777813671.9718432
36.06,adaptive,paper_default,nlp,0,29.0,67.17,28.15,0.0039,0.2659,1777813671.9718463
36.06,adaptive,paper_default,vision,13,32.2,94.83,30.702,0.0714,0.2215,1777813671.9718487
36.06,adaptive,paper_default,reasoning,1,19.0,67.3,19.22,0.0115,0.3102,1777813671.9718504
41.08,adaptive,paper_default,coord,1,45.6,39.57,44.357,0.0,0.2023,1777813676.9921818
41.08,adaptive,paper_default,nlp,0,29.2,66.84,28.216,0.0035,0.2659,1777813676.9921882
41.08,adaptive,paper_default,vision,1,32.8,116.69,31.065,0.1403,0.2216,1777813676.9921997
41.08,adaptive,paper_default,reasoning,1,19.5,66.65,19.257,0.0101,0.3102,1777813676.9922044
46.08,adaptive,paper_default,coord,0,46.4,39.17,44.465,0.0,0.2053,1777813681.997413
46.08,adaptive,paper_default,nlp,1,28.3,66.15,28.124,0.0031,0.2649,1777813681.9974167
46.08,adaptive,paper_default,vision,3,32.0,116.39,31.184,0.135,0.2208,1777813681.9974198
46.08,adaptive,paper_default,reasoning,1,20.5,66.89,19.509,0.0089,0.3091,1777813681.997422
51.1,adaptive,paper_default,coord,1,45.1,39.08,44.504,0.0,0.1924,1777813687.0135045
