timestamp,policy,coord,nlp,vision,reasoning
1777813838.389,round_robin,0.55,0.15,0.15,0.15
1777813839.405,round_robin,0.15,0.55,0.15,0.15
1777813840.417,round_robin,0.15,0.15,0.15,0.55
1777813841.419,round_robin,0.15,0.15,0.55,0.15
1777813842.424,round_robin,0.55,0.15,0.15,0.15
1777813843.425,round_robin,0.15,0.55,0.15,0.15
1777813844.427,round_robin,0.15,0.15,0.15,0.55
1777813845.438,round_robin,0.15,0.15,0.55,0.15
1777813846.449,round_robin,0.55,0.15,0.15,0.15
1777813847.461,round_robin,0.15,0.55,0.15,0.15
1777813848.467,round_robin,0.15,0.15,0.15,0.55
1777813849.482,round_robin,0.15,0.15,0.55,0.15
1777813850.498,round_robin,0.55,0.15,0.15,0.15
1777813851.508,round_robin,0.15,0.55,0.15,0.15
1777813852.522,round_robin,0.15,0.15,0.15,0.55
1777813853.526,round_robin,0.15,0.15,0.55,0.15
1777813854.535,round_robin,0.55,0.15,0.15,0.15
1777813855.543,round_robin,0.15,0.55,0.15,0.15
1777813856.561,round_robin,0.15,0.15,0.15,0.55
1777813857.575,round_robin,0.15,0.15,0.55,0.15
1777813858.586,round_robin,0.55,0.15,0.15,0.15
1777813859.592,round_robin,0.15,0.55,0.15,0.15
1777813860.609,round_robin,0.15,0.15,0.15,0.55
1777813861.615,round_robin,0.15,0.15,0.55,0.15
1777813862.628,round_robin,0.55,0.15,0.15,0.15
1777813863.634,round_robin,0.15,0.55,0.15,0.15
1777813864.648,round_robin,0.15,0.15,0.15,0.55
1777813865.664,round_robin,0.15,0.15,0.55,0.15
1777813866.681,round_robin,0.55,0.15,0.15,0.15
1777813867.697,round_robin,0.15,0.55,0.15,0.15
1777813868.713,round_robin,0.15,0.15,0.15,0.55
1777813869.728,round_robin,0.15,0.15,0.55,0.15
1777813870.746,round_robin,0.55,0.15,0.15,0.15
1777813871.758,round_robin,0.15,0.55,0.15,0.15
1777813872.778,round_robin,0.15,0.15,0.15,0.55
1777813873.795,round_robin,0.15,0.15,0.55,0.15
1777813874.809,round_robin,0.55,0.15,0.15,0.15
1777813875.821,round_robin,0.15,0.55,0.15,0.15
1777813876.829,round_robin,0.15,0.15,0.15,0.55
1777813877.847,round_robin,0.15,0.15,0.55,0.15
1777813878.863,round_robin,0.55,0.15,0.15,0.15
1777813879.883,round_robin,0.15,0.55,0.15,0.15
1777813880.892,round_robin,0.15,0.15,0.15,0.55
1777813881.911,round_robin,0.15,0.15,0.55,0.15
1777813882.927,round_robin,0.55,0.15,0.15,0.15
1777813883.932,round_robin,0.15,0.55,0.15,0.15
1777813884.95,round_robin,0.15,0.15,0.15,0.55
1777813885.956,round_robin,0.15,0.15,0.55,0.15
1777813886.968,round_robin,0.55,0.15,0.15,0.15
1777813887.984,round_robin,0.15,0.55,0.15,0.15
1777813888.998,round_robin,0.15,0.15,0.15,0.55
1777813890.008,round_robin,0.15,0.15,0.55,0.15
1777813891.021,round_robin,0.55,0.15,0.15,0.15
1777813892.029,round_robin,0.15,0.55,0.15,0.15
1777813893.047,round_robin,0.15,0.15,0.15,0.55
1777813894.066,round_robin,0.15,0.15,0.55,0.15
1777813895.083,round_robin,0.55,0.15,0.15,0.15
1777813896.091,round_robin,0.15,0.55,0.15,0.15
1777813897.104,round_robin,0.15,0.15,0.15,0.55
1777813898.123,round_robin,0.15,0.15,0.55,0.15
1777813899.137,round_robin,0.55,0.15,0.15,0.15
1777813900.153,round_robin,0.15,0.55,0.15,0.15
1777813901.171,round_robin,0.15,0.15,0.15,0.55
1777813902.188,round_robin,0.15,0.15,0.55,0.15
1777813903.207,round_robin,0.55,0.15,0.15,0.15
1777813904.22,round_robin,0.15,0.55,0.15,0.15
1777813905.237,round_robin,0.15,0.15,0.15,0.55
1777813906.253,round_robin,0.15,0.15,0.55,0.15
1777813907.273,round_robin,0.55,0.15,0.15,0.15
1777813908.287,round_robin,0.15,0.55,0.15,0.15
1777813909.304,round_robin,0.15,0.15,0.15,0.55
1777813910.32,round_robin,0.15,0.15,0.55,0.15
1777813911.339,round_robin,0.55,0.15,0.15,0.15
1777813912.353,round_robin,0.15,0.55,0.15,0.15
1777813913.372,round_robin,0.15,0.15,0.15,0.55
1777813914.391,round_robin,0.15,0.15,0.55,0.15
1777813915.405,round_robin,0.55,0.15,0.15,0.15
1777813916.421,round_robin,0.15,0.55,0.15,0.15
1777813917.439,round_robin,0.15,0.15,0.15,0.55
1777813918.454,round_robin,0.15,0.15,0.55,0.15
1777813919.469,round_robin,0.55,0.15,0.15,0.15
1777813920.49,round_robin,0.15,0.55,0.15,0.15
1777813921.505,round_robin,0.15,0.15,0.15,0.55
1777813922.522,round_robin,0.15,0.15,0.55,0.15
1777813923.54,round_robin,0.55,0.15,0.15,0.15
1777813924.551,round_robin,0.15,0.55,0.15,0.15
1777813925.574,round_robin,0.15,0.15,0.15,0.55
1777813926.594,round_robin,0.15,0.15,0.55,0.15
1777813927.62,round_robin,0.55,0.15,0.15,0.15
1777813928.642,round_robin,0.15,0.55,0.15,0.15
1777813929.655,round_robin,0.15,0.15,0.15,0.55
1777813930.672,round_robin,0.15,0.15,0.55,0.15
1777813931.689,round_robin,0.55,0.15,0.15,0.15
1777813932.707,round_robin,0.15,0.55,0.15,0.15
1777813933.722,round_robin,0.15,0.15,0.15,0.55
1777813934.739,round_robin,0.15,0.15,0.55,0.15
1777813935.757,round_robin,0.55,0.15,0.15,0.15
1777813936.774,round_robin,0.15,0.55,0.15,0.15
