elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,round_robin,paper_default,coord,14,22.1,151.53,34.304,0.3689,0.15,1777813842.3927357
6.01,round_robin,paper_default,nlp,12,14.9,173.69,22.647,0.3897,0.15,1777813842.392757
6.01,round_robin,paper_default,vision,0,15.3,131.34,25.312,0.2237,0.55,1777813842.3927698
6.01,round_robin,paper_default,reasoning,8,10.5,271.89,15.986,0.4896,0.15,1777813842.3927796
11.01,round_robin,paper_default,coord,1,44.0,202.52,39.786,0.484,0.55,1777813847.3970034
11.01,round_robin,paper_default,nlp,18,30.9,301.61,26.342,0.6276,0.15,1777813847.3970163
11.01,round_robin,paper_default,vision,4,32.5,263.28,29.067,0.4469,0.15,1777813847.3970258
11.01,round_robin,paper_default,reasoning,7,21.1,340.57,18.439,0.6404,0.15,1777813847.3970342
16.02,round_robin,paper_default,coord,22,45.1,259.86,40.568,0.5969,0.15,1777813852.410645
16.02,round_robin,paper_default,nlp,1,30.7,314.94,28.398,0.633,0.55,1777813852.4106572
16.02,round_robin,paper_default,vision,12,33.1,245.66,29.459,0.4576,0.15,1777813852.4106665
16.02,round_robin,paper_default,reasoning,26,22.0,364.27,18.599,0.6577,0.15,1777813852.410676
21.02,round_robin,paper_default,coord,23,44.6,352.54,41.047,0.6964,0.15,1777813857.4155822
21.02,round_robin,paper_default,nlp,6,29.2,320.34,28.3,0.6353,0.15,1777813857.4155962
21.02,round_robin,paper_default,vision,9,31.1,254.22,29.822,0.4625,0.15,1777813857.415606
21.02,round_robin,paper_default,reasoning,21,23.2,634.04,20.072,0.7583,0.55,1777813857.4156153
26.03,round_robin,paper_default,coord,17,42.2,356.38,41.412,0.7319,0.15,1777813862.4192889
26.03,round_robin,paper_default,nlp,5,29.7,331.94,28.735,0.6671,0.15,1777813862.419294
26.03,round_robin,paper_default,vision,1,32.4,252.53,31.04,0.4728,0.55,1777813862.4192984
26.03,round_robin,paper_default,reasoning,14,21.9,704.72,20.322,0.8072,0.15,1777813862.419302
31.04,round_robin,paper_default,coord,12,43.7,347.39,42.236,0.7513,0.55,1777813867.4316137
31.04,round_robin,paper_default,nlp,17,29.5,321.64,28.318,0.6655,0.15,1777813867.4316332
31.04,round_robin,paper_default,vision,4,33.0,248.41,31.024,0.4922,0.15,1777813867.4316502
31.04,round_robin,paper_default,reasoning,22,21.3,713.34,20.425,0.8265,0.15,1777813867.431666
36.05,round_robin,paper_default,coord,13,44.7,361.84,42.437,0.7817,0.15,1777813872.4438732
36.05,round_robin,paper_default,nlp,0,29.3,319.96,29.04,0.6619,0.55,1777813872.4438863
36.05,round_robin,paper_default,vision,9,31.1,245.28,30.816,0.5005,0.15,1777813872.4438956
36.05,round_robin,paper_default,reasoning,18,21.2,732.64,20.442,0.8507,0.15,1777813872.443904
41.06,round_robin,paper_default,coord,17,44.1,375.07,42.57,0.8089,0.15,1777813877.4526236
41.06,round_robin,paper_default,nlp,8,29.1,299.66,28.737,0.6119,0.15,1777813877.452636
41.06,round_robin,paper_default,vision,1,30.4,244.92,30.954,0.4933,0.15,1777813877.452651
41.06,round_robin,paper_default,reasoning,1,20.1,709.33,20.847,0.8715,0.55,1777813877.4526596
46.07,round_robin,paper_default,coord,28,45.1,380.41,42.692,0.8246,0.15,1777813882.466369
46.07,round_robin,paper_default,nlp,9,28.9,312.86,28.801,0.6368,0.15,1777813882.4663823
46.07,round_robin,paper_default,vision,0,29.6,229.35,30.733,0.4506,0.55,1777813882.4663918
46.07,round_robin,paper_default,reasoning,4,20.0,663.71,20.662,0.8445,0.15,1777813882.466401
51.08,round_robin,paper_default,coord,18,45.1,388.29,43.029,0.8417,0.55,1777813887.4729815
51.08,round_robin,paper_default,nlp,11,28.0,312.69,28.523,0.6465,0.15,1777813887.4729946
51.08,round_robin,paper_default,vision,1,29.6,215.77,30.696,0.4139,0.15,1777813887.4730039
51.08,round_robin,paper_default,reasoning,10,21.0,658.43,20.692,0.859,0.15,1777813887.4730124
56.09,round_robin,paper_default,coord,24,44.5,403.42,43.106,0.8561,0.15,1777813892.4840043
56.09,round_robin,paper_default,nlp,0,27.8,306.76,28.791,0.6365,0.55,1777813892.4840076
56.09,round_robin,paper_default,vision,3,30.6,212.61,30.645,0.4124,0.15,1777813892.48401
56.09,round_robin,paper_default,reasoning,10,21.5,647.07,20.697,0.8579,0.15,1777813892.4840121
61.1,round_robin,paper_default,coord,23,44.4,418.83,43.178,0.8681,0.15,1777813897.490002
