elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.02,static,paper_default,coord,0,21.8,28.76,36.065,0.0,0.25,1777813742.1420858
6.02,static,paper_default,nlp,1,14.2,65.39,23.268,0.0,0.25,1777813742.1420941
6.02,static,paper_default,vision,2,15.3,54.18,24.93,0.0,0.25,1777813742.1420994
6.02,static,paper_default,reasoning,1,10.5,124.2,17.119,0.1553,0.25,1777813742.142104
11.02,static,paper_default,coord,0,44.6,29.14,40.371,0.0,0.25,1777813747.1487892
11.02,static,paper_default,nlp,3,28.1,62.61,25.22,0.0,0.25,1777813747.1487966
11.02,static,paper_default,vision,1,31.1,64.78,28.123,0.0,0.25,1777813747.1488016
11.02,static,paper_default,reasoning,0,21.6,182.69,19.505,0.3953,0.25,1777813747.148806
16.03,static,paper_default,coord,2,45.9,29.34,42.096,0.0,0.25,1777813752.1604633
16.03,static,paper_default,nlp,1,28.9,68.75,26.754,0.0,0.25,1777813752.1604664
16.03,static,paper_default,vision,0,32.6,66.9,29.935,0.0,0.25,1777813752.1604688
16.03,static,paper_default,reasoning,1,21.7,165.05,19.957,0.3094,0.25,1777813752.160471
21.04,static,paper_default,coord,1,45.2,29.07,42.631,0.0,0.25,1777813757.166966
21.04,static,paper_default,nlp,1,29.9,78.99,27.613,0.0052,0.25,1777813757.1669695
21.04,static,paper_default,vision,4,33.3,65.38,30.417,0.0,0.25,1777813757.1669717
21.04,static,paper_default,reasoning,0,20.2,149.42,19.819,0.2422,0.25,1777813757.166974
26.05,static,paper_default,coord,1,43.8,29.1,42.796,0.0,0.25,1777813762.180203
26.05,static,paper_default,nlp,7,31.2,95.5,28.249,0.0747,0.25,1777813762.1802094
26.05,static,paper_default,vision,0,33.5,66.07,31.32,0.0,0.25,1777813762.1802142
26.05,static,paper_default,reasoning,2,20.6,146.04,20.189,0.2338,0.25,1777813762.1802194
31.07,static,paper_default,coord,0,44.5,29.05,43.325,0.0,0.25,1777813767.1937346
31.07,static,paper_default,nlp,2,32.0,104.44,29.002,0.1054,0.25,1777813767.193739
31.07,static,paper_default,vision,0,33.4,65.58,31.48,0.0,0.25,1777813767.1937423
31.07,static,paper_default,reasoning,5,20.6,140.3,19.924,0.2084,0.25,1777813767.1937454
36.07,static,paper_default,coord,0,45.3,29.09,43.496,0.0,0.25,1777813772.1985335
36.07,static,paper_default,nlp,5,31.1,104.76,29.081,0.101,0.25,1777813772.198538
36.07,static,paper_default,vision,0,33.2,64.63,31.825,0.0,0.25,1777813772.1985407
36.07,static,paper_default,reasoning,3,18.7,136.52,19.766,0.1992,0.25,1777813772.1985433
41.08,static,paper_default,coord,1,44.4,28.92,43.545,0.0,0.25,1777813777.2106276
41.08,static,paper_default,nlp,3,30.3,106.21,29.281,0.1006,0.25,1777813777.210631
41.08,static,paper_default,vision,1,32.8,64.61,31.788,0.0023,0.25,1777813777.2106333
41.08,static,paper_default,reasoning,0,18.7,131.51,19.74,0.1763,0.25,1777813777.2106352
46.09,static,paper_default,coord,0,44.0,28.83,43.587,0.0,0.25,1777813782.2191176
46.09,static,paper_default,nlp,2,30.6,110.43,29.485,0.1155,0.25,1777813782.219122
46.09,static,paper_default,vision,0,32.0,66.08,31.914,0.002,0.25,1777813782.219125
46.09,static,paper_default,reasoning,1,18.9,128.12,19.635,0.1591,0.25,1777813782.2191281
51.1,static,paper_default,coord,0,44.5,28.84,43.738,0.0,0.25,1777813787.2266424
51.1,static,paper_default,nlp,0,30.7,107.86,29.609,0.1038,0.25,1777813787.2266455
51.1,static,paper_default,vision,0,32.7,66.1,31.976,0.0018,0.25,1777813787.2266474
51.1,static,paper_default,reasoning,2,19.5,129.17,19.648,0.1763,0.25,1777813787.2266493
56.11,static,paper_default,coord,2,45.6,28.87,43.914,0.0,0.25,1777813792.2358077
56.11,static,paper_default,nlp,0,28.9,103.86,29.425,0.0951,0.25,1777813792.2358112
56.11,static,paper_default,vision,2,31.9,66.05,31.866,0.0017,0.25,1777813792.2358136
56.11,static,paper_default,reasoning,0,19.3,127.36,19.605,0.1691,0.25,1777813792.2358158
61.12,static,paper_default,coord,2,43.7,28.76,43.704,0.0,0.25,1777813797.2422147
61.12,static,paper_default,nlp,4,29.0,101.42,29.453,0.0872,0.25,1777813797.2422178
61.12,static,paper_default,vision,0,31.5,64.87,31.907,0.0015,0.25,1777813797.2422197
61.12,static,paper_default,reasoning,0,19.0,124.15,19.586,0.1562,0.25,1777813797.2422218
66.12,static,paper_default,coord,0,42.9,28.79,43.798,0.0,0.25,1777813802.250137
66.12,static,paper_default,nlp,2,31.1,101.4,29.658,0.0816,0.25,1777813802.2501407
66.12,static,paper_default,vision,0,32.7,63.79,32.017,0.0014,0.25,1777813802.2501433
66.12,static,paper_default,reasoning,1,20.3,125.61,19.691,0.1544,0.25,1777813802.2501457
71.14,static,paper_default,coord,0,45.6,28.86,43.986,0.0,0.25,1777813807.2635903
71.14,static,paper_default,nlp,0,29.9,98.87,29.577,0.076,0.25,1777813807.263594
