timestamp,policy,coord,nlp,vision,reasoning
1777807613.835,adaptive,0.3594,0.1705,0.2144,0.2557
1777807618.878,adaptive,0.3192,0.1815,0.2344,0.2649
1777807623.877,adaptive,0.2823,0.2221,0.2327,0.2628
1777807628.886,adaptive,0.2527,0.2158,0.2722,0.2593
1777807633.896,adaptive,0.2386,0.2206,0.281,0.2599
1777807638.915,adaptive,0.2531,0.2212,0.264,0.2617
1777807643.923,adaptive,0.2399,0.2233,0.2776,0.2592
1777807648.929,adaptive,0.2518,0.2116,0.2814,0.2552
1777807653.954,adaptive,0.2476,0.2038,0.2881,0.2605
1777807658.967,adaptive,0.2333,0.2151,0.2974,0.2543
1777807663.98,adaptive,0.2443,0.2077,0.2956,0.2525
1777807668.998,adaptive,0.2558,0.2132,0.2704,0.2606
1777807674.022,adaptive,0.2494,0.2142,0.2696,0.2669
1777807679.036,adaptive,0.2501,0.2158,0.2668,0.2673
1777807684.054,adaptive,0.2425,0.2073,0.2866,0.2636
1777807689.064,adaptive,0.2304,0.2053,0.3009,0.2634
1777807694.08,adaptive,0.2317,0.2142,0.2887,0.2654
1777807699.086,adaptive,0.2416,0.211,0.2807,0.2667
1777807704.098,adaptive,0.2315,0.2253,0.2779,0.2653
