elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.03,adaptive,paper_default,coord,3,22.3,169.63,35.845,0.213,0.25,1777807613.834234
6.03,adaptive,paper_default,nlp,1,15.2,195.8,24.56,0.4054,0.25,1777807613.8342543
6.03,adaptive,paper_default,vision,26,15.4,425.94,20.578,0.7903,0.25,1777807613.8342679
6.03,adaptive,paper_default,reasoning,2,9.6,567.86,14.935,0.9778,0.25,1777807613.8342783
11.07,adaptive,paper_default,coord,0,41.6,128.03,37.577,0.113,0.3192,1777807618.8791919
11.07,adaptive,paper_default,nlp,37,28.7,505.23,22.582,0.62,0.1815,1777807618.879204
11.07,adaptive,paper_default,vision,63,29.6,1097.81,20.956,0.8879,0.2344,1777807618.8792143
11.07,adaptive,paper_default,reasoning,1,18.8,470.47,16.711,0.9784,0.2649,1777807618.8792233
16.07,adaptive,paper_default,coord,2,41.7,113.08,39.579,0.0739,0.2823,1777807623.87803
16.07,adaptive,paper_default,nlp,76,29.2,974.86,22.652,0.739,0.2221,1777807623.8780415
16.07,adaptive,paper_default,vision,84,28.4,1740.11,21.843,0.9259,0.2327,1777807623.878051
16.07,adaptive,paper_default,reasoning,3,19.5,410.48,17.674,0.9542,0.2628,1777807623.8780591
21.08,adaptive,paper_default,coord,1,44.6,109.74,40.758,0.0547,0.2823,1777807628.8846283
21.08,adaptive,paper_default,nlp,92,30.2,1498.72,23.629,0.8092,0.2221,1777807628.8846354
21.08,adaptive,paper_default,vision,131,30.6,2188.48,22.301,0.9447,0.2327,1777807628.884641
21.08,adaptive,paper_default,reasoning,3,20.3,421.37,18.315,0.9663,0.2628,1777807628.8846464
26.08,adaptive,paper_default,coord,1,45.3,135.04,41.828,0.1925,0.2527,1777807633.8926733
26.08,adaptive,paper_default,nlp,109,30.2,1938.92,24.307,0.8502,0.2158,1777807633.8926835
26.08,adaptive,paper_default,vision,151,32.4,2704.23,23.31,0.9572,0.2722,1777807633.8926907
26.08,adaptive,paper_default,reasoning,8,20.2,427.07,18.48,0.973,0.2593,1777807633.8926976
