timestamp,policy,coord,nlp,vision,reasoning
1777807812.767,round_robin,0.55,0.15,0.15,0.15
1777807813.779,round_robin,0.15,0.55,0.15,0.15
1777807814.789,round_robin,0.15,0.15,0.15,0.55
1777807815.791,round_robin,0.15,0.15,0.55,0.15
1777807816.797,round_robin,0.55,0.15,0.15,0.15
1777807817.801,round_robin,0.15,0.55,0.15,0.15
1777807818.815,round_robin,0.15,0.15,0.15,0.55
1777807819.821,round_robin,0.15,0.15,0.55,0.15
1777807820.843,round_robin,0.55,0.15,0.15,0.15
1777807821.856,round_robin,0.15,0.55,0.15,0.15
1777807822.871,round_robin,0.15,0.15,0.15,0.55
1777807823.874,round_robin,0.15,0.15,0.55,0.15
1777807824.879,round_robin,0.55,0.15,0.15,0.15
1777807825.891,round_robin,0.15,0.55,0.15,0.15
1777807826.914,round_robin,0.15,0.15,0.15,0.55
1777807827.927,round_robin,0.15,0.15,0.55,0.15
1777807828.941,round_robin,0.55,0.15,0.15,0.15
1777807829.952,round_robin,0.15,0.55,0.15,0.15
1777807830.961,round_robin,0.15,0.15,0.15,0.55
1777807831.973,round_robin,0.15,0.15,0.55,0.15
1777807832.99,round_robin,0.55,0.15,0.15,0.15
1777807833.998,round_robin,0.15,0.55,0.15,0.15
1777807835.015,round_robin,0.15,0.15,0.15,0.55
1777807836.026,round_robin,0.15,0.15,0.55,0.15
1777807837.039,round_robin,0.55,0.15,0.15,0.15
1777807838.051,round_robin,0.15,0.55,0.15,0.15
1777807839.058,round_robin,0.15,0.15,0.15,0.55
1777807840.07,round_robin,0.15,0.15,0.55,0.15
1777807841.079,round_robin,0.55,0.15,0.15,0.15
1777807842.093,round_robin,0.15,0.55,0.15,0.15
1777807843.106,round_robin,0.15,0.15,0.15,0.55
1777807844.117,round_robin,0.15,0.15,0.55,0.15
1777807845.127,round_robin,0.55,0.15,0.15,0.15
1777807846.136,round_robin,0.15,0.55,0.15,0.15
1777807847.152,round_robin,0.15,0.15,0.15,0.55
1777807848.159,round_robin,0.15,0.15,0.55,0.15
1777807849.173,round_robin,0.55,0.15,0.15,0.15
1777807850.181,round_robin,0.15,0.55,0.15,0.15
1777807851.197,round_robin,0.15,0.15,0.15,0.55
1777807852.211,round_robin,0.15,0.15,0.55,0.15
1777807853.223,round_robin,0.55,0.15,0.15,0.15
1777807854.23,round_robin,0.15,0.55,0.15,0.15
1777807855.238,round_robin,0.15,0.15,0.15,0.55
1777807856.255,round_robin,0.15,0.15,0.55,0.15
1777807857.261,round_robin,0.55,0.15,0.15,0.15
1777807858.28,round_robin,0.15,0.55,0.15,0.15
1777807859.292,round_robin,0.15,0.15,0.15,0.55
1777807860.307,round_robin,0.15,0.15,0.55,0.15
1777807861.334,round_robin,0.55,0.15,0.15,0.15
1777807862.348,round_robin,0.15,0.55,0.15,0.15
1777807863.355,round_robin,0.15,0.15,0.15,0.55
1777807864.368,round_robin,0.15,0.15,0.55,0.15
1777807865.39,round_robin,0.55,0.15,0.15,0.15
1777807866.401,round_robin,0.15,0.55,0.15,0.15
1777807867.412,round_robin,0.15,0.15,0.15,0.55
1777807868.426,round_robin,0.15,0.15,0.55,0.15
1777807869.445,round_robin,0.55,0.15,0.15,0.15
1777807870.458,round_robin,0.15,0.55,0.15,0.15
1777807871.477,round_robin,0.15,0.15,0.15,0.55
1777807872.492,round_robin,0.15,0.15,0.55,0.15
1777807873.51,round_robin,0.55,0.15,0.15,0.15
1777807874.516,round_robin,0.15,0.55,0.15,0.15
1777807875.534,round_robin,0.15,0.15,0.15,0.55
1777807876.545,round_robin,0.15,0.15,0.55,0.15
1777807877.563,round_robin,0.55,0.15,0.15,0.15
1777807878.575,round_robin,0.15,0.55,0.15,0.15
1777807879.589,round_robin,0.15,0.15,0.15,0.55
1777807880.609,round_robin,0.15,0.15,0.55,0.15
1777807881.622,round_robin,0.55,0.15,0.15,0.15
1777807882.641,round_robin,0.15,0.55,0.15,0.15
1777807883.654,round_robin,0.15,0.15,0.15,0.55
1777807884.677,round_robin,0.15,0.15,0.55,0.15
1777807885.691,round_robin,0.55,0.15,0.15,0.15
1777807886.708,round_robin,0.15,0.55,0.15,0.15
1777807887.725,round_robin,0.15,0.15,0.15,0.55
1777807888.743,round_robin,0.15,0.15,0.55,0.15
1777807889.759,round_robin,0.55,0.15,0.15,0.15
1777807890.775,round_robin,0.15,0.55,0.15,0.15
1777807891.793,round_robin,0.15,0.15,0.15,0.55
1777807892.81,round_robin,0.15,0.15,0.55,0.15
1777807893.824,round_robin,0.55,0.15,0.15,0.15
1777807894.845,round_robin,0.15,0.55,0.15,0.15
1777807895.861,round_robin,0.15,0.15,0.15,0.55
1777807896.874,round_robin,0.15,0.15,0.55,0.15
1777807897.895,round_robin,0.55,0.15,0.15,0.15
1777807898.909,round_robin,0.15,0.55,0.15,0.15
1777807899.92,round_robin,0.15,0.15,0.15,0.55
1777807900.939,round_robin,0.15,0.15,0.55,0.15
1777807901.955,round_robin,0.55,0.15,0.15,0.15
1777807902.975,round_robin,0.15,0.55,0.15,0.15
1777807903.988,round_robin,0.15,0.15,0.15,0.55
1777807905.007,round_robin,0.15,0.15,0.55,0.15
1777807906.021,round_robin,0.55,0.15,0.15,0.15
1777807907.046,round_robin,0.15,0.55,0.15,0.15
1777807908.062,round_robin,0.15,0.15,0.15,0.55
1777807909.076,round_robin,0.15,0.15,0.55,0.15
1777807910.094,round_robin,0.55,0.15,0.15,0.15
1777807911.113,round_robin,0.15,0.55,0.15,0.15
