elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.02,round_robin,paper_default,coord,56,23.1,336.12,28.39,0.4035,0.15,1777807816.7723227
6.02,round_robin,paper_default,nlp,17,14.0,281.43,19.757,0.5042,0.15,1777807816.7724051
6.02,round_robin,paper_default,vision,35,15.5,1165.8,19.259,0.9483,0.55,1777807816.7724178
6.02,round_robin,paper_default,reasoning,11,10.2,737.66,14.444,0.977,0.15,1777807816.7724257
11.04,round_robin,paper_default,coord,40,46.5,785.3,38.215,0.7583,0.55,1777807821.7918832
11.04,round_robin,paper_default,nlp,32,28.7,496.6,22.911,0.7273,0.15,1777807821.7918935
11.04,round_robin,paper_default,vision,69,30.0,1694.26,20.738,0.9738,0.15,1777807821.7919016
11.04,round_robin,paper_default,reasoning,44,21.9,1104.63,15.576,0.9884,0.15,1777807821.791908
16.06,round_robin,paper_default,coord,69,46.7,1024.09,38.987,0.8371,0.15,1777807826.8055966
16.06,round_robin,paper_default,nlp,13,30.3,622.1,26.593,0.829,0.55,1777807826.8056068
16.06,round_robin,paper_default,vision,115,30.4,2165.23,21.237,0.9824,0.15,1777807826.8056157
16.06,round_robin,paper_default,reasoning,76,23.2,1558.79,15.819,0.9921,0.15,1777807826.8056223
21.07,round_robin,paper_default,coord,110,46.7,1271.42,38.915,0.8756,0.15,1777807831.8214583
21.07,round_robin,paper_default,nlp,18,30.4,680.85,27.145,0.8724,0.15,1777807831.821469
21.07,round_robin,paper_default,vision,178,33.2,2646.04,21.545,0.9868,0.15,1777807831.8214777
21.07,round_robin,paper_default,reasoning,76,22.4,2162.1,17.274,0.9945,0.55,1777807831.821486
26.09,round_robin,paper_default,coord,151,47.4,1539.95,39.022,0.8998,0.15,1777807836.8367999
26.09,round_robin,paper_default,nlp,41,30.5,754.18,26.986,0.8963,0.15,1777807836.8368156
26.09,round_robin,paper_default,vision,189,32.3,3332.49,22.616,0.9898,0.55,1777807836.836821
26.09,round_robin,paper_default,reasoning,96,22.1,2565.32,17.441,0.9956,0.15,1777807836.8368256
31.09,round_robin,paper_default,coord,145,47.0,1864.25,40.399,0.9188,0.55,1777807841.8400486
31.09,round_robin,paper_default,nlp,58,30.5,877.73,26.954,0.9129,0.15,1777807841.8400576
31.09,round_robin,paper_default,vision,242,31.5,3976.2,22.676,0.9915,0.15,1777807841.840065
31.09,round_robin,paper_default,reasoning,118,21.6,2979.33,17.305,0.9963,0.15,1777807841.8400767
36.11,round_robin,paper_default,coord,164,46.3,2110.21,40.658,0.9305,0.15,1777807846.8563738
