elapsed_s,policy,workload,agent,queue_length,arrival_rate,avg_latency_ms,throughput,sla_violation_rate,gpu_share,timestamp
6.01,static,paper_default,coord,6,22.3,210.71,35.462,0.5728,0.25,1777807714.4738498
6.01,static,paper_default,nlp,4,15.6,262.44,24.64,0.7432,0.25,1777807714.4738624
6.01,static,paper_default,vision,28,15.2,654.34,19.979,0.9333,0.25,1777807714.4738705
6.01,static,paper_default,reasoning,0,8.7,317.65,13.818,0.9036,0.25,1777807714.473877
11.02,static,paper_default,coord,10,45.0,183.6,39.647,0.3867,0.25,1777807719.490702
11.02,static,paper_default,nlp,3,30.8,269.74,27.399,0.7583,0.25,1777807719.4907122
11.02,static,paper_default,vision,78,32.5,1219.05,22.137,0.9672,0.25,1777807719.4907198
11.02,static,paper_default,reasoning,17,20.0,493.41,16.331,0.95,0.25,1777807719.4909759
16.03,static,paper_default,coord,15,45.8,219.97,41.359,0.5943,0.25,1777807724.4986691
16.03,static,paper_default,nlp,1,31.0,245.57,28.758,0.6876,0.25,1777807724.4986799
16.03,static,paper_default,vision,111,33.6,1883.41,23.331,0.9786,0.25,1777807724.4986877
16.03,static,paper_default,reasoning,26,21.9,697.79,17.28,0.9675,0.25,1777807724.4986944
21.03,static,paper_default,coord,33,46.8,338.53,41.932,0.695,0.25,1777807729.5033164
21.03,static,paper_default,nlp,3,29.9,235.19,28.573,0.6223,0.25,1777807729.5033255
21.03,static,paper_default,vision,145,32.0,2454.42,23.676,0.9839,0.25,1777807729.5033329
21.03,static,paper_default,reasoning,36,21.2,935.75,17.733,0.9759,0.25,1777807729.5033398
26.05,static,paper_default,coord,42,46.9,444.74,42.426,0.7566,0.25,1777807734.5151334
26.05,static,paper_default,nlp,0,28.1,226.46,28.566,0.582,0.25,1777807734.5151424
26.05,static,paper_default,vision,189,32.1,3029.1,23.766,0.9871,0.25,1777807734.5151489
26.05,static,paper_default,reasoning,43,20.6,1183.84,17.892,0.9807,0.25,1777807734.5151546
31.05,static,paper_default,coord,48,45.7,543.75,42.674,0.797,0.25,1777807739.518764
31.05,static,paper_default,nlp,11,29.4,223.54,28.6,0.5608,0.25,1777807739.5187721
31.05,static,paper_default,vision,226,32.7,3624.64,24.026,0.9893,0.25,1777807739.5187788
31.05,static,paper_default,reasoning,50,19.7,1432.58,17.971,0.9839,0.25,1777807739.518785
36.05,static,paper_default,coord,50,45.4,628.76,43.018,0.8266,0.25,1777807744.5259693
36.05,static,paper_default,nlp,11,30.8,228.21,28.845,0.5683,0.25,1777807744.52598
36.05,static,paper_default,vision,258,32.0,4185.55,24.13,0.9908,0.25,1777807744.525988
36.05,static,paper_default,reasoning,63,20.7,1655.72,18.112,0.9862,0.25,1777807744.5259955
41.07,static,paper_default,coord,53,46.4,708.35,43.465,0.8493,0.25,1777807749.7016728
41.07,static,paper_default,nlp,5,30.3,244.44,29.147,0.6174,0.25,1777807749.7016847
41.07,static,paper_default,vision,299,31.9,4747.49,24.155,0.9919,0.25,1777807749.701695
41.07,static,paper_default,reasoning,77,21.5,1884.84,18.214,0.988,0.25,1777807749.7017043
46.24,static,paper_default,coord,71,28.2,759.85,39.341,0.8521,0.25,1777807754.9840763
46.24,static,paper_default,nlp,4,19.5,269.69,26.97,0.6311,0.25,1777807754.984089
46.24,static,paper_default,vision,295,19.5,5078.01,22.471,0.9923,0.25,1777807754.9840994
46.24,static,paper_default,reasoning,60,12.5,2101.12,17.129,0.9886,0.25,1777807754.9841082
51.58,static,paper_default,coord,62,23.1,963.63,38.927,0.866,0.25,1777807760.0613213
51.58,static,paper_default,nlp,1,17.2,270.96,26.636,0.6368,0.25,1777807760.0613346
51.58,static,paper_default,vision,305,16.3,5968.65,22.371,0.9931,0.25,1777807760.061345
51.58,static,paper_default,reasoning,55,11.0,2452.35,17.079,0.9898,0.25,1777807760.0613546
56.6,static,paper_default,coord,53,39.9,1038.65,39.539,0.8798,0.25,1777807765.0767386
56.6,static,paper_default,nlp,10,28.0,266.72,26.907,0.6277,0.25,1777807765.0767515
56.6,static,paper_default,vision,354,29.6,6889.32,22.579,0.9937,0.25,1777807765.07676
56.6,static,paper_default,reasoning,71,19.6,2559.5,17.278,0.9908,0.25,1777807765.0767684
61.61,static,paper_default,coord,32,42.5,1044.81,40.008,0.8909,0.25,1777807770.0868418
61.61,static,paper_default,nlp,2,30.1,270.01,27.186,0.6191,0.25,1777807770.086853
61.61,static,paper_default,vision,401,34.3,7511.92,22.755,0.9943,0.25,1777807770.0868824
61.61,static,paper_default,reasoning,82,22.0,2663.68,17.431,0.9916,0.25,1777807770.0868924
66.62,static,paper_default,coord,34,43.1,1022.33,40.345,0.8999,0.25,1777807775.1022427
66.62,static,paper_default,nlp,1,28.9,265.61,27.332,0.6156,0.25,1777807775.1022542
66.62,static,paper_default,vision,443,33.9,7949.63,22.934,0.9948,0.25,1777807775.1022637
66.62,static,paper_default,reasoning,82,20.2,2807.41,17.561,0.9923,0.25,1777807775.1022723
71.65,static,paper_default,coord,39,45.5,1007.03,40.67,0.9077,0.25,1777807780.1265137
71.65,static,paper_default,nlp,7,29.2,261.59,27.383,0.6086,0.25,1777807780.1265268
