timestamp,policy,coord,nlp,vision,reasoning
1777539861.525,adaptive,0.1751,0.1783,0.1783,0.4682
1777539866.541,adaptive,0.235,0.1975,0.2713,0.2962
1777539871.553,adaptive,0.2103,0.1983,0.207,0.3844
1777539876.554,adaptive,0.1723,0.1976,0.2628,0.3673
1777539881.56,adaptive,0.1527,0.2035,0.2735,0.3703
1777539886.566,adaptive,0.1543,0.1987,0.3065,0.3404
1777539891.581,adaptive,0.1689,0.2075,0.2674,0.3563
1777539896.603,adaptive,0.1511,0.237,0.2701,0.3418
1777539901.621,adaptive,0.1576,0.2089,0.2817,0.3518
1777539906.639,adaptive,0.1366,0.2219,0.2826,0.3589
1777539911.652,adaptive,0.181,0.2293,0.2506,0.3391
